case,frequency_real,frequency_imag,v(buf)_real,v(buf)_imag,v(hp)_real,v(hp)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rh)_real,i(rh)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,i(ch)_real,i(ch)_imag,i(cl)_real,i(cl)_imag
1,1.0,0.0,3.947665959967703e-05,0.006282868143070767,3.947606962625522e-05,0.006282874442974496,0.0,0.0,1.0,0.0,3.987142369030585e-05,0.006282865637875331,0.0,0.0,1.995571505342681e-11,3.449277126942041e-11,-3.947646438695148e-09,-6.282937271718925e-07,3.947606962625522e-09,6.282874442974496e-07,-3.947640906288119e-11,2.505195435646701e-13,1.995571505342681e-11,3.449277126942041e-11,3.947646438695148e-09,6.282937271718925e-07,-3.947640906288178e-11,2.505195435072618e-13
1,1.039122303835169,0.0,4.2625782289863e-05,0.006528647859110167,4.262514525322187e-05,0.00652865440578792,0.0,0.0,1.0,0.0,4.305203739395586e-05,0.00652864504824351,0.0,0.0,2.154761692450561e-11,3.583171145861083e-11,-4.26255715046744e-09,-6.528719692331977e-07,4.262514525322187e-09,6.52865440578792e-07,-4.262551040928579e-11,2.810866656620392e-13,2.154761692450561e-11,3.583171145861083e-11,4.26255715046744e-09,6.528719692331977e-07,-4.262551040928575e-11,2.81086665688886e-13
1,1.07977516232771,0.0,4.602610448293348e-05,0.006784040535278617,4.60254166289299e-05,0.006784047338422251,0.0,0.0,1.0,0.0,4.648636257624055e-05,0.006784037381445081,0.0,0.0,2.326650165516874e-11,3.722175351142734e-11,-4.602587688309618e-09,-6.784115178895635e-07,4.60254166289299e-09,6.784047338422251e-07,-4.602580933070672e-11,3.15383353634291e-13,2.326650165516874e-11,3.722175351142734e-11,4.602587688309618e-09,6.784115178895635e-07,-4.602580933070709e-11,3.153833536153674e-13
1,1.122018454301963,0.0,4.969766196520751e-05,0.0070494219466597,4.96969192402662e-05,0.007049429016344815,0.0,0.0,1.0,0.0,5.019463537943064e-05,0.007049418408013264,0.0,0.0,2.5122497436054e-11,3.866474024630251e-11,-4.96974162094586e-09,-7.049499510634978e-07,4.96969192402662e-09,7.049429016344815e-07,-4.969734142231314e-11,3.538646435770343e-13,2.5122497436054e-11,3.866474024630251e-11,4.96974162094586e-09,7.049499510634978e-07,-4.969734142231382e-11,3.538646435264087e-13
1,1.165914401179831,0.0,5.366208826815839e-05,0.007325182532185379,5.366128629539383e-05,0.007325189878886892,0.0,0.0,1.0,0.0,5.419870566818821e-05,0.007325178561774519,0.0,0.0,2.712654012573722e-11,4.016256771599558e-11,-5.366182290825679e-09,-7.32526313078568e-07,5.366128629539383e-09,7.325189878886892e-07,-5.366174000298195e-11,3.970410860330842e-13,2.712654012573722e-11,4.016256771599558e-11,5.366182290825679e-09,7.32526313078568e-07,-5.366174000298197e-11,3.970410861028764e-13
1,1.211527658628588,0.0,5.794274202711282e-05,0.007611727963764962,5.794187608054779e-05,0.007611735598373348,0.0,0.0,1.0,0.0,5.852216566182538e-05,0.007611723508909778,0.0,0.0,2.929043762565984e-11,4.171718477391159e-11,-5.79424554993086e-09,-7.611811715729331e-07,5.794187608054779e-09,7.611735598373349e-07,-5.794236347125579e-11,4.454855184396478e-13,2.929043762565984e-11,4.171718477391159e-11,5.79424554993086e-09,7.611811715729331e-07,-5.794236347125588e-11,4.454855184812426e-13
1,1.258925411794167,0.0,6.25648444831456e-05,0.007909479737124253,6.256390945987478e-05,0.007909487670962506,0.0,0.0,1.0,0.0,6.319048881118674e-05,0.00790947473871763,0.0,0.0,3.162693938849954e-11,4.333059226094976e-11,-6.256453509896937e-09,-7.909566765839213e-07,6.256390945987478e-09,7.909487670962506e-07,-6.256443280411458e-11,4.998406622630513e-13,3.162693938849954e-11,4.333059226094976e-11,6.256453509896937e-09,7.909566765839213e-07,-6.256443280411512e-11,4.998406622040318e-13
1,1.308177474260194,0.0,6.75556279345476e-05,0.008218875785136545,6.755461832468263e-05,0.008218884029977893,0.0,0.0,1.0,0.0,6.823117973459627e-05,0.008218870176860066,0.0,0.0,3.414981146317178e-11,4.500484284287315e-11,-6.755529387086587e-09,-8.21896621881819e-07,6.755461832468263e-09,8.218884029977893e-07,-6.755518000486634e-11,5.608276478635821e-13,3.414981146317178e-11,4.500484284287315e-11,6.755529387086587e-09,8.218966218818192e-07,-6.755518000486626e-11,5.608276478064525e-13
1,1.359356390878525,0.0,7.294449600811055e-05,0.008540371114449438,7.29434058623297e-05,0.008540379682535836,0.0,0.0,1.0,0.0,7.367393609181388e-05,0.008540364821893647,0.0,0.0,3.687391750887257e-11,4.674203889611442e-11,-7.294413529638832e-09,-8.54046508633266e-07,7.294340586232971e-09,8.540379682535836e-07,-7.294400837033381e-11,6.292555790668453e-13,3.687391750887257e-11,4.674203889611442e-11,7.294413529638832e-09,8.540465086332661e-07,-7.294400837033413e-11,6.29255579009931e-13
1,1.412537544622754,0.0,7.87631966893546e-05,0.008874438466233654,7.876201958386685e-05,0.008874447370295118,0.0,0.0,1.0,0.0,7.95508233445186e-05,0.00887443140591102,0.0,0.0,3.981530625588893e-11,4.854433126094335e-11,-7.876280720406268e-09,-8.874536114768819e-07,7.876201958386686e-09,8.874447370295118e-07,-7.876266551640031e-11,7.060322633825611e-13,3.981530625588893e-11,4.854433126094335e-11,7.876280720406268e-09,8.874536114768819e-07,-7.876266551639985e-11,7.060322632574703e-13
