case,frequency_real,frequency_imag,v(fb1)_real,v(fb1)_imag,v(hp)_real,v(hp)_imag,v(lp)_real,v(lp)_imag,v(vn)_real,v(vn)_imag,v(fb2)_real,v(fb2)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,v(low)_real,v(low)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rg1)_real,i(rg1)_imag,i(rhp)_real,i(rhp)_imag,i(rf2)_real,i(rf2)_imag,i(vn)_real,i(vn)_imag,i(rlp)_real,i(rlp)_imag,i(rf1)_real,i(rf1)_imag,i(chp)_real,i(chp)_imag,i(rg2)_real,i(rg2)_imag
1,1.0,0.0,0.999987990998899,-6.303096384283791e-05,3.947762789200041e-09,6.28312245115055e-05,0.9999899961522759,-6.283059620554345e-05,0.0,0.0,3.960352259146869e-09,6.283109852400316e-05,7.920744121816331e-09,0.0001256628253589916,1.0,0.0,1.999985981877709,-0.0001260625579953142,0.0,0.0,-4.99888750516847e-05,9.991263889228821e-12,-1.000779552629449e-09,-1.256624490292941e-08,3.947762789200041e-13,6.283122451150551e-09,9.999879909988991e-05,-6.303096384283791e-09,3.947762789200041e-13,6.283122451150551e-09,3.960391862669462e-13,6.283172683498843e-09,-4.99888750516847e-05,9.991263889228821e-12,1.00038477240938e-09,6.283059620554345e-09,9.999979908788096e-05,-6.303159415247633e-09,3.947802266827933e-13,6.283185282375061e-09,3.960352259146869e-13,6.283109852400316e-09
1,1.039122303835169,0.0,0.9999879906829613,-6.549688034069361e-05,4.262696205197301e-09,6.528932674661856e-05,0.9999899958373455,-6.528867385987998e-05,0.0,0.0,4.276290002148463e-09,6.528919583012908e-05,8.552622767196948e-09,0.0001305790445522165,1.0,0.0,1.99998598124583,-0.0001309944156501906,0.0,0.0,-4.99888750516847e-05,1.038214514732176e-11,-1.000842539336879e-09,-1.30578653499766e-08,4.262696205197302e-13,6.528932674661857e-09,9.999879906829614e-05,-6.549688034069361e-09,4.262696205197301e-13,6.528932674661857e-09,4.276332765048485e-13,6.528984872208741e-09,-4.99888750516847e-05,1.038214514732176e-11,1.000416265450887e-09,6.528867385987998e-09,9.999979905628685e-05,-6.549753530949704e-09,4.262738832159353e-13,6.528997963988602e-09,4.276290002148463e-13,6.528919583012908e-09
1,1.07977516232771,0.0,0.9999879903418196,-6.805926917049365e-05,4.602753485355426e-09,6.78435956017227e-05,0.9999899954972916,-6.784291717255097e-05,0.0,0.0,4.617431729660009e-09,6.784345956340473e-05,9.234909633637315e-09,0.0001356875975614051,1.0,0.0,1.999985980563543,-0.000136119218933679,0.0,0.0,-4.99888750516847e-05,1.078831858493146e-11,-1.000910550796228e-09,-1.356871912102297e-08,4.602753485355426e-13,6.784359560172269e-09,9.999879903418197e-05,-6.805926917049366e-09,4.602753485355425e-13,6.784359560172269e-09,4.617477903977307e-13,6.78441379980004e-09,-4.99888750516847e-05,1.078831858493146e-11,1.000450270838282e-09,6.784291717255097e-09,9.999979902217234e-05,-6.805994976318537e-09,4.60279951289028e-13,6.78442740376787e-09,4.617431729660009e-13,6.784345956340473e-09
1,1.122018454301963,0.0,0.9999879899734628,-7.072190455181293e-05,4.969938889979196e-09,7.049779333623788e-05,0.9999899951301099,-7.049708836535422e-05,0.0,0.0,4.985788093600024e-09,7.049765197570469e-05,9.971626045080987e-09,0.0001409960089279291,1.0,0.0,1.999985979826826,-0.0001414445163226714,0.0,0.0,-4.998887505169858e-05,1.121038246396967e-11,-1.000983987863856e-09,-1.409955866795255e-08,4.969938889979197e-13,7.049779333623787e-09,9.999879899734629e-05,-7.072190455181294e-09,4.969938889979196e-13,7.049779333623788e-09,4.985837951480963e-13,7.049835695222445e-09,-4.998887505169858e-05,1.121038246396967e-11,1.000486989011229e-09,7.049708836535422e-09,9.999979898533628e-05,-7.072261177085846e-09,4.969988589368097e-13,7.049849831417122e-09,4.985788093600025e-13,7.049765197570469e-09
1,1.165914401179831,0.0,0.9999879895757211,-7.348870836035392e-05,5.366416569558421e-09,7.325582939780284e-05,0.9999899947336363,-7.325509684683439e-05,0.0,0.0,5.38353014596406e-09,7.3255682506827e-05,1.076711412722958e-08,0.0001465120975704791,1.0,0.0,1.999985979031338,-0.0001469781516077915,0.0,0.0,-4.998887505169858e-05,1.164895845156254e-11,-1.001063283404385e-09,-1.465116588029312e-08,5.366416569558422e-13,7.325582939780284e-09,9.999879895757211e-05,-7.348870836035392e-09,5.366416569558421e-13,7.325582939780284e-09,5.383583981265521e-13,7.325641506365213e-09,-4.998887505169858e-05,1.164895845156254e-11,1.000526636374399e-09,7.325509684683439e-09,9.999979894556173e-05,-7.348944324743756e-09,5.366470233724117e-13,7.325656195609681e-09,5.38353014596406e-13,7.325568250682701e-09
1,1.211527658628588,0.0,0.9999879891462489,-7.636375590458961e-05,5.79452332003238e-09,7.612176618061275e-05,0.9999899943055338,-7.612100497056306e-05,0.0,0.0,5.81300213476585e-09,7.612161354281926e-05,1.162606239955305e-08,0.000152243988301774,1.0,0.0,1.99998597817239,-0.0001527282754467383,0.0,0.0,-4.99888750516847e-05,1.210469254670464e-11,-1.001148904745316e-09,-1.522435323688376e-08,5.79452332003238e-13,7.612176618061276e-09,9.999879891462489e-05,-7.636375590458962e-09,5.79452332003238e-13,7.612176618061276e-09,5.813060264787201e-13,7.612237475895477e-09,-4.99888750516847e-05,1.210469254670464e-11,1.000569446618638e-09,7.612100497056307e-09,9.999979890261408e-05,-7.63645195421487e-09,5.794581265265579e-13,7.612252739827455e-09,5.81300213476585e-13,7.612161354281927e-09
1,1.258925411794167,0.0,0.9999879886825158,-7.935128192840242e-05,6.256782355607406e-09,7.909982500903576e-05,0.9999899938432794,-7.90990340186956e-05,0.0,0.0,6.276735320776609e-09,7.909966639958319e-05,1.255353340890643e-08,0.0001582001237958304,1.0,0.0,1.999985977244919,-0.0001587033573696242,0.0,0.0,-4.99888750516847e-05,1.257825600267789e-11,-1.001241356558647e-09,-1.581996500259815e-08,6.256782355607407e-13,7.909982500903578e-09,9.999879886825158e-05,-7.935128192840243e-09,6.256782355607407e-13,7.909982500903576e-09,6.276798088129819e-13,7.910045739624721e-09,-4.99888750516847e-05,1.257825600267789e-11,1.000615672064331e-09,7.90990340186956e-09,9.999979885624032e-05,-7.935207544122176e-09,6.256844923430961e-13,7.910061600728585e-09,6.276735320776609e-13,7.90996663995832e-09
1,1.308177474260194,0.0,0.9999879881817881,-8.245568684855856e-05,6.755918180303018e-09,8.219439235532184e-05,0.9999899933441486,-8.219357041961765e-05,0.0,0.0,6.777462896496724e-09,8.219422754057081e-05,1.355499356762242e-08,0.000164389277023417,1.0,0.0,1.999985976243458,-0.0001649121982539856,0.0,0.0,-4.99888750516847e-05,1.307034635619655e-11,-1.001341183716854e-09,-1.64388784718863e-08,6.755918180303019e-13,8.219439235532184e-09,9.999879881817881e-05,-8.245568684855856e-09,6.755918180303019e-13,8.219439235532184e-09,6.777530671125692e-13,8.219504948284623e-09,-4.99888750516847e-05,1.307034635619655e-11,1.000665585138005e-09,8.219357041961764e-09,9.999979880616704e-05,-8.245651140542707e-09,6.75598573948482e-13,8.219521429924537e-09,6.777462896496725e-13,8.219422754057082e-09
1,1.359356390878525,0.0,0.999987987641115,-8.568154323620649e-05,7.294872645877808e-09,8.54100263005617e-05,0.9999899928051995,-8.540917220883963e-05,0.0,0.0,7.318136095290595e-09,8.540985503773064e-05,1.463634537194214e-08,0.0001708205641740117,1.0,0.0,1.999985975162107,-0.0001713639432878454,0.0,0.0,-4.99888750516847e-05,1.358168841843579e-11,-1.001448974606314e-09,-1.708200526096644e-08,7.294872645877809e-13,8.541002630056171e-09,9.99987987641115e-05,-8.56815432362065e-09,7.294872645877808e-13,8.541002630056171e-09,7.318209276651551e-13,8.541070913628105e-09,-4.99888750516847e-05,1.358168841843579e-11,1.000719480048762e-09,8.540917220883963e-09,9.999979875209916e-05,-8.56824000516389e-09,7.294945594604267e-13,8.541088040082471e-09,7.318136095290595e-13,8.540985503773064e-09
1,1.412537544622754,0.0,0.999987987057309,-8.903360255194592e-05,7.876822290778765e-09,8.875146324841319e-05,0.9999899922232555,-8.875057574265576e-05,0.0,0.0,7.901941585630092e-09,8.875128528522035e-05,1.580396219067604e-08,0.0001775034580832936,1.0,0.0,1.999985973994489,-0.0001780680954399174,0.0,0.0,-4.998887505169858e-05,1.411303536262196e-11,-1.001565364555284e-09,-1.775029265057014e-08,7.876822290778765e-13,8.875146324841318e-09,9.99987987057309e-05,-8.903360255194592e-09,7.876822290778766e-13,8.87514632484132e-09,7.902020605045953e-13,8.875217279807325e-09,-4.998887505169858e-05,1.411303536262196e-11,1.000777674453612e-09,8.875057574265576e-09,9.999979869371798e-05,-8.903449288797149e-09,7.876901059001673e-13,8.875235076304567e-09,7.901941585630093e-13,8.875128528522036e-09
