case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(em)_real,v(em)_imag,v(x)_real,v(x)_imag,v(bias)_real,v(bias)_imag,v(out)_real,v(out)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vb)_real,i(vb)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(re)_real,i(re)_imag,i(vin)_real,i(vin)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rc)_real,i(rc)_imag
1,10.0,0.0,1.0,0.0,0.9731494819387431,1.188789572519765e-09,-0.0268154383188997,8.15173794950617e-09,0.0,0.0,-0.9607113549427961,3.982041584888182e-07,0.0,0.0,-0.0009607113549427961,3.982041584888182e-10,-5.977994257322872e-06,-1.496930287550982e-10,0.000960711354942796,-3.982041584888182e-10,5.977994257322849e-06,1.496930287550983e-10,0.0009731494819387431,1.188789572519765e-12,-6.460132738627971e-06,-2.496999193062396e-10,0.0009666893492001171,-2.485111297337199e-10,6.460132738628048e-06,2.496999193062397e-10,0.0009607113549427961,-3.982041584888182e-10
1,10.39122303835169,0.0,1.0,0.0,0.9731494819387431,1.235297759371965e-09,-0.02681543831889967,8.470652718351427e-09,0.0,0.0,-0.9607113549427915,4.13782822565645e-07,0.0,0.0,-0.0009607113549427915,4.13782822565645e-10,-5.977994257327482e-06,-1.555493649080613e-10,0.0009607113549427914,-4.137828225656449e-10,5.977994257327511e-06,1.555493649080613e-10,0.0009731494819387431,1.235297759371965e-12,-6.460132738628263e-06,-2.594687554169554e-10,0.000966689349200117,-2.582334576575836e-10,6.460132738628373e-06,2.594687554169556e-10,0.0009607113549427915,-4.13782822565645e-10
1,10.7977516232771,0.0,1.0,0.0,0.9731494819387433,1.283625453641019e-09,-0.02681543831889944,8.80204416768096e-09,0.0,0.0,-0.9607113549427795,4.299709598718302e-07,0.0,0.0,-0.0009607113549427795,4.299709598718302e-10,-5.977994257332414e-06,-1.616348144233602e-10,0.0009607113549427793,-4.299709598718301e-10,5.97799425733239e-06,1.616348144233602e-10,0.0009731494819387433,1.283625453641019e-12,-6.460132738628512e-06,-2.696197709021106e-10,0.0009666893492001089,-2.683361454484699e-10,6.460132738628482e-06,2.696197709021105e-10,0.0009607113549427795,-4.299709598718302e-10
1,11.22018454301963,0.0,1.0,0.0,0.9731494819387432,1.333843838648914e-09,-0.0268154383188994,9.146400413979546e-09,0.0,0.0,-0.9607113549427739,4.467924144042343e-07,0.0,0.0,-0.0009607113549427739,4.467924144042343e-10,-5.977994257337788e-06,-1.679583407435713e-10,0.0009607113549427738,-4.467924144042342e-10,5.977994257337811e-06,1.679583407435713e-10,0.0009731494819387432,1.333843838648914e-12,-6.460132738628881e-06,-2.80167917499312e-10,0.0009666893492001127,-2.788340736606629e-10,6.460132738629024e-06,2.801679174993118e-10,0.0009607113549427739,-4.467924144042343e-10
1,11.65914401179831,0.0,1.0,0.0,0.973149481938743,1.38602688257321e-09,-0.02681543831889974,9.504228669973397e-09,0.0,0.0,-0.9607113549427819,4.642719629918074e-07,0.0,0.0,-0.0009607113549427819,4.642719629918075e-10,-5.977994257343677e-06,-1.745292579817938e-10,0.0009607113549427817,-4.642719629918074e-10,5.977994257343666e-06,1.745292579817938e-10,0.000973149481938743,1.38602688257321e-12,-6.460132738629288e-06,-2.911287318925873e-10,0.0009666893492001206,-2.897427050100135e-10,6.460132738629349e-06,2.911287318925869e-10,0.0009607113549427819,-4.642719629918075e-10
1,12.11527658628588,0.0,1.0,0.0,0.9731494819387431,1.440251447396942e-09,-0.0268154383188995,9.876055991718996e-09,0.0,0.0,-0.9607113549427685,4.824353517901206e-07,0.0,0.0,-0.0009607113549427685,4.824353517901207e-10,-5.9779942573499e-06,-1.813572446406819e-10,0.0009607113549427684,-4.824353517901205e-10,5.977994257349954e-06,1.813572446406819e-10,0.0009731494819387431,1.440251447396941e-12,-6.460132738629654e-06,-3.025183585968361e-10,0.0009666893492001164,-3.010781071494386e-10,6.460132738629674e-06,3.025183585968359e-10,0.0009607113549427685,-4.824353517901207e-10
1,12.58925411794167,0.0,1.0,0.0,0.9731494819387432,1.496597402121052e-09,-0.02681543831889925,1.026243005492016e-08,0.0,0.0,-0.9607113549427545,5.013093342036781e-07,0.0,0.0,-0.0009607113549427545,5.013093342036781e-10,-5.977994257356621e-06,-1.884523578682213e-10,0.0009607113549427544,-5.01309334203678e-10,5.977994257356568e-06,1.884523578682213e-10,0.0009731494819387432,1.496597402121052e-12,-6.460132738630062e-06,-3.143535737375773e-10,0.0009666893492001121,-3.128569763354567e-10,6.46013273863e-06,3.143535737375777e-10,0.0009607113549427545,-5.013093342036781e-10
1,13.08177474260194,0.0,1.0,0.0,0.9731494819387432,1.555147740405754e-09,-0.0268154383188992,1.066391996161591e-08,0.0,0.0,-0.9607113549427472,5.209217102917994e-07,0.0,0.0,-0.0009607113549427472,5.209217102917994e-10,-5.977994257363927e-06,-1.958250482711947e-10,0.000960711354942747,-5.209217102917994e-10,5.97799425736394e-06,1.958250482711947e-10,0.0009731494819387432,1.555147740405754e-12,-6.460132738630512e-06,-3.2665180976101e-10,0.0009666893492001119,-3.250966620206047e-10,6.46013273863065e-06,3.266518097610105e-10,0.0009607113549427472,-5.209217102917994e-10
1,13.59356390878525,0.0,1.0,0.0,0.9731494819387431,1.615988702814492e-09,-0.02681543831889934,1.108111707842819e-08,0.0,0.0,-0.9607113549427462,5.413013677161716e-07,0.0,0.0,-0.0009607113549427461,5.413013677161717e-10,-5.977994257371858e-06,-2.034861753081972e-10,0.0009607113549427459,-5.413013677161716e-10,5.977994257371855e-06,2.034861753081972e-10,0.0009731494819387431,1.615988702814492e-12,-6.460132738631032e-06,-3.394311811107889e-10,0.0009666893492001157,-3.378151924079743e-10,6.460132738631192e-06,3.394311811107888e-10,0.0009607113549427461,-5.413013677161717e-10
1,14.12537544622754,0.0,1.0,0.0,0.9731494819387432,1.679209903840188e-09,-0.02681543831889908,1.151463590760351e-08,0.0,0.0,-0.9607113549427302,5.624783242903526e-07,0.0,0.0,-0.0009607113549427302,5.624783242903525e-10,-5.977994257380331e-06,-2.114470232848579e-10,0.00096071135494273,-5.624783242903525e-10,5.977994257380312e-06,2.114470232848579e-10,0.0009731494819387432,1.679209903840188e-12,-6.460132738631544e-06,-3.527105109093352e-10,0.0009666893492001115,-3.510313010054947e-10,6.460132738631517e-06,3.527105109093351e-10,0.0009607113549427302,-5.624783242903525e-10
