case,time,v(in),v(out),v(base),v(vcc),i(vcc),i(rb),ic(q1),ib(q1),i(vin),i(rl)
1,0.0,0.0,4.999999999497951,5.009999989465037e-09,5.0,-5.020490967400093e-12,-5.009999989465036e-12,5.020499996521232e-12,-5.009999989465037e-12,5.009999989465036e-12,5.020490689844337e-12
1,1.999999992008394e-12,0.0,4.99999999949795,5.010000081462351e-09,5.0,-5.020511784081805e-12,-5.010000081462352e-12,5.020181025642634e-12,-5.008504513585131e-12,5.010000192484654e-12,5.020499571628534e-12
1,3.999999984016789e-12,0.0,4.999999999497949,5.010000303506956e-09,5.0,-5.020518722975709e-12,-5.010000303506957e-12,5.019958981027782e-12,-5.008837580482591e-12,5.010000303506957e-12,5.020508453412731e-12
1,7.999999968033578e-12,0.0,4.999999999497946,5.010000525551561e-09,5.0,-5.020525661869613e-12,-5.010000525551562e-12,5.02151329325564e-12,-5.010391892710448e-12,5.010000525551562e-12,5.020535098765322e-12
1,1.599999993606716e-11,0.0,4.999999999497943,5.010000525551561e-09,5.0,-5.020553417445228e-12,-5.010000525551562e-12,5.021069968598904e-12,-5.010636243512185e-12,5.010000747596167e-12,5.02057062590211e-12
1,3.199999987213431e-11,0.0,4.999999999497943,5.010000081462351e-09,5.0,-5.020588111914748e-12,-5.010000081462352e-12,5.020581107080346e-12,-5.009786973773952e-12,5.010000192484654e-12,5.02057062590211e-12
1,6.399999974426862e-11,0.0,4.999999999497949,5.010000525551561e-09,5.0,-5.020511784081805e-12,-5.010000525551562e-12,5.020592276169699e-12,-5.010014594926426e-12,5.010000525551562e-12,5.020508453412731e-12
1,1.279999994885372e-10,0.0,4.999999999497949,5.010000969640771e-09,5.0,-5.020511784081805e-12,-5.010000969640771e-12,5.020553431077024e-12,-5.00997574983657e-12,5.010000969640771e-12,5.020508453412731e-12
1,2.559999989770745e-10,0.0,4.999999999497948,5.010001746796888e-09,5.0,-5.020518722975709e-12,-5.010001746796889e-12,5.020520855705888e-12,-5.010001430102018e-12,5.010001746796889e-12,5.020517335196928e-12
1,5.11999997954149e-10,0.0,4.999999999497951,5.010001524752283e-09,5.0,-5.020490967400093e-12,-5.010001524752284e-12,5.020485149471591e-12,-5.010014270236292e-12,5.010001524752284e-12,5.020490689844337e-12
1,1.023999995908298e-09,0.0,4.99999999949795,5.010000969640771e-09,5.0,-5.020490967400093e-12,-5.010000969640771e-12,5.020513926761132e-12,-5.009999873621666e-12,5.010001080663074e-12,5.020499571628534e-12
1,2.047999991816596e-09,0.0,4.999999999497949,5.010001635774586e-09,5.0,-5.020497906293997e-12,-5.010001635774586e-12,5.020504042218595e-12,-5.010001348931462e-12,5.010001524752284e-12,5.020508453412731e-12
