Cfilter,time,V(b),V(out),V(raw),V(a),I(D1),I(D3),I(D4),I(CFILTER),I(D2),I(RLOAD)
1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-12,1.999999887924986e-10,-2.514097661360501e-07,5.942465520580951e-21,5.025724284742148e-07,2.514097661360625e-07,1.255813311690739e-08,-1.255813311690791e-08,1.255813311690729e-08,1.942141154962812e-16,-1.255813311690818e-08,5.942465520580951e-24
1e-12,3.999999775849972e-10,-5.857310385286713e-07,1.685982841205037e-13,9.222333506918556e-07,5.857312071269846e-07,1.682510768403777e-08,-1.682510667244947e-08,1.682510768403757e-08,8.658575588958472e-16,-1.682510667244856e-08,1.685982841205037e-16
1e-12,7.999999551699943e-10,-1.310716205996571e-06,1.012305519667131e-12,1.705212572444459e-06,1.310717218302164e-06,1.972476990103951e-08,-1.972476551318964e-08,1.972476990104017e-08,3.385438316613842e-15,-1.972476551319073e-08,1.012305519667132e-15
1e-12,1.562721772664685e-09,-2.759493045738537e-06,4.565148077601052e-12,3.131829242991057e-06,2.759497610886843e-06,1.861658685812055e-08,-1.861657635229987e-08,1.861658685812042e-08,5.947605779226392e-15,-1.861657635229891e-08,4.565148077601052e-15
1e-12,3.088165407654065e-09,-5.627749078347186e-06,1.830383407800965e-11,6.014360230958353e-06,5.62776738218195e-06,1.932965762675216e-08,-1.932962725088912e-08,1.932965762675192e-08,1.207250108736493e-14,-1.932962725088012e-08,1.830383407800965e-14
1e-12,5.310019784996277e-09,-9.821471183232952e-06,5.249254778916799e-11,1.019683179311067e-05,9.821523675782305e-06,1.876544146414275e-08,-1.876537026869553e-08,1.876544146414351e-08,1.870305018277488e-14,-1.876537026869419e-08,5.249254778916799e-14
1e-12,9.753728539680701e-09,-1.819271294571774e-05,1.59513400220106e-10,1.85779773646687e-05,1.81928724591219e-05,1.92553397662826e-08,-1.92551507884206e-08,1.92553397662675e-08,2.946458341239879e-14,-1.925515078842093e-08,1.59513400220106e-13
1e-12,1.864114604904955e-08,-3.494949767378703e-05,4.73823597150447e-10,3.532596730443742e-05,3.494997149737943e-05,1.880004789825006e-08,-1.879953280754901e-08,1.880004789825776e-08,4.126712146705558e-14,-1.879953280758761e-08,4.73823597150447e-13
1e-12,3.641598106778724e-08,-6.844944833425771e-05,1.280399866857793e-09,6.883556597773807e-05,6.845072873409862e-05,1.924252712581103e-08,-1.924119723818456e-08,1.924252712586223e-08,4.948780581750347e-14,-1.924119723807302e-08,1.280399866857793e-12
1e-12,7.196565110526264e-08,-0.0001354624046376346,3.064243728195934e-09,0.0001358417083269716,0.0001354654688817904,1.881352981579097e-08,-1.881041470234101e-08,1.881352981603336e-08,5.087003401897668e-14,-1.881041470182991e-08,3.064243728195933e-12
1e-12,1.430649911802134e-07,-0.0002694753379206987,6.689113700299816e-09,0.0002698669722308928,0.000269482027034966,1.925062990146362e-08,-1.924388969135515e-08,1.925062990143574e-08,5.109633136562127e-14,-1.924388969140253e-08,6.689113700299816e-12
1e-12,2.85263671330115e-07,-0.0005375140090954634,1.404269152822008e-08,0.0005379046944891031,0.0005375280517909429,1.883918241893379e-08,-1.882508739752396e-08,1.883918241868616e-08,5.233048271334717e-14,-1.882508739712609e-08,1.404269152822008e-11
1e-12,5.696610316299181e-07,-0.001073578312226026,2.919918726013333e-08,0.00107399317071608,0.001073607511424663,1.929759129294488e-08,-1.926833784880775e-08,1.929759129208602e-08,5.425626713707768e-14,-1.926833784649147e-08,2.919918726013333e-11
1e-12,1.138455752229524e-06,-0.002145718781032809,6.129976562990584e-08,0.002146158200635297,0.002145780080771013,1.893667240593713e-08,-1.887531402174314e-08,1.893667240637342e-08,5.861601908984169e-14,-1.88753140222854e-08,6.129976562990584e-11
1e-12,2.276045193428737e-06,-0.004289983110591688,1.326749859022593e-07,0.004290504388928668,0.00429011578563557,1.949653557955372e-08,-1.936379373095696e-08,1.949653557985362e-08,6.686901548993079e-14,-1.936379372818875e-08,1.326749859022593e-10
1e-12,4.551224075827161e-06,-0.008578508105822804,3.043986860901392e-07,0.008579196593855861,0.008578812504769696,1.935669569942677e-08,-1.905221292366465e-08,1.935669569714673e-08,8.408502243347197e-14,-1.905221290628145e-08,3.043986860901392e-10
1e-12,9.10158184062401e-06,-0.0171554701960368,7.670609630639033e-07,0.01715663822460754,0.017156237259841,2.04318284513505e-08,-1.966464822325391e-08,2.043182842775467e-08,1.19267030995937e-13,-1.966464822575342e-08,7.670609630639033e-10
1e-12,1.820229737021771e-05,-0.03430902114844146,2.216318870487896e-06,0.03431164929976557,0.03431123749472586,2.169851100880527e-08,-1.948199296045575e-08,2.169851096973287e-08,1.992261331871011e-13,-1.948199299800502e-08,2.216318870487897e-09
