case,time,v(bh),v(bl),v(ep),v(vn),v(en),v(in),v(out),v(vp),i(vp),i(vin),i(vbl),ic(q1),ib(q1),i(ren),i(vn),i(vbh),ic(q2),ib(q2),i(rep),i(rl)
1,0.002,-9.797174393178826e-16,-9.797174393178826e-16,2.540920734712623e-05,-12.0,2.540920180245718e-05,-9.797174393178826e-16,2.513274438653976e-05,12.0,1.972227873304056e-08,-2.907960346520034e-07,1.454112941383171e-07,-1.972227873302543e-08,1.453847405136084e-07,1.25662461780643e-07,1.974631205266744e-08,-1.453847405136863e-07,-1.974631205296303e-08,1.4541129413774e-07,1.256649820847566e-07,2.513274438653976e-07
1,0.00200002,0.0002513274116272788,0.0002513274116272788,2.540918960909685e-05,-12.0,2.540921401584315e-05,0.0002513274116272788,2.513274165427299e-05,12.0,1.972234241788243e-08,-2.907960154076509e-07,1.454044177306262e-07,-1.972234241789823e-08,1.4539159767708e-07,1.256692552591616e-07,1.974625644719256e-08,-1.453915976770247e-07,-1.974625644702828e-08,1.454044177306344e-07,1.256581612835687e-07,2.5132741654273e-07
1,0.00200006,0.0007539822190014769,0.0007539822190014769,2.540910032928691e-05,-12.0,2.540930803288542e-05,0.0007539822190014769,2.513274399711787e-05,12.0,1.972272657510765e-08,-2.907960369378647e-07,1.453623850139493e-07,-1.972272657492815e-08,1.454336519238739e-07,1.257109253488879e-07,1.974587039164565e-08,-1.454336519239154e-07,-1.974587039157007e-08,1.453623850138322e-07,1.256165146222916e-07,2.513274399711787e-07
1,0.00200014,0.001759291659126084,0.001759291659126084,2.540902398175444e-05,-12.0,2.540941535498389e-05,0.001759291659126084,2.513275931589433e-05,12.0,1.972310668897733e-08,-2.90796180169718e-07,1.453203284399219e-07,-1.972310668908503e-08,1.454758517298033e-07,1.257527450407109e-07,1.974548032169658e-08,-1.454758517297961e-07,-1.974548032172883e-08,1.453203284399634e-07,1.255748481182328e-07,2.513275931589433e-07
1,0.0020003,0.003769908951857855,0.003769908951857855,2.54088170042636e-05,-12.0,2.540975839585063e-05,0.003769908951857855,2.513282660737598e-05,12.0,1.972423778265217e-08,-2.907968047964569e-07,1.451944813435264e-07,-1.972423778264485e-08,1.456023234529251e-07,1.258780856702945e-07,1.974430094008826e-08,-1.456023234529306e-07,-1.974430094007491e-08,1.45194481343527e-07,1.254501804034648e-07,2.513282660737598e-07
1,0.0020005,0.006283174971761308,0.006283174971761308,2.540871098742901e-05,-12.0,2.541020302707575e-05,0.006283174971761308,2.513299407245537e-05,12.0,1.972533264448013e-08,-2.907983589524748e-07,1.45068956026004e-07,-1.972533264450204e-08,1.457294029264841e-07,1.260040702819887e-07,1.974308558340154e-08,-1.457294029264709e-07,-1.974308558342191e-08,1.450689560259986e-07,1.253258704425627e-07,2.513299407245537e-07
1,0.0020007000000000002,0.008796431069670298,0.008796431069670298,2.540862832517271e-05,-12.0,2.54107926862336e-05,0.008796431069670298,2.513324481276277e-05,12.0,1.972665325977587e-08,-2.908006841503975e-07,1.449159065856756e-07,-1.972665325981173e-08,1.458847775647311e-07,1.26158124304925e-07,1.974158276292319e-08,-1.458847775647219e-07,-1.974158276294347e-08,1.449159065856606e-07,1.251743238227014e-07,2.513324481276276e-07
1,0.0020009000000000003,0.0113096732768175,0.0113096732768175,2.540869250810956e-05,-12.0,2.541140767568882e-05,0.0113096732768175,2.51335807041535e-05,12.0,1.97276861382338e-08,-2.908037991395863e-07,1.447911259398323e-07,-1.9727686138233e-08,1.460126731997557e-07,1.26284987061507e-07,1.974030595985746e-08,-1.46012673199754e-07,-1.974030595982294e-08,1.447911259398243e-07,1.250508199800274e-07,2.51335807041535e-07
1,0.0020011000000000004,0.01382289762445398,0.01382289762445398,2.540878020403454e-05,-12.0,2.541216777939933e-05,0.01382289762445398,2.513399999180706e-05,12.0,1.972894472516646e-08,-2.908076863372746e-07,1.446388381610817e-07,-1.972894472517422e-08,1.461688481762185e-07,1.264399034510323e-07,1.973874169401567e-08,-1.461688481761929e-07,-1.973874169405697e-08,1.446388381610855e-07,1.249000964670383e-07,2.513399999180706e-07
1,0.0020013000000000006,0.01633610014383767,0.01633610014383767,2.540901471104798e-05,-12.0,2.541295332116927e-05,0.01633610014383767,2.513450446697193e-05,12.0,1.972991552802139e-08,-2.908123636464647e-07,1.445147871196718e-07,-1.972991552800226e-08,1.462975765267805e-07,1.265676609987879e-07,1.973740344871758e-08,-1.462975765267929e-07,-1.973740344870964e-08,1.445147871196398e-07,1.247773836709318e-07,2.513450446697193e-07
1,0.0020015000000000007,0.01884927686629297,0.01884927686629297,2.540927291180067e-05,-12.0,2.541388408602005e-05,0.01884927686629297,2.513509248161262e-05,12.0,1.973111198878046e-08,-2.908178145503055e-07,1.443632460126926e-07,-1.97311119887624e-08,1.464545685376073e-07,1.267234565488306e-07,1.973577774540206e-08,-1.464545685376129e-07,-1.973577774541062e-08,1.443632460126897e-07,1.246274682672958e-07,2.513509248161262e-07
1,0.002001700000000001,0.02136242382317079,0.02136242382317079,2.540967794045819e-05,-12.0,2.54148404476034e-05,0.02136242382317079,2.51357657705547e-05,12.0,1.973202061164211e-08,-2.908240563846883e-07,1.442399098417943e-07,-1.973202061164072e-08,1.465841465429e-07,1.2685212593123e-07,1.973437806749838e-08,-1.46584146542894e-07,-1.973437806746692e-08,1.442399098417725e-07,1.245055317743166e-07,2.51357657705547e-07
1,0.002001900000000001,0.02387553704586195,0.02387553704586195,2.541010686582884e-05,-12.0,2.541594216350047e-05,0.02387553704586195,2.513652276425782e-05,12.0,1.973315483449922e-08,-2.908310734155203e-07,1.440891007434407e-07,-1.973315483450304e-08,1.467419726721065e-07,1.270088178375676e-07,1.973269093845218e-08,-1.467419726720796e-07,-1.973269093845938e-08,1.440891007434398e-07,1.243564098050109e-07,2.513652276425782e-07
1,0.002002100000000001,0.02638861256582119,0.02638861256582119,2.541068268634437e-05,-12.0,2.54170696852449e-05,0.02638861256582119,2.513736516893634e-05,12.0,1.973400115729903e-08,-2.908388826891916e-07,1.439664650279397e-07,-1.973400115732135e-08,1.468724176612465e-07,1.27138416503893e-07,1.973122984247967e-08,-1.468724176612519e-07,-1.973122984249075e-08,1.439664650279458e-07,1.242352351854707e-07,2.513736516893633e-07
1,0.002002300000000001,0.02890164641456279,0.02890164641456279,2.541128263116473e-05,-12.0,2.54183427173609e-05,0.02890164641456279,2.513829146811357e-05,12.0,1.973507301357523e-08,-2.908474689985619e-07,1.438163735998298e-07,-1.973507301357708e-08,1.470310953987498e-07,1.272960223851511e-07,1.972948130389468e-08,-1.470310953987321e-07,-1.972948130385886e-08,1.438163735998008e-07,1.240868922959833e-07,2.513829146811357e-07
1,0.0020025000000000012,0.03141463462365618,0.03141463462365618,2.541202958715796e-05,-12.0,2.54196418132722e-05,0.03141463462365618,2.513930336321966e-05,12.0,1.973585689737133e-08,-2.908568493372214e-07,1.436944242341466e-07,-1.973585689737139e-08,1.471624251031012e-07,1.274265682056972e-07,1.972795880767312e-08,-1.471624251030748e-07,-1.972795880767065e-08,1.43694424234117e-07,1.239664654264995e-07,2.513930336321967e-07
1,0.0020027000000000014,0.03392757322475352,0.03392757322475352,2.54128009210776e-05,-12.0,2.542108660187474e-05,0.03392757322475352,2.514039936842351e-05,12.0,1.973686623740209e-08,-2.908670088007556e-07,1.43545036449065e-07,-1.973686623742395e-08,1.473219723516763e-07,1.275851061141931e-07,1.972614887907817e-08,-1.473219723516905e-07,-1.972614887905824e-08,1.435450364490493e-07,1.238188875700411e-07,2.514039936842351e-07
1,0.0020029000000000015,0.03644045824958529,0.03644045824958529,2.541371943113884e-05,-12.0,2.542255776123602e-05,0.03644045824958529,2.514158120295493e-05,12.0,1.973758752075129e-08,-2.908779645542526e-07,1.434237596329185e-07,-1.973758752077788e-08,1.474542049213532e-07,1.277166174004969e-07,1.972456500392659e-08,-1.474542049213341e-07,-1.972456500390706e-08,1.434237596328993e-07,1.236991946290519e-07,2.514158120295493e-07
1,0.0020031000000000016,0.03895328572995595,0.03895328572995595,2.541466259953985e-05,-12.0,2.542417482265703e-05,0.03895328572995595,2.514284738981052e-05,12.0,1.9738534169256e-08,-2.908897017748643e-07,1.432750617661716e-07,-1.973853416928659e-08,1.476146400087027e-07,1.27876105839322e-07,1.972269370750924e-08,-1.476146400086927e-07,-1.972269370748744e-08,1.432750617661854e-07,1.23552368058783e-07,2.514284738981052e-07
1,0.0020033000000000017,0.04146605169777146,0.04146605169777146,2.541575315758612e-05,-12.0,2.542581861044001e-05,0.04146605169777146,2.51441996874511e-05,12.0,1.973919266268928e-08,-2.909022380141863e-07,1.431544439927827e-07,-1.973919266272779e-08,1.477477940214059e-07,1.280086013585935e-07,1.972104847694443e-08,-1.477477940214036e-07,-1.972104847694229e-08,1.431544439927639e-07,1.23433395515918e-07,2.51441996874511e-07
1,0.002003500000000002,0.04397875218502782,0.04397875218502782,2.541686868305643e-05,-12.0,2.542760853860682e-05,0.04397875218502782,2.514563660814206e-05,12.0,1.974007641411466e-08,-2.909155583331053e-07,1.430064226167355e-07,-1.974007641412947e-08,1.479091357163777e-07,1.28169059302162e-07,1.971911583757768e-08,-1.479091357163698e-07,-1.971911583756236e-08,1.430064226167356e-07,1.232873067792597e-07,2.514563660814206e-07
1,0.002003700000000002,0.04649138322384219,0.04649138322384219,2.541813185992275e-05,-12.0,2.542942559712238e-05,0.04649138322384219,2.514715996886505e-05,12.0,1.974067189445108e-08,-2.909296808608314e-07,1.428864506675405e-07,-1.974067189442205e-08,1.480432301933023e-07,1.28302558298785e-07,1.971740927777456e-08,-1.480432301932909e-07,-1.971740927777931e-08,1.428864506675464e-07,1.231690413898652e-07,2.514715996886505e-07
1,0.002003900000000002,0.04900394084640945,0.04900394084640945,2.541942034283191e-05,-12.0,2.543138906419334e-05,0.04900394084640945,2.514876825273257e-05,12.0,1.974149250498171e-08,-2.909445903544591e-07,1.427390926398982e-07,-1.974149250498506e-08,1.482054977145458e-07,1.284640052094423e-07,1.971541532212201e-08,-1.482054977145608e-07,-1.971541532210933e-08,1.427390926398955e-07,1.230236773178839e-07,2.514876825273256e-07
1,0.002004100000000002,0.05151642108506169,0.05151642108506169,2.542085678700751e-05,-12.0,2.543338011388915e-05,0.05151642108506169,2.515046335355918e-05,12.0,1.974202470736681e-08,-2.909603057034939e-07,1.426197535732425e-07,-1.974202470735571e-08,1.483405521302227e-07,1.285985274227141e-07,1.971364746047673e-08,-1.483405521302514e-07,-1.97136474604924e-08,1.426197535732195e-07,1.229061061128783e-07,2.515046335355918e-07
1,0.0020043000000000023,0.05402881997226389,0.05402881997226389,2.542231890819148e-05,-12.0,2.543551787300414e-05,0.05402881997226389,2.515224370979012e-05,12.0,1.974278188894297e-08,-2.909768112046323e-07,1.42473046036363e-07,-1.974278188896967e-08,1.485037651682341e-07,1.287609832791029e-07,1.971159221769702e-08,-1.485037651682693e-07,-1.971159221768952e-08,1.424730460363434e-07,1.227614538188008e-07,2.515224370979012e-07
1,0.0020045000000000024,0.05654113354057397,0.05654113354057397,2.542392934758926e-05,-12.0,2.543768371430187e-05,0.05654113354057397,2.515411130657326e-05,12.0,1.97432504978045e-08,-2.909941266469722e-07,1.423543271814502e-07,-1.974325049776116e-08,1.486397994654888e-07,1.288965489675507e-07,1.970976308345013e-08,-1.48639799465522e-07,-1.970976308342321e-08,1.423543271814596e-07,1.226445640981801e-07,2.515411130657326e-07
1,0.0020047000000000025,0.05905335782272008,0.05905335782272008,2.542556586840611e-05,-12.0,2.543999659970578e-05,0.05905335782272008,2.515606452428877e-05,12.0,1.974394390669355e-08,-2.91012235732998e-07,1.422082575456183e-07,-1.974394390669128e-08,1.488039781873576e-07,1.290600342804614e-07,1.970764658332645e-08,-1.488039781873797e-07,-1.970764658331503e-08,1.422082575455941e-07,1.225006109624291e-07,2.515606452428877e-07
1,0.0020049000000000026,0.06156548885156071,0.06156548885156071,2.542735111349177e-05,-12.0,2.544233811620105e-05,0.06156548885156071,2.515810545484314e-05,12.0,1.974434854623828e-08,-2.910311593022996e-07,1.420901465022329e-07,-1.974434854625222e-08,1.48941012800066e-07,1.291966642535977e-07,1.970575620758976e-08,-1.489410128000667e-07,-1.970575620754146e-08,1.420901465022062e-07,1.22384390294833e-07,2.515810545484314e-07
1,0.0020051000000000027,0.06407752266008034,0.06407752266008034,2.542916287785649e-05,-12.0,2.544482704535281e-05,0.06407752266008034,2.516023240514802e-05,12.0,1.974497777063234e-08,-2.910508803033535e-07,1.419447024394146e-07,-1.974497777059401e-08,1.491061778639186e-07,1.293612000930842e-07,1.970357848123437e-08,-1.491061778639388e-07,-1.970357848119304e-08,1.419447024393992e-07,1.222411239583954e-07,2.516023240514802e-07
1,0.002005300000000003,0.06658945528144888,0.06658945528144888,2.543112382245009e-05,-12.0,2.544734520469471e-05,0.06658945528144888,2.51624475900815e-05,12.0,1.974531799087289e-08,-2.910714207876833e-07,1.418271870633072e-07,-1.974531799084861e-08,1.492442337243975e-07,1.294989157332749e-07,1.970162689596081e-08,-1.492442337243761e-07,-1.97016268959757e-08,1.41827187063301e-07,1.221255601675419e-07,2.51624475900815e-07
1,0.002005500000000003,0.06910128274897832,0.06910128274897832,2.543311176067785e-05,-12.0,2.545001118219251e-05,0.06910128274897832,2.516474922990622e-05,12.0,1.97458825380554e-08,-2.910927628134116e-07,1.416823565086082e-07,-1.974588253803e-08,1.494104063047989e-07,1.296645237664985e-07,1.969938797627568e-08,-1.494104063048034e-07,-1.969938797625523e-08,1.416823565085999e-07,1.219829685325619e-07,2.516474922990621e-07
1,0.002005700000000003,0.07161300109615377,0.07161300109615377,2.543524938440755e-05,-12.0,2.545270703862089e-05,0.07161300109615377,2.516713967508825e-05,12.0,1.974615779891537e-08,-2.911149297639608e-07,1.415654249044694e-07,-1.974615779888935e-08,1.495495048594884e-07,1.298033470602903e-07,1.96973752141236e-08,-1.495495048594914e-07,-1.969737521412567e-08,1.415654249044791e-07,1.218680496905931e-07,2.516713967508825e-07
1,0.002005900000000003,0.07412460635662202,0.07412460635662202,2.543741451456256e-05,-12.0,2.545555115763893e-05,0.07412460635662202,2.516961704856651e-05,12.0,1.974665707644045e-08,-2.911379026967674e-07,1.414211960416246e-07,-1.974665707643792e-08,1.497167066551289e-07,1.299700495783707e-07,1.969507513455342e-08,-1.497167066551428e-07,-1.969507513455796e-08,1.414211960415972e-07,1.217261209072937e-07,2.516961704856651e-07
1,0.0020061000000000033,0.0766360945642191,0.0766360945642191,2.54397298864245e-05,-12.0,2.545842585563784e-05,0.0766360945642191,2.517218384869552e-05,12.0,1.974686672839344e-08,-2.911617064450657e-07,1.413048365607429e-07,-1.97468667283624e-08,1.498568698842975e-07,1.301100031556007e-07,1.969300122961832e-08,-1.498568698843228e-07,-1.969300122963997e-08,1.413048365607409e-07,1.216118353313552e-07,2.517218384869552e-07
1,0.0020063000000000034,0.07914746175296587,0.07914746175296587,2.5442073318131e-05,-12.0,2.546144930183542e-05,0.07914746175296587,2.51748380909824e-05,12.0,1.974730002366983e-08,-2.911863209582368e-07,1.411611978191797e-07,-1.974730002364408e-08,1.500251231390318e-07,1.302778231150081e-07,1.96906400246654e-08,-1.500251231390571e-07,-1.96906400246655e-08,1.411611978191962e-07,1.214705577948169e-07,2.51748380909824e-07
1,0.0020065000000000035,0.08165870395706364,0.08165870395706364,2.544456759951243e-05,-12.0,2.546450407925889e-05,0.08165870395706364,2.517758243262677e-05,12.0,1.97474432842356e-08,-2.912117726221127e-07,1.410453990501273e-07,-1.974744328426438e-08,1.501663735720097e-07,1.304189302873277e-07,1.968850501150402e-08,-1.501663735719853e-07,-1.968850501150529e-08,1.410453990501512e-07,1.213568940389403e-07,2.517758243262677e-07
1,0.0020067000000000036,0.08416981721092173,0.08416981721092173,2.544709053710934e-05,-12.0,2.546770813404381e-05,0.08416981721092173,2.518041477307277e-05,12.0,1.974780973866698e-08,-2.912380401856291e-07,1.409023390960729e-07,-1.974780973870164e-08,1.50335701089577e-07,1.30587891350471e-07,1.968608271613189e-08,-1.503357010895561e-07,-1.968608271611171e-08,1.409023390960619e-07,1.212162563802575e-07,2.518041477307277e-07
