case,frequency_real,frequency_imag,v(ref)_real,v(ref)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(it)_real,i(it)_imag,ic(q4)_real,ic(q4)_imag,ib(q4)_real,ib(q4)_imag,i(vn)_real,i(vn)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q3)_real,ic(q3)_imag,ib(q3)_real,ib(q3)_imag,i(rl)_real,i(rl)_imag
1,10.0,0.0,-0.470969178841703,1.694765020970836e-07,0.5286891532176913,-2.698457301121231e-09,0.0,0.0,1.0,0.0,19.87920978818249,-1.054345026475907e-05,0.0,0.0,-0.01988615963781954,5.849827133591517e-09,-5.708657267127999e-05,-7.851716623082066e-10,-0.009522047404725181,4.785852093213631e-09,-6.40364223083393e-05,-5.478794793475756e-09,0.0,0.0,-0.0103571623834573,5.757598171545436e-09,-6.269079209264734e-05,-2.678859974355293e-09,0.0,0.0,0.009528997254362237,-9.22289620460817e-11,5.708657267127978e-05,7.851716623082069e-10,-0.009403615690528206,3.383856026875224e-09,-6.2690771741385e-05,-6.127670904738498e-10,0.01987920978818249,-1.054345026475907e-08
1,10.39122303835169,0.0,-0.4709691788416968,1.761068133050443e-07,0.5286891532176912,-2.804027167541894e-09,0.0,0.0,1.0,0.0,19.87920978818206,-1.095593432948775e-05,0.0,0.0,-0.01988615963781932,6.078685848094987e-09,-5.708657267128106e-05,-8.158893866437928e-10,-0.009522047404724978,4.973085652914408e-09,-6.403642230854226e-05,-5.69313786803655e-09,0.0,0.0,-0.01035716238345708,5.982848676573336e-09,-6.269079209275316e-05,-2.783663148203839e-09,0.0,0.0,0.009528997254362239,-9.583717152165081e-11,5.708657267128152e-05,8.158893866437929e-10,-0.009403615690528083,3.516240270493042e-09,-6.269077174140235e-05,-6.367399507675525e-10,0.01987920978818206,-1.095593432948775e-08
1,10.7977516232771,0.0,-0.4709691788416904,1.829965175626042e-07,0.528689153217691,-2.913727170352498e-09,0.0,0.0,1.0,0.0,19.8792097881816,-1.138455572112388e-05,0.0,0.0,-0.01988615963781908,6.316498042762579e-09,-5.708657267128223e-05,-8.478088591239609e-10,-0.00952204740472476,5.16764422082593e-09,-6.403642230876083e-05,-5.915866537485266e-09,0.0,0.0,-0.01035716238345684,6.216911500297956e-09,-6.269079209286245e-05,-2.892566463662577e-09,0.0,0.0,0.00952899725436224,-9.958654246462418e-11,5.708657267128152e-05,8.478088591239607e-10,-0.009403615690527955,3.653803690712661e-09,-6.269077174142143e-05,-6.616506845854627e-10,0.01987920978818161,-1.138455572112388e-08
1,11.22018454301963,0.0,-0.4709691788416832,1.901557629234625e-07,0.528689153217691,-3.027718890003785e-09,0.0,0.0,1.0,0.0,19.87920978818111,-1.182994576907384e-05,0.0,0.0,-0.01988615963781883,6.563613998365647e-09,-5.708657267128347e-05,-8.809770949047556e-10,-0.009522047404724527,5.369814368145006e-09,-6.403642230899849e-05,-6.147308865612942e-09,0.0,0.0,-0.01035716238345659,6.46013140092883e-09,-6.269079209298561e-05,-3.005730327717338e-09,0.0,0.0,0.009528997254362239,-1.03482597436819e-10,5.708657267128152e-05,8.809770949047557e-10,-0.009403615690527813,3.796748908854707e-09,-6.269077174144051e-05,-6.875359837005519e-10,0.01987920978818112,-1.182994576907384e-08
1,11.65914401179831,0.0,-0.4709691788416756,1.975950944565582e-07,0.5286891532176909,-3.146170228345944e-09,0.0,0.0,1.0,0.0,19.87920978818058,-1.229276050180481e-05,0.0,0.0,-0.01988615963781855,6.820397699466318e-09,-5.708657267128483e-05,-9.15442948483443e-10,-0.009522047404724272,5.579893877393881e-09,-6.40364223092535e-05,-6.38780575082193e-09,0.0,0.0,-0.01035716238345631,6.712866624410924e-09,-6.269079209311572e-05,-3.123321422844801e-09,0.0,0.0,0.009528997254362239,-1.075310750553948e-10,5.708657267128325e-05,9.15442948483443e-10,-0.009403615690527658,3.945286473252681e-09,-6.26907717414648e-05,-7.144339753524857e-10,0.01987920978818058,-1.229276050180481e-08
1,12.11527658628588,0.0,-0.4709691788416673,2.053254697782217e-07,0.5286891532176907,-3.269255655936403e-09,0.0,0.0,1.0,0.0,19.87920978818001,-1.277368161312904e-05,0.0,0.0,-0.01988615963781825,7.087227370541351e-09,-5.70865726712863e-05,-9.51257185657775e-10,-0.009522047404723994,5.79819218103312e-09,-6.403642230952931e-05,-6.63771142824546e-09,0.0,0.0,-0.01035716238345601,6.975489432095917e-09,-6.269079209325797e-05,-3.245512952524144e-09,0.0,0.0,0.009528997254362244,-1.117379384454345e-10,5.708657267128499e-05,9.51257185657775e-10,-0.009403615690527495,4.099635169375959e-09,-6.269077174148562e-05,-7.423842784063804e-10,0.01987920978818001,-1.277368161312904e-08
1,12.58925411794167,0.0,-0.4709691788416584,2.133582751919787e-07,0.5286891532176907,-3.397156469022756e-09,0.0,0.0,1.0,0.0,19.87920978817939,-1.32734174662912e-05,0.0,0.0,-0.01988615963781793,7.364496033080396e-09,-5.708657267128786e-05,-9.88472558300465e-10,-0.0095220474047237,6.025030817234013e-09,-6.403642230982595e-05,-6.897393991511266e-09,0.0,0.0,-0.01035716238345569,7.248386649057186e-09,-6.269079209341062e-05,-3.372484896353676e-09,0.0,0.0,0.00952899725436224,-1.161093840232119e-10,5.708657267128846e-05,9.88472558300465e-10,-0.009403615690527316,4.26002234208552e-09,-6.269077174151337e-05,-7.714280617086327e-10,0.0198792097881794,-1.32734174662912e-08
1,13.08177474260194,0.0,-0.4709691788416486,2.217053424597808e-07,0.5286891532176907,-3.530061056579413e-09,0.0,0.0,1.0,0.0,19.87920978817873,-1.379270413733806e-05,0.0,0.0,-0.01988615963781758,7.652612084479244e-09,-5.708657267128955e-05,-1.027143882059022e-09,-0.009522047404723382,6.260743903481891e-09,-6.403642231014688e-05,-7.16723593491783e-09,0.0,0.0,-0.01035716238345534,7.531960233856163e-09,-6.269079209357542e-05,-3.504424275148239e-09,0.0,0.0,0.009528997254362239,-1.206518506230823e-10,5.708657267128846e-05,1.027143882059022e-09,-0.009403615690527122,4.426684230497077e-09,-6.269077174154113e-05,-8.016081047257576e-10,0.01987920978817873,-1.379270413733806e-08
1,13.59356390878525,0.0,-0.4709691788416384,2.303789662293658e-07,0.5286891532176905,-3.668165177791533e-09,0.0,0.0,1.0,0.0,19.87920978817801,-1.43323064993071e-05,0.0,0.0,-0.01988615963781721,7.951999899580681e-09,-5.708657267129139e-05,-1.067328117095368e-09,-0.009522047404723035,6.505678628707857e-09,-6.403642231049556e-05,-7.447634716821792e-09,0.0,0.0,-0.01035716238345497,7.826627870599248e-09,-6.26907920937541e-05,-3.641525426407812e-09,0.0,0.0,0.00952899725436224,-1.253720289814341e-10,5.708657267129193e-05,1.067328117095369e-09,-0.009403615690526917,4.5998663159448e-09,-6.269077174157062e-05,-8.329688605555549e-10,0.01987920978817801,-1.43323064993071e-08
1,14.12537544622754,0.0,-0.470969178841627,2.393919221434155e-07,0.5286891532176905,-3.811672250394627e-09,0.0,0.0,1.0,0.0,19.87920978817723,-1.489301934883122e-05,0.0,0.0,-0.0198861596378168,8.26310045574903e-09,-5.708657267129337e-05,-1.109084451984191e-09,-0.009522047404722664,6.760195764673871e-09,-6.403642231087026e-05,-7.739003345066385e-09,0.0,0.0,-0.01035716238345456,8.132823584157355e-09,-6.269079209394492e-05,-3.7839902905631e-09,0.0,0.0,0.009528997254362237,-1.30276871591677e-10,5.70865726712954e-05,1.109084451984191e-09,-0.00940361569052669,4.779823683558198e-09,-6.269077174160358e-05,-8.655565214034226e-10,0.01987920978817723,-1.489301934883122e-08
1,14.67799267622069,0.0,-0.4709691788416149,2.487574856571867e-07,0.5286891532176904,-3.960793650294552e-09,0.0,0.0,1.0,0.0,19.87920978817639,-1.547566857681864e-05,0.0,0.0,-0.01988615963781637,8.586371982399052e-09,-5.70865726712955e-05,-1.152474390893577e-09,-0.009522047404722263,7.024670197364368e-09,-6.403642231127445e-05,-8.041770985313163e-09,0.0,0.0,-0.01035716238345413,8.450998379454273e-09,-6.269079209415308e-05,-3.932028708419691e-09,0.0,0.0,0.009528997254362239,-1.353736029447821e-10,5.708657267129366e-05,1.152474390893577e-09,-0.009403615690526449,4.966821397984727e-09,-6.269077174163654e-05,-8.994190866202567e-10,0.01987920978817639,-1.547566857681864e-08
1,15.25222956539018,0.0,-0.470969178841602,2.584894515923302e-07,0.52868915321769,-4.115749022909696e-09,0.0,0.0,1.0,0.0,19.87920978817549,-1.608111238493264e-05,0.0,0.0,-0.0198861596378159,8.922290635935901e-09,-5.708657267129784e-05,-1.197561844176366e-09,-0.009522047404721824,7.299491479167185e-09,-6.40364223117116e-05,-8.3563835931731e-09,0.0,0.0,-0.01035716238345366,8.781620905765453e-09,-6.269079209437686e-05,-4.085858730238925e-09,0.0,0.0,0.009528997254362242,-1.406697301704492e-10,5.708657267129713e-05,1.197561844176366e-09,-0.00940361569052619,5.161134893811513e-09,-6.269077174167643e-05,-9.346064334021396e-10,0.01987920978817549,-1.608111238493264e-08
