case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(it),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
1,-0.2,11.99895283505567,-0.6346358695107669,-12.0,9.665246502746228,-0.2,12.0,-0.0004969788642974725,-1.311998179323486e-09,0.0004967560632454877,3.019823704347575e-06,0.0005,0.0004967560632454833,0.0005,2.228010519858804e-07,1.311998179323487e-09,2.228010519858607e-07
1,-0.198,11.99886871774879,-0.6346349180337854,-12.0,9.665330597900379,-0.198,12.0,-0.0004969788690108155,-1.418371480392021e-09,0.0004967381706594949,3.019712617705276e-06,0.0005,0.0004967381706594938,0.0005,2.40698351320803e-07,1.418371480392025e-09,2.406983513212666e-07
1,-0.196,11.99877784672885,-0.6346338901257126,-12.0,9.665421444998799,-0.196,12.0,-0.0004969788741005054,-1.533287317987237e-09,0.0004967188414896196,3.019592612179644e-06,0.0005,0.0004967188414896172,0.0005,2.600326108833338e-07,1.533287317987236e-09,2.600326108835091e-07
1,-0.194,11.99867968036129,-0.6346327796504824,-12.0,9.665519585535193,-0.194,12.0,-0.0004969788795964889,-1.657430981657316e-09,0.0004966979605244226,3.019462972530368e-06,0.0005,0.000496697960524427,0.0005,2.809190720654549e-07,1.657430981657311e-09,2.809190720651872e-07
1,-0.192,11.99857363367643,-0.6346315799802406,-12.0,9.665625604327353,-0.192,12.0,-0.0004969788855311097,-1.791542607969536e-09,0.0004966754033346051,3.019322926283647e-06,0.0005,0.0004966754033346058,0.0005,3.034821965042992e-07,1.791542607969531e-09,3.034821965037037e-07
1,-0.19,11.99845907491944,-0.6346302839557414,-12.0,9.665740132966086,-0.19,12.0,-0.0004969788919392494,-1.936421548869462e-09,0.000496651035539129,3.019171639201705e-06,0.0005,0.0004966510355391307,0.0005,3.278564001191007e-07,1.936421548869465e-09,3.278564001191552e-07
1,-0.188,11.99833532182862,-0.6346288838439412,-12.0,9.665863853536138,-0.188,12.0,-0.0004969788988585639,-2.0929310844039e-09,0.0004966247120135874,3.019008210355999e-06,0.0005,0.0004966247120135877,0.0005,3.541868449743167e-07,2.0929310844039e-09,3.541868449745263e-07
1,-0.186,11.99820163762092,-0.6346273712921506,-12.0,9.665997502629665,-0.186,12.0,-0.0004969789063296653,-2.262003506360355e-09,0.0004965962760362417,3.018831666829917e-06,0.0005,0.0004965962760362415,0.0005,3.826302934218098e-07,2.262003506360354e-09,3.826302934217582e-07
1,-0.184,11.99805722666229,-0.6346257372785471,-12.0,9.666141875674647,-0.184,12.0,-0.0004969789143964018,-2.444645601302354e-09,0.0004965655583671004,3.01864095800079e-06,0.0005,0.0004965655583670964,0.0005,4.133560293006603e-07,2.444645601302359e-09,4.133560293003736e-07
1,-0.182,11.9979012297988,-0.6346239720587602,-12.0,9.666297831602769,-0.182,12.0,-0.000496978923106052,-2.641944563577923e-09,0.0004965323762547329,3.018434949386462e-06,0.0005,0.00049653237625473,0.0005,4.465468513194835e-07,2.641944563577924e-09,4.465468513189306e-07
1,-0.18,11.99773271932266,-0.6346220651082277,-12.0,9.666466297882046,-0.18,12.0,-0.0004969789325096337,-2.855074371069667e-09,0.0004964965323655187,3.01821241599555e-06,0.0005,0.0004964965323655221,0.0005,4.824001441143893e-07,2.855074371069668e-09,4.824001441139134e-07
1,-0.178,11.99755069354553,-0.6346200050599887,-12.0,9.666648275942165,-0.178,12.0,-0.0004969789426621891,-3.085302658792229e-09,0.000496457813629323,3.017972035151915e-06,0.0005,0.0004964578136293265,0.0005,5.21129032865982e-07,3.085302658792231e-09,5.211290328661822e-07
1,-0.176,11.99735407094948,-0.6346177796375602,-12.0,9.666844847022091,-0.176,12.0,-0.000496978953623075,-3.333998127892059e-09,0.0004964159899953008,3.017712378800198e-06,0.0005,0.0004964159899952998,0.0005,5.629636277722885e-07,3.33399812789205e-09,5.629636277712217e-07
1,-0.174,11.99714168388398,-0.6346153755825155,-12.0,9.66705717847146,-0.174,12.0,-0.0004969789654562904,-3.60263853029812e-09,0.0004963708130911797,3.017431905180052e-06,0.0005,0.0004963708130911788,0.0005,6.081523651114894e-07,3.602638530298112e-09,6.081523651106971e-07
1,-0.172,11.99691227177519,-0.6346127785763576,-12.0,9.667286530539599,-0.172,12.0,-0.0004969789782308929,-3.892819271932508e-09,0.000496322014778803,3.017128949837626e-06,0.0005,0.0004963220147788088,0.0005,6.569634520888235e-07,3.892819271932515e-09,6.569634520878161e-07
1,-0.17,11.99666447381122,-0.6346099731562402,-12.0,9.667534263688637,-0.17,12.0,-0.0004969789920213062,-4.206262680355226e-09,0.00049626930559816,3.016801716015027e-06,0.0005,0.0004962693055981624,0.0005,7.096864231465299e-07,4.206262680355222e-09,7.096864231449578e-07
1,-0.168,11.99639682106517,-0.6346069426240765,-12.0,9.667801846468215,-0.168,12.0,-0.0004969790069077884,-4.544827985811115e-09,0.000496212373091864,3.016448264227061e-06,0.0005,0.000496212373091869,0.0005,7.666338159239452e-07,4.544827985811116e-09,7.666338159215786e-07
1,-0.166,11.99610772801476,-0.634603668948514,-12.0,9.668090863994017,-0.166,12.0,-0.0004969790229768494,-4.910522067700101e-09,0.0004961508800012632,3.016066501083001e-06,0.0005,0.0004961508800012729,0.0005,8.281429755857913e-07,4.910522067700084e-09,8.281429755826251e-07
1,-0.164,11.9957954834151,-0.6346001326592456,-12.0,9.668403027072742,-0.164,12.0,-0.0004969790403217323,-5.305511021989621e-09,0.0004960844623249432,3.015654167250504e-06,0.0005,0.0004960844623249486,0.0005,8.945779967899352e-07,5.305511021989605e-09,8.945779967862556e-07
1,-0.162,11.99545824047827,-0.6345963127330693,-12.0,9.668740182020038,-0.162,12.0,-0.0004969790590429032,-5.732132608399114e-09,0.0004960127272297641,3.015208824483568e-06,0.0005,0.0004960127272297792,0.0005,9.663318131394725e-07,5.732132608399113e-09,9.663318131349104e-07
1,-0.16,11.99509400631061,-0.6345921864710717,-12.0,9.669104321220686,-0.16,12.0,-0.0004969790792486526,-6.19290963988121e-09,0.0004959352508040956,3.014727841709153e-06,0.0005,0.0004959352508041092,0.0005,1.04382844455614e-06,6.192909639881202e-09,1.043828444550175e-06
1,-0.158,11.99470063055603,-0.6345877293662748,-12.0,9.669497594482685,-0.158,12.0,-0.0004969791010555839,-6.69056438048102e-09,0.0004958515756419653,3.014208380036081e-06,0.0005,0.0004958515756419818,0.0005,1.127525413618667e-06,6.690564380481016e-09,1.127525413611305e-06
1,-0.156,11.99427579319016,-0.6345829149610293,-12.0,9.669922321240001,-0.156,12.0,-0.000496979124589317,-7.228034021445891e-09,0.000495761208246786,3.013647376664232e-06,0.0005,0.0004957612082468082,0.0005,1.217916342529496e-06,7.228034021445903e-09,1.217916342520137e-06
1,-0.154,11.99381699140797,-0.634577714693396,-12.0,9.670381003661987,-0.154,12.0,-0.0004969791499851071,-7.80848730936068e-09,0.000495663616242107,3.013041527586484e-06,0.0005,0.0004956636162421304,0.0005,1.315533742997234e-06,7.808487309360685e-09,1.315533742985537e-06
1,-0.152,11.99332152554391,-0.6345720977317053,-12.0,9.670876340729826,-0.152,12.0,-0.0004969791773885525,-8.435342403667478e-09,0.000495558225376605,3.01238726904156e-06,0.0005,0.0004955582253766327,0.0005,1.420952011948762e-06,8.43534240366748e-09,1.420952011933934e-06
1,-0.15,11.99278648396106,-0.63456603079643,-12.0,9.671411243343861,-0.15,12.0,-0.0004969792069563759,-9.11228604488716e-09,0.0004954444163097771,3.011680757579731e-06,0.0005,0.0004954444163098167,0.0005,1.534790646602119e-06,9.112286044887149e-09,1.534790646582918e-06
1,-0.148,11.99220872684286,-0.6345594779684481,-12.0,9.671988850528244,-0.148,12.0,-0.0004969792388571947,-9.843294118533372e-09,0.000495321521164161,3.010917848687977e-06,0.0005,0.0004953215211642033,0.0005,1.65771769303229e-06,9.843294118533392e-09,1.657717693008631e-06
1,-0.146,11.99158486881835,-0.6345524004827289,-12.0,9.672612546801403,-0.146,12.0,-0.0004969792732723703,-1.06326537031126e-08,0.0004951888198294356,3.010094073929595e-06,0.0005,0.0004951888198294886,0.0005,1.790453442934142e-06,1.063265370311262e-08,1.790453442904596e-06
1,-0.144,11.99091126034924,-0.6345447565063921,-12.0,9.67328598078511,-0.144,12.0,-0.0004969793103969155,-1.148498669414195e-08,0.000495045536003103,3.009204616386305e-06,0.0005,0.0004950455360031681,0.0005,1.933774393815387e-06,1.148498669414191e-08,1.933774393777675e-06
1,-0.142,11.99018396780511,-0.6345365009000568,-12.0,9.674013085124443,-0.142,12.0,-0.0004969793504404846,-1.240527509867881e-08,0.0004948908329521643,3.008244284417573e-06,0.0005,0.0004948908329522461,0.0005,2.088517488322315e-06,1.240527509867879e-08,2.088517488274685e-06
1,-0.14,11.98939875215097,-0.6345275849613049,-12.0,9.674798097795843,-0.14,12.0,-0.0004969793936282986,-1.33988880980599e-08,0.0004947238089795101,3.007207483603696e-06,0.0005,0.0004947238089796078,0.0005,2.255584648789281e-06,1.339888809805994e-08,2.255584648730459e-06
1,-0.138,11.98855104617042,-0.6345179561490503,-12.0,9.675645584878673,-0.138,12.0,-0.0004969794402022781,-1.447161097747072e-08,0.0004945434925788886,3.006088186746457e-06,0.0005,0.0004945434925790058,0.0005,2.435947623388964e-06,1.447161097747069e-08,2.435947623313831e-06
1,-0.136,11.9876359301465,-0.6345075577875098,-12.0,9.676560464869247,-0.136,12.0,-0.0004969794904221237,-1.56296760233274e-08,0.0004943488372617134,3.004879901849177e-06,0.0005,0.0004943488372618623,0.0005,2.630653160412567e-06,1.562967602332737e-08,2.630653160318139e-06
1,-0.134,11.98664810592273,-0.6344963287484365,-12.0,9.677548034614304,-0.134,12.0,-0.0004969795445665284,-1.687979548853377e-08,0.0004941387160393301,3.003575637985966e-06,0.0005,0.0004941387160395098,0.0005,2.840828527196717e-06,1.687979548853374e-08,2.84082852707818e-06
