case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(rt),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
1,-0.2,11.99547248895875,-0.6725062741032068,-12.0,2.558920801616438,-0.2,12.0,-0.002009703555196769,-5.712134396585556e-09,0.002008740254975216,1.305746943612763e-05,0.002022766736767284,0.002008740254975226,0.002022766736767285,9.63300221542651e-07,5.712134396585579e-09,9.633002215421136e-07
1,-0.198,11.99510882219399,-0.6725051900116207,-12.0,2.559283147876954,-0.198,12.0,-0.002009703836155107,-6.172037497137561e-09,0.002008663160026174,1.305692216246028e-05,0.002022766930355068,0.00200866316002618,0.002022766930355073,1.040676128939679e-06,6.172037497137546e-09,1.040676128939173e-06
1,-0.196,11.99471596313501,-0.6725040188552226,-12.0,2.559674580472233,-0.196,12.0,-0.002009704139658035,-6.668869876904092e-09,0.002008579876495265,1.30563309622537e-05,0.002022767139490139,0.00200857987649527,0.002022767139490161,1.124263162765891e-06,6.668869876904087e-09,1.124263162764353e-06
1,-0.194,11.99429157165635,-0.6725027536474316,-12.0,2.560097431037406,-0.194,12.0,-0.002009704467511981,-7.2055931501733e-09,0.002008489908289926,1.305569231499991e-05,0.002022767365420101,0.002008489908289914,0.002022767365420127,1.214559222055342e-06,7.205593150173301e-09,1.214559222052562e-06
1,-0.192,11.99383312057703,-0.6725013868422443,-12.0,2.560554217584297,-0.192,12.0,-0.002009704821667813,-7.785405815933658e-09,0.002008392719662914,1.305500241885737e-05,0.002022767609492456,0.002008392719662916,0.002022767609492486,1.31210200489085e-06,7.785405815933656e-09,1.312102004887306e-06
1,-0.19,11.99333788079772,-0.6724999102892715,-12.0,2.561047659311129,-0.19,12.0,-0.002009705204232182,-8.411762100301027e-09,0.002008287732061475,1.305425716838406e-05,0.00202276787316263,0.002008287732061462,0.002022767873162665,1.417472170702084e-06,8.411762100301029e-09,1.417472170698343e-06
1,-0.188,11.99280290527195,-0.6724983151856129,-12.0,2.561580692572676,-0.188,12.0,-0.002009705617479908,-9.088392280170597e-09,0.002008174320729252,1.305345213043884e-05,0.002022768158002569,0.002008174320729218,0.00202276815800261,1.531296750653921e-06,9.0883922801706e-09,1.531296750648741e-06
1,-0.186,11.99222501172227,-0.6724965920238398,-12.0,2.562156488101721,-0.186,12.0,-0.002009706063867273,-9.819324601573887e-09,0.00200805181104221,1.305258251820728e-05,0.002022768465710029,0.002008051811042187,0.002022768465710076,1.654252825056282e-06,9.819324601573838e-09,1.65425282504956e-06
1,-0.184,11.99160076400606,-0.6724947305358674,-12.0,2.562778469575647,-0.184,12.0,-0.002009706546046448,-1.060890891460213e-08,0.002007919474558364,1.30516431632769e-05,0.002022768798118595,0.002007919474558373,0.00202276879811865,1.787071488081219e-06,1.060890891460214e-08,1.787071488073047e-06
1,-0.182,11.99092645202895,-0.6724927196324019,-12.0,2.563450333630243,-0.182,12.0,-0.002009707066881032,-1.146184215508851e-08,0.002007776524759529,1.305062848536902e-05,0.002022769157208499,0.002007776524759523,0.002022769157208564,1.93054212150961e-06,1.146184215508851e-08,1.930542121499381e-06
1,-0.18,11.99019807009654,-0.6724905473376132,-12.0,2.564176071429557,-0.18,12.0,-0.002009707629462576,-1.23831958130211e-08,0.002007622112461836,1.304953245997168e-05,0.002022769545118283,0.002007622112461797,0.002022769545118358,2.08551700074877e-06,1.238319581302109e-08,2.085517000735879e-06
1,-0.178,11.98941129358763,-0.6724882007186758,-12.0,2.564959991907529,-0.178,12.0,-0.002009708237128725,-1.337844553672546e-08,0.002007455320870751,1.304834858320428e-05,0.00202276996415738,0.002007455320870738,0.002022769964157467,2.252916257968141e-06,1.337844553672539e-08,2.252916257951956e-06
1,-0.176,11.98856145382431,-0.6724856658097709,-12.0,2.565806746807993,-0.176,12.0,-0.002009708893482539,-1.445350303292036e-08,0.002007275160253645,1.304706983422144e-05,0.002022770416819684,0.002007275160253618,0.002022770416819785,2.433733228890433e-06,1.445350303292033e-08,2.433733228869755e-06
1,-0.174,11.98764351100583,-0.6724829275301406,-12.0,2.566721357651744,-0.174,12.0,-0.002009709602413326,-1.561475043304999e-08,0.002007080562201777,1.304568863454402e-05,0.002022770905798189,0.002007080562201757,0.002022770905798308,2.629040211551543e-06,1.561475043304993e-08,2.629040211524793e-06
1,-0.172,11.98665202506429,-0.6724799695957295,-12.0,2.567709244775642,-0.172,12.0,-0.002009710368119251,-1.686907730803646e-08,0.002006870373452042,1.304419680435334e-05,0.002022771434000763,0.002006870373451991,0.002022771434000901,2.839994667205785e-06,1.686907730803651e-08,2.839994667173178e-06
1,-0.17,11.98558112429138,-0.6724767744239378,-12.0,2.568776258591726,-0.17,12.0,-0.002009711195131303,-1.82239205253611e-08,0.002006643349235809,1.304258551548489e-05,0.002022772004567154,0.002006643349235803,0.002022772004567316,3.067845895493761e-06,1.822392052536111e-08,3.067845895452078e-06
1,-0.168,11.98442447157558,-0.672473323030954,-12.0,2.569928713228791,-0.168,12.0,-0.002009712088339567,-1.968730715512487e-08,0.002006398146121561,1.304084524078001e-05,0.00202277262088733,0.002006398146121534,0.002022772620887518,3.313942218015088e-06,1.968730715512488e-08,3.313942217962624e-06
1,-0.166,11.98317522807958,-0.6724695949211293,-12.0,2.571173422721841,-0.166,12.0,-0.0020097130530211,-2.126790064443119e-08,0.00200613331431456,1.303896569970292e-05,0.002022773286621227,0.002006133314314502,0.002022773286621447,3.579738706538035e-06,2.126790064443117e-08,3.5797387064721e-06
1,-0.164,11.98182601417748,-0.6724655679677825,-12.0,2.572517739934142,-0.164,12.0,-0.002009714094869971,-2.297505049315621e-08,0.002005847289375732,1.303693579984079e-05,0.002022774005720039,0.002005847289375715,0.002022774005720296,3.86680549423764e-06,2.297505049315619e-08,3.866805494154243e-06
1,-0.162,11.98036886746086,-0.6724612182848079,-12.0,2.573969598399685,-0.162,12.0,-0.002009715220029813,-2.481884567797068e-08,0.002005538383319236,1.303474357396063e-05,0.002022774782449142,0.002005538383319216,0.00202277478244944,4.176836710560569e-06,2.481884567797065e-08,4.176836710455899e-06
1,-0.16,11.97879519761258,-0.6724565200884177,-12.0,2.575537557284377,-0.16,12.0,-0.002009716435128443,-2.681017208543829e-08,0.002005204775045877,1.303237611259507e-05,0.002022775621412782,0.002005204775045877,0.002022775621413132,4.511660082560196e-06,2.681017208543826e-08,4.51166008242895e-06
1,-0.158,11.97709573793608,-0.6724514455482866,-12.0,2.577230849682195,-0.158,12.0,-0.00200971774731542,-2.896077422996275e-08,0.002004844500067594,1.30298194914162e-05,0.002022776527580663,0.002004844500067618,0.00202277652758107,4.873247247808499e-06,2.896077422996263e-08,4.873247247642444e-06
1,-0.156,11.97526049331762,-0.6724459646273392,-12.0,2.579059434464142,-0.156,12.0,-0.002009719164301942,-3.128332154634072e-08,0.002004455439475696,1.302705869352989e-05,0.002022777506316546,0.002004455439475715,0.002022777506317021,5.263724826246525e-06,3.128332154634067e-08,5.26372482603752e-06
1,-0.154,11.97327868438862,-0.6724400449093679,-12.0,2.581034051913548,-0.154,12.0,-0.002009720694404027,-3.379147956151779e-08,0.00200403530810347,1.302407752600346e-05,0.002022778563409041,0.002004035308103501,0.002022778563409595,5.685386300557086e-06,3.379147956151784e-08,5.685386300293788e-06
1,-0.152,11.97113868764464,-0.6724336514136141,-12.0,2.583166283390113,-0.152,12.0,-0.002009722346588639,-3.649998626440332e-08,0.002003581641831839,1.302085853047006e-05,0.002022779705104712,0.002003581641831891,0.002022779705105357,6.140704756790303e-06,3.649998626440339e-08,6.140704756459632e-06
1,-0.15,11.96882797126864,-0.6724267463954006,-12.0,2.585468615274465,-0.15,12.0,-0.002009724130523076,-3.94247340063737e-08,0.002003091783984068,1.301738288734904e-05,0.002022780938143679,0.002003091783984156,0.002022780938144431,6.632346539004768e-06,3.942473400637354e-08,6.632346538588023e-06
1,-0.148,11.96633302639677,-0.6724192891318534,-12.0,2.587954507452622,-0.148,12.0,-0.002009726056628156,-4.258285727797213e-08,0.002002562870754597,1.301363031333183e-05,0.002022782269797883,0.002002562870754761,0.00202278226979876,7.16318587355194e-06,4.258285727797227e-08,7.163185873028087e-06
1,-0.146,11.96363929355789,-0.672411235691687,-12.0,2.590638466611267,-0.146,12.0,-0.002009728136134659,-4.5992826719854e-08,0.002001991815614405,1.300957895183913e-05,0.002022783707912199,0.002001991815614624,0.002022783707913221,7.736320520257908e-06,4.599282671985411e-08,7.736320519598694e-06
1,-0.144,11.9607310840112,-0.6724025386879912,-12.0,2.593536124613649,-0.144,12.0,-0.002009730381144163,-4.967454973577674e-08,0.002001375292635067,1.300520525585779e-05,0.002022785260948573,0.002001375292635394,0.002022785260949764,8.355088509084338e-06,4.96745497357769e-08,8.355088508255933e-06
1,-0.142,11.95759149570257,-0.6723931470128867,-12.0,2.59666432223986,-0.142,12.0,-0.002009732804693719,-5.364947808461361e-08,0.002000709718671938,1.300048386300911e-05,0.002022786938033413,0.00200070971867237,0.002022786938034801,9.02308602177247e-06,5.364947808461342e-08,9.023086020730268e-06
1,-0.14,11.95420232355768,-0.6723830055528826,-12.0,2.600041198568078,-0.14,12.0,-0.002009735420824969,-5.794072283407629e-08,0.001999991234346579,1.29953874622111e-05,0.002022788749008414,0.001999991234347217,0.002022788749010032,9.744186478398036e-06,5.794072283407633e-08,9.744186477088847e-06
1,-0.138,11.95054396383145,-0.6723720548837018,-12.0,2.603686286279157,-0.138,12.0,-0.002009738244658122,-6.257317706155884e-08,0.001999215683769548,1.298988665175205e-05,0.002022790704485053,0.001999215683770392,0.002022790704486938,1.052256088857018e-05,6.25731770615588e-08,1.05225608869248e-05
1,-0.136,11.94659531223738,-0.6723602309433097,-12.0,2.607620613157593,-0.136,12.0,-0.002009741292470116,-6.75736466864655e-08,0.001998378592944081,1.29839497883698e-05,0.00202279281590298,0.001998378592945193,0.002022792815905176,1.136269952602944e-05,6.757364668646526e-08,1.136269952396222e-05
1,-0.134,11.94233365558969,-0.6723474646818253,-12.0,2.611866810056796,-0.134,12.0,-0.002009744581778496,-7.297098981214621e-08,0.001997475146794973,1.297754282679378e-05,0.002022795095592531,0.001997475146796426,0.002022795095595089,1.226943498351423e-05,7.297098981214629e-08,1.226943498091802e-05
1,-0.132,11.93773455670519,-0.67233368168696,-12.0,2.616449225580141,-0.132,12.0,-0.002009748131429965,-7.879626494342996e-08,0.001996500164768237,1.297062914968803e-05,0.002022797556841614,0.001996500164770183,0.002022797556844593,1.324796666172876e-05,7.879626494342973e-08,1.324796665847035e-05
1,-0.13,11.93277173233233,-0.6723188017836037,-12.0,2.621394047709941,-0.13,12.0,-0.002009751961694676,-8.508288842675926e-08,0.00199544807495279,1.296316938758588e-05,0.002022800213967214,0.001995448074955332,0.002022800213970682,1.430388674189026e-05,8.508288842675935e-08,1.430388673780125e-05
1,-0.128,11.92741692390289,-0.6723027386061526,-12.0,2.626729432586018,-0.128,12.0,-0.002009756094365828,-9.186680143183684e-08,0.001994312886680467,1.295512122852693e-05,0.002022803082391758,0.001994312886683826,0.002022803082395796,1.544320768536529e-05,9.186680143183696e-08,1.544320768023707e-05
1,-0.126,11.92163976093863,-0.6722853991421546,-12.0,2.632485640604699,-0.126,12.0,-0.002009760552865216,-9.918664675532886e-08,0.001993088161569124,1.294643921734371e-05,0.002022806178724615,0.001993088161573468,0.002022806178729315,1.667239129608315e-05,9.918664675532923e-08,1.667239128965239e-05
1,-0.124,11.91540761699249,-0.67226668324587,-12.0,2.63869517995397,-0.124,12.0,-0.00200976536235427,-1.070839556783206e-07,0.001991766982982911,1.293707454447289e-05,0.002022809520848952,0.001991766982988517,0.002022809520854421,1.79983793713595e-05,1.070839556783206e-07,1.799837936330055e-05
1,-0.122,11.90868545806273,-0.6722464831203462,-12.0,2.645392957649818,-0.122,12.0,-0.002009770549851275,-1.156033450433168e-07,0.001990341923897076,1.292697482428202e-05,0.002022813128014224,0.001990341923904294,0.002022813128020586,1.942862595419455e-05,1.156033450433172e-07,1.942862594410016e-05
1,-0.12,11.90143568349211,-0.6722246827666599,-12.0,2.652616438058772,-0.12,12.0,-0.002009776144354214,-1.247927246389144e-07,0.001988805013169679,1.291608386307823e-05,0.002022817020934525,0.001988805013178985,0.002022817020941925,2.09711311845303e-05,1.247927246389143e-07,2.097113117189182e-05
1,-0.118,11.89361795945271,-0.6722011573990392,-12.0,2.660405808808036,-0.118,12.0,-0.002009782176969699,-1.347035148772578e-07,0.001987147700241699,1.290434141705435e-05,0.002022821221893029,0.001987147700253609,0.002022821221901634,2.263447672800272e-05,1.34703514877258e-07,2.263447671218973e-05
1,-0.116,11.88518904522506,-0.672175772824673,-12.0,2.668804153873907,-0.116,12.0,-0.00200978868104732,-1.453908746329587e-07,0.001985360818309471,1.289168294077968e-05,0.002022825754852737,0.001985360818324701,0.002022825754862739,2.442786273784646e-05,1.453908746329586e-07,2.44278627180724e-05
1,-0.114,11.87610261260805,-0.6721483847871411,-12.0,2.677857633514634,-0.114,12.0,-0.002009795692319632,-1.569139389622112e-07,0.001983434546041314,1.287803932676192e-05,0.002022830645573725,0.001983434546060716,0.002022830645585348,2.636114627831548e-05,1.569139389622113e-07,2.636114625360544e-05
1,-0.112,11.86630905894839,-0.6721188382725697,-12.0,2.687615670558841,-0.112,12.0,-0.002009803249047247,-1.693360662502066e-07,0.001981358367941569,1.28633366370584e-05,0.002022835921737041,0.001981358367966204,0.002022835921750543,2.844488110566683e-05,1.693360662502063e-07,2.844488107481056e-05
1,-0.11,11.85575531445634,-0.6720869667778216,-12.0,2.698131142385108,-0.11,12.0,-0.002009811392168669,-1.827250941251249e-07,0.001979121033503845,1.284749582827668e-05,0.002022841613075389,0.001979121033535083,0.002022841613091067,3.069035866481408e-05,1.827250941251247e-07,3.06903586263117e-05
1,-0.108,11.84438464468253,-0.6720525915402994,-12.0,2.709460577722524,-0.108,12.0,-0.002009820165454218,-1.971536032419889e-07,0.00197671051533866,1.283043247139444e-05,0.00202284775151066,0.001976710515378186,0.002022847751528859,3.310965011555048e-05,1.971536032419888e-07,3.310965006754732e-05
1,-0.106,11.83213644927088,-0.6720155207292562,-12.0,2.721664357158176,-0.106,12.0,-0.002009829615663285,-2.126991877513931e-07,0.001974113966512185,1.281205646841405e-05,0.002022854371298347,0.00197411396656209,0.002022854371319461,3.571564915109617e-05,2.12699187751393e-07,3.571564909130132e-05
1,-0.104,11.81894605837874,-0.6719755485989013,-12.0,2.734806915966942,-0.104,12.0,-0.002009839792704013,-2.294447309454026e-07,0.001971317677391027,1.279227176831924e-05,0.002022861509178768,0.001971317677453842,0.002022861509203253,3.852211531297672e-05,2.294447309454041e-07,3.85221152385651e-05
1,-0.102,11.80474452847026,-0.6719324546040477,-12.0,2.748956947561283,-0.102,12.0,-0.00200985074979407,-2.474786842046579e-07,0.001968307032354819,1.277097608509535e-05,0.002022869204534991,0.00196830703243377,0.002022869204563373,4.154371743925822e-05,2.474786842046575e-07,4.154371734675227e-05
1,-0.1,11.78945843954562,-0.6718860024795891,-12.0,2.764187605506606,-0.1,12.0,-0.002009862543621741,-2.668953469353318e-07,0.00196506646681444,1.274806062141726e-05,0.002022877499557216,0.001965066466913488,0.002022877499590095,4.479607680729412e-05,2.668953469353325e-07,4.479607669242144e-05
1,-0.098,11.7730096962692,-0.671835939285731,-12.0,2.780576701646197,-0.098,12.0,-0.002009875234504572,-2.877951447159309e-07,0.001961579425057673,1.272340980204269e-05,0.002022886439413262,0.00196157942518166,0.002022886439451329,4.829580944690362e-05,2.877951447159311e-07,4.829580930442655e-05
1,-0.096,11.75531533590658,-0.6717819944216353,-12.0,2.79820689743471,-0.096,12.0,-0.002009888886544745,-3.102849023207725e-07,0.001957828319539869,1.269690102169636e-05,0.002022896072424708,0.001957828319694742,0.002022896072468754,5.206056700487628e-05,3.10284902320773e-07,5.206056682838717e-05
1,-0.09400000000000001,11.73628734647391,-0.6717238786109698,-12.0,2.817165885087206,-0.09400000000000001,12.0,-0.002009903567778186,-3.344781076960069e-07,0.001953794492341541,1.266840441310253e-05,0.002022906450248041,0.001953794492534637,0.002022906450298971,5.610907543663621e-05,3.344781076960072e-07,5.610907521831704e-05
