case,frequency_real,frequency_imag,v(c1)_real,v(c1)_imag,v(tail)_real,v(tail)_imag,v(vas)_real,v(vas)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(it)_real,i(it)_imag,ic(q3)_real,ic(q3)_imag,ib(q3)_real,ib(q3)_imag,i(io)_real,i(io)_imag,i(rg)_real,i(rg)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rc)_real,i(rc)_imag,i(ivas)_real,i(ivas)_imag,ic(q4)_real,ic(q4)_imag,ib(q4)_real,ib(q4)_imag,i(rf)_real,i(rf)_imag,i(cc)_real,i(cc)_imag
1,10.0,0.0,-0.002675459960640687,-1.654442973635347e-06,0.9996462910829609,-1.641618930283763e-06,10.02566885998885,-3.795329540531928e-05,0.0,0.0,0.9997365261062919,-3.513174537316764e-06,1.0,0.0,9.997538912418266,-3.784557554483053e-05,0.0,0.0,-0.001999403707633796,7.801268457789396e-09,-8.67097145354548e-08,-5.035363659914034e-10,-5.051857769796868e-06,-6.729958100776252e-08,1.929459503834344e-08,-3.015366857403868e-10,0.0,0.0,-1.29715821392996e-05,-6.403313483397355e-08,-6.305952311165921e-07,-1.419179231980098e-09,0.0,0.0,0.000999736526106292,-3.513174537316764e-09,0.0009997538912418266,-3.784557554483053e-09,0.0,0.0,4.945853460222979e-06,6.709758132751177e-08,8.670971453546695e-08,5.03536365991409e-10,4.315258001033366e-06,2.66845640908927e-09,0.0,0.0,0.001986538130032172,-8.622457925070072e-09,1.297158191122761e-05,1.023189147529086e-09,0.0009997558207013306,-3.814711223057086e-09,-2.280724162662365e-13,-6.300994568644448e-08
1,10.39122303835169,0.0,-0.002675459961119407,-1.719168594326476e-06,0.9996462910824935,-1.705842844854636e-06,10.02566885998027,-3.943811575969219e-05,0.0,0.0,0.9997365261052913,-3.650618018989014e-06,1.0,0.0,9.99753891240971,-3.932618165009238e-05,0.0,0.0,-0.001999403707632001,8.106472052696618e-09,-8.670971440697693e-08,-5.232358686943713e-10,-5.051857788971289e-06,-6.993249566387805e-08,1.929459519952025e-08,-3.133334955781072e-10,0.0,0.0,-1.297158215780651e-05,-6.653825859041277e-08,-6.305952312982417e-07,-1.474700793089881e-09,0.0,0.0,0.0009997365261052913,-3.650618018989015e-09,0.000999753891240971,-3.932618165009239e-09,0.0,0.0,4.945853479368932e-06,6.972259329076031e-08,8.670971440693647e-08,5.232358686943619e-10,4.315258001805494e-06,2.772852571494317e-09,0.0,0.0,0.001986538130030107,-8.95978834381543e-09,1.29715819115403e-05,1.063218664238639e-09,0.0009997558207004908,-3.963951514567041e-09,-2.462669302962275e-13,-6.547503992617418e-08
1,10.7977516232771,0.0,-0.002675459961636344,-1.786426430416034e-06,0.9996462910819887,-1.772579346924534e-06,10.02566885997099,-4.098102570710426e-05,0.0,0.0,0.9997365261042102,-3.793438606310699e-06,1.0,0.0,9.997538912400461,-4.086471247725924e-05,0.0,0.0,-0.001999403707630213,8.423615915366711e-09,-8.670971426817392e-08,-5.437060613275228e-10,-5.05185780969465e-06,-7.266841600712748e-08,1.929459537343899e-08,-3.255918237945961e-10,0.0,0.0,-1.297158217779096e-05,-6.914138855958955e-08,-6.305952314943874e-07,-1.532394485582723e-09,0.0,0.0,0.00099973652610421,-3.793438606310699e-09,0.000999753891240046,-4.086471247725924e-09,0.0,0.0,4.945853500047463e-06,7.245030176959365e-08,8.670971426818316e-08,5.437060613275415e-10,4.315258002639264e-06,2.881332952283926e-09,0.0,0.0,0.00198653813002803,-9.31031590569528e-09,1.297158191187857e-05,1.104814227863168e-09,0.0009997558206995836,-4.119030430105394e-09,-2.659129146363957e-13,-6.803657433172642e-08
1,11.22018454301963,0.0,-0.002675459962194506,-1.856315548004194e-06,0.9996462910814436,-1.841926734705126e-06,10.02566885996099,-4.258429784626541e-05,0.0,0.0,0.9997365261030435,-3.941846664043185e-06,1.0,0.0,9.997538912390485,-4.246343417490241e-05,0.0,0.0,-0.001999403707628124,8.753167176593038e-09,-8.670971411831108e-08,-5.649770950565122e-10,-5.051857832046849e-06,-7.551137185730946e-08,1.929459556137781e-08,-3.383297260522125e-10,0.0,0.0,-1.297158219936906e-05,-7.184635897033556e-08,-6.305952317061778e-07,-1.592345288242585e-09,0.0,0.0,0.0009997365261030435,-3.941846664043185e-09,0.0009997538912390486,-4.246343417490242e-09,0.0,0.0,4.945853522372279e-06,7.528472448830232e-08,8.670971411834388e-08,5.649770950565269e-10,4.315258003539526e-06,2.994057335490635e-09,0.0,0.0,0.001986538130025528,-9.674556913352763e-09,1.297158191224329e-05,1.148037105765876e-09,0.0009997558206986047,-4.28017639009547e-09,-2.871261605663559e-13,-7.069832186456965e-08
1,11.65914401179831,0.0,-0.002675459962797197,-1.928938888885194e-06,0.9996462910808552,-1.913987152060603e-06,10.02566885995019,-4.42502936851842e-05,0.0,0.0,0.9997365261017837,-4.096060786901563e-06,1.0,0.0,9.997538912379717,-4.41247015485476e-05,0.0,0.0,-0.001999403707625714,9.095611242389075e-09,-8.670971395653859e-08,-5.870803006300628e-10,-5.05185785619152e-06,-7.84655506900428e-08,1.929459576425152e-08,-3.515659643922729e-10,0.0,0.0,-1.297158222266858e-05,-7.46571540553476e-08,-6.305952319348666e-07,-1.654641504419256e-09,0.0,0.0,0.0009997365261017836,-4.096060786901563e-09,0.0009997538912379718,-4.41247015485476e-09,0.0,0.0,4.945853546475259e-06,7.823003635380782e-08,8.670971395653094e-08,5.870803006300615e-10,4.315258004511608e-06,3.111191756266442e-09,0.0,0.0,0.001986538130022877,-1.005304786837981e-08,1.297158191263621e-05,1.192950962230388e-09,0.0009997558206975483,-4.447626751294005e-09,-3.100316966338625e-13,-7.34642030931172e-08
1,12.11527658628588,0.0,-0.002675459963447966,-2.004403422173427e-06,0.9996462910802197,-1.988866738957863e-06,10.02566885993852,-4.598146711949114e-05,0.0,0.0,0.9997365261004231,-4.256308121529282e-06,1.0,0.0,9.99753891236808,-4.585096152912585e-05,0.0,0.0,-0.00199940370762344,9.451452508969917e-09,-8.670971378183671e-08,-6.100482345278298e-10,-5.051857882264412e-06,-8.153530380464254e-08,1.929459598330017e-08,-3.653200348704139e-10,0.0,0.0,-1.297158224782681e-05,-7.757791391968461e-08,-6.305952321817868e-07,-1.719374892092913e-09,0.0,0.0,0.0009997365261004232,-4.256308121529282e-09,0.000999753891236808,-4.585096152912586e-09,0.0,0.0,4.945853572506473e-06,8.129057560498504e-08,8.670971378184056e-08,6.100482345278379e-10,4.315258005561236e-06,3.232908745441012e-09,0.0,0.0,0.00198653813002021,-1.044634626154635e-08,1.297158191306295e-05,1.239621952233762e-09,0.0009997558206964064,-4.621628156399619e-09,-3.347645255592741e-13,-7.633829196745086e-08
1,12.58925411794167,0.0,-0.002675459964150665,-2.082820301861472e-06,0.9996462910795336,-2.066675787804674e-06,10.02566885992592,-4.778036804688844e-05,0.0,0.0,0.9997365260989539,-4.422824701070779e-06,1.0,0.0,9.997538912355514,-4.764475677716481e-05,0.0,0.0,-0.001999403707621069,9.821215105703245e-09,-8.670971359317789e-08,-6.33914726914163e-10,-5.051857910421214e-06,-8.472515273328314e-08,1.929459621979854e-08,-3.796121962729421e-10,0.0,0.0,-1.297158227499259e-05,-8.061294063885339e-08,-6.305952324484074e-07,-1.786640799027334e-09,0.0,0.0,0.0009997365260989539,-4.422824701070779e-09,0.0009997538912355514,-4.764475677716481e-09,0.0,0.0,4.945853600611453e-06,8.447085020264234e-08,8.67097135931987e-08,6.339147269141561e-10,4.31525800669462e-06,3.359387583647535e-09,0.0,0.0,0.00198653813001739,-1.085503139394853e-08,1.297158191352265e-05,1.288118818888159e-09,0.0009997558206951735,-4.802436897343781e-09,-3.614704199270408e-13,-7.932482181996519e-08
1,13.08177474260194,0.0,-0.002675459964909435,-2.164305030542176e-06,0.9996462910787929,-2.147528905901266e-06,10.02566885991232,-4.964964612292849e-05,0.0,0.0,0.9997365260973676,-4.595855792829861e-06,1.0,0.0,9.997538912341954,-4.950872942790737e-05,0.0,0.0,-0.001999403707618283,1.020544366708658e-08,-8.670971338947195e-08,-6.587149314672281e-10,-5.051857940825608e-06,-8.80397959008803e-08,1.929459647515611e-08,-3.944634999563883e-10,0.0,0.0,-1.297158230432602e-05,-8.376670459546568e-08,-6.305952327363105e-07,-1.856538303210511e-09,0.0,0.0,0.0009997365260973677,-4.595855792829861e-09,0.0009997538912341953,-4.950872942790737e-09,0.0,0.0,4.94585363095392e-06,8.777554446937496e-08,8.670971338948219e-08,6.587149314672306e-10,4.315258007918443e-06,3.490814565390607e-09,0.0,0.0,0.001986538130014279,-1.127970523027292e-08,1.297158191401965e-05,1.338512994694654e-09,0.000999755820693843,-4.990319292786389e-09,-3.903067813530261e-13,-8.2428191600771e-08
1,13.59356390878525,0.0,-0.002675459965728675,-2.248977629535911e-06,0.9996462910779927,-2.231545184249556e-06,10.02566885989763,-5.159205466380622e-05,0.0,0.0,0.9997365260956546,-4.77565625953301e-06,1.0,0.0,9.997538912327304,-5.144562498302719e-05,0.0,0.0,-0.001999403707615072,1.060470413499437e-08,-8.670971316956531e-08,-6.844853771580908e-10,-5.051857973653252e-06,-9.14841155455794e-08,1.929459675089837e-08,-4.098958208551604e-10,0.0,0.0,-1.297158233599727e-05,-8.704385106379974e-08,-6.305952330471445e-07,-1.929170358789615e-09,0.0,0.0,0.0009997365260956547,-4.775656259533011e-09,0.0009997538912327303,-5.144562498302719e-09,0.0,0.0,4.945853663729419e-06,9.120952598927264e-08,8.67097131695882e-08,6.844853771581028e-10,4.315258009239799e-06,3.627383273445018e-09,0.0,0.0,0.001986538130010602,-1.172099328544966e-08,1.297158191455351e-05,1.390878706758345e-09,0.0009997558206924055,-5.185552080388242e-09,-4.214435681926513e-13,-8.56529723570414e-08
1,14.12537544622754,0.0,-0.002675459966613318,-2.336962815673618e-06,0.9996462910771292,-2.318848372966219e-06,10.02566885988177,-5.361045470178106e-05,0.0,0.0,0.9997365260938056,-4.962490934723227e-06,1.0,0.0,9.997538912311494,-5.345829635454028e-05,0.0,0.0,-0.001999403707612011,1.101958459222499e-08,-8.670971293202352e-08,-7.112640220554189e-10,-5.051858009087805e-06,-9.506318490989766e-08,1.929459704870922e-08,-4.259318897010883e-10,0.0,0.0,-1.297158237019682e-05,-9.044920705196576e-08,-6.305952333828152e-07,-2.004643947715147e-09,0.0,0.0,0.0009997365260938057,-4.962490934723227e-09,0.0009997538912311496,-5.345829635454029e-09,0.0,0.0,4.945853699101681e-06,9.477785277754511e-08,8.670971293204459e-08,7.112640220554181e-10,4.315258010666643e-06,3.769294863989706e-09,0.0,0.0,0.001986538130006904,-1.217954554599829e-08,1.297158191513291e-05,1.445293086119694e-09,0.0009997558206908544,-5.388422824424117e-09,-4.55064297256659e-13,-8.900391396584607e-08
