case,vin,v(in),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vin),i(rl)
1,0.0,0.0,1.079999998466258e-11,8.0,-8.02079999999549e-12,8.020799999995491e-12,-8.010000000010828e-12,8.010000000010828e-12,1.079999998466258e-14
1,0.025,0.025,4.630077312496494e-11,8.0,-8.013385359644392e-12,8.013385359644395e-12,-7.959891407881577e-12,7.959891407881575e-12,4.630077312496494e-14
1,0.05,0.05,1.249985679661612e-10,8.0,-8.034604499850612e-12,8.034604499850612e-12,-7.909605931884451e-12,7.909605931884451e-12,1.249985679661613e-13
1,0.07500000000000001,0.07500000000000001,2.722255995992155e-10,8.0,-8.131081048571486e-12,8.131081048571484e-12,-7.85885544897227e-12,7.858855448972271e-12,2.722255995992155e-13
1,0.1,0.1,6.184721236581982e-10,8.0,-8.425354641167817e-12,8.425354641167817e-12,-7.806882517509619e-12,7.806882517509619e-12,6.184721236581981e-13
1,0.125,0.125,1.487796979446305e-09,8.0,-9.239492891991706e-12,9.239492891991704e-12,-7.751695912545398e-12,7.7516959125454e-12,1.487796979446305e-12
1,0.15,0.15,3.731916311648925e-09,8.0,-1.141997725031937e-11,1.141997725031937e-11,-7.688060938670445e-12,7.688060938670445e-12,3.731916311648924e-12
1,0.175,0.175,9.589374477008418e-09,8.0,-1.719159068147246e-11,1.719159068147246e-11,-7.602216204463964e-12,7.602216204463962e-12,9.589374477008418e-12
1,0.2,0.2,2.494367592897132e-08,8.0,-3.240166061308121e-11,3.240166061308121e-11,-7.45798468410832e-12,7.45798468410832e-12,2.494367592897131e-11
1,0.225,0.225,6.525823323179484e-08,8.0,-7.241849484601377e-11,7.241849484601381e-11,-7.160261614188738e-12,7.160261614188737e-12,6.525823323179484e-11
1,0.25,0.25,1.711747288686528e-07,8.0,-1.776337592999291e-10,1.776337592999292e-10,-6.459030430726758e-12,6.459030430726758e-12,1.711747288686528e-10
1,0.275,0.275,4.495077028716434e-07,8.0,-4.542047484248126e-10,4.542047484248138e-10,-4.697045543189851e-12,4.697045543189851e-12,4.495077028716434e-10
1,0.3,0.3,1.180974359845979e-06,8.0,-1.181120973996771e-09,1.181120973996771e-09,-1.466139696069199e-13,1.466139696069199e-13,1.180974359845979e-09
1,0.325,0.325,3.103232700555603e-06,8.0,-3.091499425264354e-09,3.091499425264344e-09,1.17332785793882e-11,-1.173327857938823e-11,3.103232700555603e-09
1,0.35,0.35,8.154055406406124e-06,8.0,-8.11118117070576e-09,8.111181170705751e-09,4.287429533382878e-11,-4.287429533382878e-11,8.154055406406124e-09
1,0.375,0.375,2.141957278028447e-05,8.0,-2.12949727770768e-08,2.129497277707687e-08,1.246010828132392e-10,-1.24601082813239e-10,2.141957278028447e-08
1,0.4,0.4,5.622024678913898e-05,8.0,-5.588129492385193e-08,5.588129492385181e-08,3.389713202595521e-10,-3.389713202595521e-10,5.622024678913898e-08
1,0.425,0.425,0.0001472422996029246,8.0,-1.463429328605263e-07,1.463429328605259e-07,8.997131170102473e-10,-8.997131170102457e-10,1.472422996029246e-07
1,0.45,0.45,0.0003834751243284472,8.0,-3.811198465156794e-07,3.811198465156787e-07,2.355277812778918e-09,-2.355277812778918e-09,3.834751243284472e-07
1,0.475,0.475,0.0009847190715985346,8.0,-9.786583911626777e-07,9.786583911626797e-07,6.060680442298021e-09,-6.060680442298034e-09,9.847190715985346e-07
1,0.5,0.5,0.002445950884753939,8.0,-2.430882704907779e-06,2.430882704907784e-06,1.506818249456556e-08,-1.506818249456556e-08,2.445950884753939e-06
1,0.525,0.525,0.005674293929534294,8.0,-5.63932071343677e-06,5.639320713436774e-06,3.497365442457889e-08,-3.497365442457889e-08,5.674293929534293e-06
1,0.55,0.55,0.0117784435420156,8.0,-1.170583873483615e-05,1.170583873483613e-05,7.262116113822937e-08,-7.262116113822916e-08,1.17784435420156e-05
1,0.5750000000000001,0.5750000000000001,0.02136732654633375,8.0,-2.123565179389353e-05,2.123565179389347e-05,1.317789806953841e-07,-1.317789806953845e-07,2.136732654633375e-05
1,0.6000000000000001,0.6000000000000001,0.03419738139207124,8.0,-3.398657301989939e-05,3.398657301989942e-05,2.109588019798504e-07,-2.109588019798487e-07,3.419738139207124e-05
1,0.625,0.625,0.04958281929573638,8.0,-4.927696428328604e-05,4.927696428328592e-05,3.059424764864835e-07,-3.059424764864835e-07,4.958281929573638e-05
1,0.65,0.65,0.06684876944311446,8.0,-6.643622653171419e-05,6.64362265317141e-05,4.12576481409154e-07,-4.125764814091523e-07,6.684876944311447e-05
1,0.675,0.675,0.08548301519121188,8.0,-8.495531954942539e-05,8.495531954942574e-05,5.277069726857582e-07,-5.277069726857582e-07,8.548301519121188e-05
1,0.7000000000000001,0.7000000000000001,0.1051268667592775,8.0,-0.0001044777456667314,0.0001044777456667315,6.49124930390604e-07,-6.491249303906074e-07,0.0001051268667592775
1,0.7250000000000001,0.7250000000000001,0.1255325164444326,8.0,-0.0001247572136583862,0.0001247572136583859,7.75304159570223e-07,-7.75304159570223e-07,0.0001255325164444326
1,0.75,0.75,0.1465266969326878,8.0,-0.0001456215198893081,0.0001456215198893075,9.051775710947325e-07,-9.051775710947392e-07,0.0001465266969326878
1,0.775,0.775,0.1679857088545996,8.0,-0.0001669477256891665,0.0001669477256891676,1.037983383319827e-06,-1.037983383319833e-06,0.0001679857088545996
1,0.8,0.8,0.1898191959950734,8.0,-0.0001886460309020654,0.0001886460309020652,1.173165189244093e-06,-1.173165189244089e-06,0.0001898191959950734
1,0.8250000000000001,0.8250000000000001,0.2119596749765863,8.0,-0.0002106493675568012,0.000210649367556802,1.310307464964221e-06,-1.310307464964221e-06,0.0002119596749765863
1,0.8500000000000001,0.8500000000000001,0.2343556989713422,8.0,-0.0002329066055327331,0.0002329066055327337,1.449093461007928e-06,-1.449093461007928e-06,0.0002343556989713422
1,0.875,0.875,0.2569673101228488,8.0,-0.0002553780329436674,0.0002553780329436697,1.589277190837254e-06,-1.589277190837247e-06,0.0002569673101228488
1,0.9,0.9,0.2797629509464324,8.0,-0.0002780322865466311,0.0002780322865466308,1.730664406133672e-06,-1.730664406133665e-06,0.0002797629509464325
1,0.925,0.925,0.3027173225960454,8.0,-0.0003008442231951149,0.0003008442231951157,1.873099404505827e-06,-1.873099404505827e-06,0.0003027173225960455
1,0.9500000000000001,0.9500000000000001,0.3258098699396323,8.0,-0.0003237934142434964,0.0003237934142434968,2.016455698226044e-06,-2.016455698226037e-06,0.0003258098699396324
1,0.9750000000000001,0.9750000000000001,0.3490236899213447,8.0,-0.0003468630606322642,0.0003468630606322651,2.160629290338758e-06,-2.160629290338758e-06,0.0003490236899213447
1,1.0,1.0,0.3723447313154923,8.0,-0.0003700391975705788,0.0003700391975705785,2.305533745693258e-06,-2.305533745693258e-06,0.0003723447313154923
1,1.025,1.025,0.3957611987466135,8.0,-0.000393310102226924,0.0003933101022269263,2.451096520182737e-06,-2.451096520182737e-06,0.0003957611987466135
1,1.05,1.05,0.4192631023465843,8.0,-0.0004166658461597951,0.0004166658461597969,2.597256187109791e-06,-2.597256187109791e-06,0.0004192631023465843
1,1.075,1.075,0.4428419128941431,8.0,-0.0004400979525811255,0.0004400979525811245,2.743960313231358e-06,-2.743960313231358e-06,0.0004428419128941431
1,1.1,1.1,0.4664902944751999,8.0,-0.0004635991306630137,0.0004635991306630137,2.891163812329393e-06,-2.891163812329407e-06,0.0004664902944751999
1,1.125,1.125,0.4902018948883361,8.0,-0.0004871630672339949,0.0004871630672339914,3.038827654441951e-06,-3.038827654441964e-06,0.0004902018948883361
1,1.15,1.15,0.5139711796054098,8.0,-0.0005107842617621192,0.000510784261762117,3.186917843360661e-06,-3.186917843360688e-06,0.0005139711796054099
1,1.175,1.175,0.5377932989667598,8.0,-0.000534457894367988,0.0005344578943679871,3.335404598821089e-06,-3.335404598821089e-06,0.0005377932989667597
1,1.2,1.2,0.5616639810099254,8.0,-0.0005581797193133856,0.0005581797193133835,3.484261696578764e-06,-3.484261696578764e-06,0.0005616639810099254
1,1.225,1.225,0.5855794442676557,8.0,-0.0005819459783362076,0.0005819459783362108,3.633465931472668e-06,-3.633465931472668e-06,0.0005855794442676558
1,1.25,1.25,0.6095363262679101,8.0,-0.0006057533295907754,0.0006057533295907735,3.782996677154706e-06,-3.782996677154706e-06,0.0006095363262679101
1,1.275,1.275,0.6335316244879601,8.0,-0.0006295987889653916,0.0006295987889653906,3.932835522583509e-06,-3.932835522583522e-06,0.00063353162448796
1,1.3,1.3,0.6575626472668357,8.0,-0.0006534796812970728,0.0006534796812970643,4.082965969780231e-06,-4.082965969780218e-06,0.0006575626472668357
1,1.325,1.325,0.6816269727411196,8.0,-0.0006773935995601013,0.0006773935995601058,4.233373181023028e-06,-4.233373181023055e-06,0.0006816269727411196
1,1.35,1.35,0.705722414291153,8.0,-0.0007013383705250162,0.0007013383705250149,4.384043766142922e-06,-4.384043766142908e-06,0.000705722414291153
1,1.375,1.375,0.7298469913053973,8.0,-0.0007253120257028622,0.0007253120257028634,4.534965602540899e-06,-4.534965602540899e-06,0.0007298469913053973
1,1.4,1.4,0.7539989043163865,8.0,-0.0007493127766342797,0.0007493127766342774,4.686127682113609e-06,-4.686127682113636e-06,0.0007539989043163865
1,1.425,1.425,0.7781765137514784,8.0,-0.0007733389937709806,0.0007733389937709741,4.837519980507309e-06,-4.837519980507268e-06,0.0007781765137514784
1,1.45,1.45,0.8023783216893684,8.0,-0.0007973891883445994,0.0007973891883445933,4.989133344774312e-06,-4.989133344774298e-06,0.0008023783216893685
1,1.475,1.475,0.8266029561291328,8.0,-0.0008214619967325532,0.0008214619967325537,5.140959396580458e-06,-5.140959396580404e-06,0.0008266029561291329
1,1.5,1.5,0.8508491573700195,8.0,-0.0008455561669216405,0.0008455561669216423,5.292990448389675e-06,-5.292990448389702e-06,0.0008508491573700196
1,1.525,1.525,0.87511576617284,8.0,-0.0008696705467422725,0.0008696705467422751,5.445219430572751e-06,-5.445219430572751e-06,0.00087511576617284
1,1.55,1.55,0.8994017134319099,8.0,-0.0008938040736040376,0.0008938040736040267,5.5976398278835e-06,-5.597639827883527e-06,0.0008994017134319099
1,1.575,1.575,0.9237060111331817,8.0,-0.000917955765509397,0.0009179557655093944,5.75024562378721e-06,-5.750245623787156e-06,0.0009237060111331818
1,1.6,1.6,0.9480277444119797,8.0,-0.0009421247131603666,0.0009421247131603677,5.903031251620135e-06,-5.903031251620135e-06,0.0009480277444119797
1,1.625,1.625,0.9723660645544449,8.0,-0.000966310073002942,0.0009663100730029415,6.055991551503484e-06,-6.055991551503429e-06,0.0009723660645544449
1,1.65,1.65,0.9967201828118875,8.0,-0.0009905110610795922,0.000990511061079589,6.209121732296844e-06,-6.209121732296844e-06,0.0009967201828118876
1,1.675,1.675,1.021089364917823,8.0,-0.00101472694757998,0.001014726947579973,6.362417337857487e-06,-6.362417337857514e-06,0.001021089364917823
1,1.7,1.7,1.045472926214456,8.0,-0.001038957051997386,0.001038957051997378,6.515874217071795e-06,-6.515874217071741e-06,0.001045472926214456
1,1.725,1.725,1.069870227309438,8.0,-0.001063200738812331,0.001063200738812337,6.669488497104909e-06,-6.669488497104909e-06,0.001069870227309439
1,1.75,1.75,1.094280670195442,8.0,-0.001087457413635862,0.001087457413635869,6.823256559581426e-06,-6.823256559581399e-06,0.001094280670195442
1,1.775,1.775,1.118703694774818,8.0,-0.001111726519755676,0.001111726519755675,6.97717501914761e-06,-6.977175019147583e-06,0.001118703694774818
1,1.8,1.8,1.143138775739868,8.0,-0.001136007535035538,0.001136007535035537,7.131240704330501e-06,-7.131240704330555e-06,0.001143138775739868
1,1.825,1.825,1.167585419766091,8.0,-0.001160299969125839,0.001160299969125841,7.285450640250914e-06,-7.285450640250805e-06,0.001167585419766091
1,1.85,1.85,1.192043162981612,8.0,-0.001184603360948541,0.001184603360948535,7.439802033067816e-06,-7.439802033067816e-06,0.001192043162981612
1,1.875,1.875,1.216511568680953,8.0,-0.001208917276425039,0.001208917276425055,7.594292255906794e-06,-7.594292255906849e-06,0.001216511568680953
1,1.9,1.9,1.240990225255443,8.0,-0.001233241306419303,0.001233241306419287,7.748918836153804e-06,-7.748918836153777e-06,0.001240990225255443
1,1.925,1.925,1.265478744316214,8.0,-0.001257575064872327,0.001257575064872327,7.903679443884993e-06,-7.90367944388502e-06,0.001265478744316214
1,1.95,1.95,1.289976758988722,8.0,-0.001281918187107323,0.001281918187107317,8.058571881414535e-06,-8.058571881414535e-06,0.001289976758988722
1,1.975,1.975,1.314483922360395,8.0,-0.001306270328286702,0.001306270328286695,8.213594073701362e-06,-8.213594073701444e-06,0.001314483922360395
1,2.0,2.0,1.338999906065259,8.0,-0.001330631162005533,0.001330631162005539,8.36874405970881e-06,-8.368744059708837e-06,0.001338999906065259
1,2.025,2.025,1.363524398991333,8.0,-0.001355000379006932,0.001355000379006933,8.524019984413499e-06,-8.524019984413635e-06,0.001363524398991333
1,2.05,2.05,1.388057106098276,8.0,-0.001379377686006752,0.001379377686006749,8.679420091505137e-06,-8.679420091505137e-06,0.001388057106098276
1,2.075,2.075,1.412597747334221,8.0,-0.001403762804617389,0.001403762804617388,8.834942716839667e-06,-8.834942716839695e-06,0.001412597747334221
1,2.1,2.1,1.437146056642025,8.0,-0.001428155470359807,0.001428155470359806,8.990586282216386e-06,-8.990586282216413e-06,0.001437146056642025
1,2.125,2.125,1.461701781046222,8.0,-0.001452555431756403,0.001452555431756403,9.146349289819016e-06,-9.146349289818989e-06,0.001461701781046222
1,2.15,2.15,1.486264679812984,8.0,-0.001476962449495967,0.001476962449495953,9.30223031704884e-06,-9.30223031704884e-06,0.001486264679812984
