Cfilter,time,V(ac),V(raw),V(out),I(D1),I(CFILTER),I(RLOAD)
1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-12,1.999999887924986e-10,7.156479507995553e-07,7.539821946102649e-07,6.389040336764073e-07,3.833424381071528e-09,3.194520356581305e-09,6.389040336764073e-10
1e-12,3.999999775849972e-10,1.462228258305945e-06,1.507964389220527e-06,1.294688846016415e-06,4.573613091457983e-09,3.278924246783684e-09,1.294688846016415e-09
1e-12,7.999999551699943e-10,2.958311041058991e-06,3.01592877844103e-06,2.585690308668131e-06,5.761773738203341e-09,3.176083428555305e-09,2.585690308668131e-09
1e-12,1.599999910339989e-09,5.952060350403431e-06,6.031857556881868e-06,5.034294144576178e-06,7.979720647847948e-09,2.945426516655936e-09,5.034294144576178e-09
1e-12,3.199999820679977e-09,1.194367860294452e-05,1.206371511376221e-05,9.440864425372876e-06,1.20036510817758e-08,2.562786745660961e-09,9.440864425372877e-09
1e-12,6.399999641359955e-09,2.394231542109531e-05,2.412743022751223e-05,1.659988142351213e-05,1.85114806417139e-08,1.911599697297879e-09,1.659988142351213e-08
1e-12,1.094475386704953e-08,4.100958225783781e-05,4.126075001280422e-05,2.384154968468608e-05,2.511677549666238e-08,1.275226816041637e-09,2.384154968468608e-08
1e-12,1.538328588169718e-08,5.769973837835681e-05,5.799362149658798e-05,2.854442478924511e-05,2.938831182314888e-08,8.43887711144892e-10,2.854442478924511e-08
1e-12,2.060939420825152e-08,7.736882770460952e-05,7.769558572695196e-05,3.214266466402372e-05,3.267580223427133e-08,5.331379445450572e-10,3.214266466402372e-08
1e-12,2.61270504870035e-08,9.814873656686513e-05,9.84966598428218e-05,3.447871176725786e-05,3.479232759575203e-08,3.136160281933696e-10,3.447871176725786e-08
1e-12,3.300547818624172e-08,0.0001240644052343364,0.0001244277213555085,3.615718743848922e-05,3.63316121172665e-08,1.744247874411469e-10,3.615718743848922e-08
1e-12,4.069299311278217e-08,0.0001530369443305067,0.0001534089698546571,3.712514994008408e-05,3.720255241509377e-08,7.74025262867863e-11,3.712514994008408e-08
1e-12,5.053519270406164e-08,0.0001901358988079472,0.0001905131881681863,3.769129423653196e-05,3.772893602396808e-08,3.764180802802612e-11,3.769129423653196e-08
1e-12,6.231648958394056e-08,0.0002345481611816148,0.0002349276310342882,3.7942057357598e-05,3.794698526745125e-08,4.927916390632698e-12,3.7942057357598e-08
1e-12,7.855522791478909e-08,0.0002957657616757037,0.0002961462322717468,3.803993293509688e-05,3.804705960442495e-08,7.126670611577649e-12,3.803993293509688e-08
1e-12,1.005782701021967e-07,0.0003787905594109489,0.0003791711452935027,3.806356848628782e-05,3.80585882554514e-08,-4.980230664001564e-12,3.806356848628782e-08
1e-12,1.365327396619856e-07,0.0005143355119921627,0.0005147163021180679,3.807348096898302e-05,3.80790125906888e-08,5.531621683998962e-12,3.807348096898303e-08
1e-12,2.012421786258837e-07,0.0007582842763266915,0.0007586651394507755,3.80912934912536e-05,3.808631240899071e-08,-4.981083076053057e-12,3.80912934912536e-08
1e-12,3.306610565536799e-07,0.001246181488016359,0.001246562813074771,3.812697337199475e-05,3.813250584109966e-08,5.532469110067007e-12,3.812697337199475e-08
1e-12,5.894988124092722e-07,0.002221976208548467,0.002222358153334205,3.819945101991116e-05,3.819447857598621e-08,-4.972445340048282e-12,3.819945101991116e-08
1e-12,1.107174324120457e-06,0.004173565249135478,0.004173948783315841,3.834787217884248e-05,3.835341804130782e-08,5.545859208600724e-12,3.834787217884248e-08
1e-12,2.142525347542826e-06,0.008076743104821022,0.008077129660466132,3.866050645443697e-05,3.86555645132125e-08,-4.941939825695073e-12,3.866050645443697e-08
1e-12,4.213227394387565e-06,0.01588309483817912,0.01588348843820259,3.935439022446471e-05,3.936000235807424e-08,5.612131629587834e-12,3.935439022446471e-08
1e-12,8.354631488077041e-06,0.03149577176631345,0.0314961825249288,4.108064002852797e-05,4.107586153156983e-08,-4.778477262374451e-12,4.108064002852797e-08
1e-12,1.452506407218325e-05,0.05475756277780823,0.05475801146362549,4.486257746396586e-05,4.486858176666608e-08,6.004302969505938e-12,4.486257746396587e-08
1e-12,1.969098582781393e-05,0.0742322961853784,0.07423279424464563,4.981001568458006e-05,4.980592674397322e-08,-4.088889425410673e-12,4.981001568458006e-08
1e-12,2.452475617693847e-05,0.09245467122486047,0.0924552378749202,5.665808371844701e-05,5.666500602075075e-08,6.922316589976484e-12,5.665808371844701e-08
1e-12,2.893332688295515e-05,0.1090739123631886,0.1090745706048821,6.5826932188355e-05,6.582416937905844e-08,-2.762760463064963e-12,6.5826932188355e-08
1e-12,3.299130503258865e-05,0.1243712855295493,0.1243720630551877,7.774392775587529e-05,7.775256390119001e-08,8.636126707056709e-12,7.774392775587529e-08
1e-12,3.674734534298661e-05,0.1385302201821972,0.1385311510098801,9.30832367255505e-05,9.308276843755792e-08,-4.683178021465766e-13,9.30832367255505e-08
1e-12,4.024013370146139e-05,0.1516965657420748,0.1516976894198255,0.0001123562709390402,1.123677750847207e-07,1.150422020059296e-11,1.123562709390402e-07
1e-12,4.35085464779506e-05,0.1640168847343749,0.1640182485871519,0.0001363820800502923,1.363852777935826e-07,3.197602113854869e-12,1.363820800502924e-07
1e-12,4.657859282610221e-05,0.175589233177376,0.1755908914144008,0.0001658077305578464,1.658237025470299e-07,1.597191668402387e-11,1.658077305578464e-07
1e-12,4.947842395639732e-05,0.186519736197468,0.1865217524369854,0.0002016152274638074,2.016239518398688e-07,8.724353041890671e-12,2.016152274638074e-07
1e-12,5.222652236830806e-05,0.1968780704996653,0.1968805170033381,0.0002446277883076629,2.446503673259048e-07,2.257916643268971e-11,2.446277883076629e-07
1e-12,5.513107772479456e-05,0.2078258518813647,0.2078288753931803,0.0003023340258447214,3.02351181730165e-07,1.715584445136452e-11,3.023340258447214e-07
1e-12,5.774858984965239e-05,0.2176914315171369,0.2176951122145923,0.0003680366989641942,3.680697455155091e-07,3.304658053292586e-11,3.680366989641942e-07
1e-12,6.030950002640482e-05,0.2273433780665821,0.2273478558479333,0.0004477489285874174,4.477781352651977e-07,2.920653650219646e-11,4.477489285874175e-07
1e-12,6.272392825531523e-05,0.2364429306554062,0.2364483358524489,0.0005404721032195208,5.405197044117127e-07,4.760114665036021e-11,5.404721032195207e-07
1e-12,6.505754198201249e-05,0.245237584848442,0.2452440800321628,0.000649472555490355,6.495183722809994e-07,4.581678021480813e-11,6.494725554903551e-07
1e-12,6.729541965427526e-05,0.2536710961319509,0.2536788567469226,0.0007759942411529695,7.760614972873725e-07,6.725645520125714e-11,7.759942411529695e-07
1e-12,6.94695380085703e-05,0.2618639658253661,0.2618731984022911,0.0009231895420411355,9.232576925199965e-07,6.815092162305945e-11,9.231895420411356e-07
1e-12,7.157354733932022e-05,0.2697922485673759,0.2698031799763224,0.001093047584115835,1.093140894747879e-06,9.331114016851765e-11,1.093047584115835e-06
1e-12,7.363333574667077e-05,0.2775534811746838,0.2775663793453038,0.001289719409642814,1.289817062044563e-06,9.765315656040205e-11,1.289719409642814e-06
1e-12,7.564184388096317e-05,0.2851210368547631,0.2851361950307741,0.001515690240142694,1.515817601438485e-06,1.273622160760566e-10,1.515690240142694e-06
1e-12,7.76234359397319e-05,0.2925866874797402,0.292604456155628,0.00177673148393561,1.776867588898501e-06,1.361066058515305e-10,1.776731483935611e-06
1e-12,7.956999230905677e-05,0.2999198020421046,0.2999405637277243,0.002075997184906607,2.076168562070713e-06,1.713795123288215e-10,2.075997184906607e-06
1e-12,8.150534525040971e-05,0.3072101197954163,0.3072343370505606,0.002421539807029263,2.421725514567541e-06,1.857111509283879e-10,2.421539807029263e-06
1e-12,8.342111079371342e-05,0.3144260008785767,0.3144541794089177,0.002817625241064547,2.817853034242646e-06,2.277982923858929e-10,2.817625241064548e-06
1e-12,8.53410729765224e-05,0.3216569655727349,0.321689723135201,0.003275507070245653,3.2757562468122e-06,2.491836967761365e-10,3.275507070245653e-06
1e-12,8.725760486256262e-05,0.3288742057228329,0.3289122227693762,0.003801405029276124,3.801704654693427e-06,2.996358642963258e-10,3.801405029276124e-06
1e-12,8.919499154458117e-05,0.3361690777478301,0.3362131930376453,0.004411199105032071,4.411528981562718e-06,3.298915550753036e-10,4.411199105032071e-06
1e-12,9.114763597871998e-05,0.3435203851983352,0.343571535548784,0.005114644416204364,5.115035044966909e-06,3.906506613482557e-10,5.114644416204364e-06
