case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,i(rb)_real,i(rb)_imag,i(rl)_real,i(rl)_imag,i(rf)_real,i(rf)_imag
1,10.0,0.0,1.321541970585929,-5.935786508399869e-07,1.0,0.0,0.9929904250980109,-2.076328778378793e-07,-0.01496597574084571,-3.509441108415367e-08,1.285893446284817,-5.521707047922615e-07,0.0,0.0,-0.0004915100875641509,2.168911772708639e-10,8.003167214901103e-06,2.121031831671715e-10,0.0003009061894236397,-6.291905389026646e-11,-0.0001343882226293396,-1.470557345457354e-10,-8.765121002127089e-07,-1.953915588413835e-10,0.0003491186977199127,-5.760500949837722e-10,2.234025570746305e-06,2.064135996297428e-10,-1.021932443033216e-12,-6.951558989694421e-11,7.126655114688431e-06,1.671162432578746e-11,0.0001321541970585929,-5.93578650839987e-11,5.844970210385531e-05,-2.509866839964825e-11,0.0002929030211868059,-3.445378269543821e-10
1,10.39122303835169,0.0,1.321541970585926,-6.168008151682236e-07,1.0,0.0,0.9929904250980085,-2.157559543708249e-07,-0.01496597574084739,-3.646738529750539e-08,1.285893446284814,-5.737728948740283e-07,0.0,0.0,-0.0004915100875641596,2.253764598072151e-10,8.003167214904584e-06,2.204011483434461e-10,0.0003009061894236389,-6.53805922335833e-11,-0.0001343882226293492,-1.528088936733483e-10,-8.765121002155278e-07,-2.030357267732053e-10,0.0003491186977199066,-5.985865018240101e-10,2.234025570756171e-06,2.144889751901682e-10,-1.021929004116665e-12,-7.223519992617407e-11,7.126655114689233e-06,1.736542157024066e-11,0.0001321541970585926,-6.168008151682236e-11,5.844970210385519e-05,-2.608058613063765e-11,0.0002929030211868057,-3.580169405032034e-10
1,10.7977516232771,0.0,1.321541970585921,-6.40931484065019e-07,1.0,0.0,0.9929904250980057,-2.241968243719685e-07,-0.01496597574084922,-3.789407342518871e-08,1.28589344628481,-5.962202123996787e-07,0.0,0.0,-0.0004915100875641579,2.341937061450846e-10,8.003167214908532e-06,2.290237490345601e-10,0.0003009061894236381,-6.793843162786924e-11,-0.0001343882226293597,-1.587871296403547e-10,-8.765121002185636e-07,-2.109789521654229e-10,0.0003491186977198936,-6.220045848200003e-10,2.234025570766688e-06,2.228802780468506e-10,-1.021925290859988e-12,-7.506120736528084e-11,7.126655114690105e-06,1.804479686913748e-11,0.0001321541970585921,-6.40931484065019e-11,5.844970210385498e-05,-2.710091874543994e-11,0.000292903021186804,-3.720233880277102e-10
1,11.22018454301963,0.0,1.321541970585917,-6.660062003221416e-07,1.0,0.0,0.9929904250980028,-2.329679206539303e-07,-0.01496597574085117,-3.937657687928113e-08,1.285893446284806,-6.195457207018527e-07,0.0,0.0,-0.0004915100875641631,2.433559034731778e-10,8.003167214912646e-06,2.379836857297617e-10,0.0003009061894236372,-7.059633959210008e-11,-0.0001343882226293707,-1.649992479712591e-10,-8.765121002218433e-07,-2.192329348348663e-10,0.0003491186977198822,-6.463388371741991e-10,2.234025570778072e-06,2.315998680034653e-10,-1.021921281377657e-12,-7.799777472606074e-11,7.126655114691032e-06,1.875075089489577e-11,0.0001321541970585917,-6.660062003221417e-11,5.844970210385483e-05,-2.816116912281148e-11,0.0002929030211868036,-3.865778000479224e-10
1,11.65914401179831,0.0,1.321541970585911,-6.920618972472547e-07,1.0,0.0,0.9929904250979995,-2.420821624296019e-07,-0.01496597574085315,-4.091707928393848e-08,1.285893446284801,-6.437837766269329e-07,0.0,0.0,-0.0004915100875641683,2.528765470689618e-10,8.003167214917375e-06,2.47294155790696e-10,0.0003009061894236362,-7.335823103927331e-11,-0.0001343882226293815,-1.714543986829402e-10,-8.765121002253669e-07,-2.278098323221536e-10,0.0003491186977198703,-6.716251015425998e-10,2.234025570790378e-06,2.406605884076804e-10,-1.021916952038222e-12,-8.104922736736163e-11,7.126655114691974e-06,1.948432346854214e-11,0.0001321541970585911,-6.920618972472547e-11,5.844970210385459e-05,-2.926289893758786e-11,0.0002929030211868016,-4.017016141973311e-10
1,12.11527658628588,0.0,1.321541970585907,-7.191369530641087e-07,1.0,0.0,0.9929904250979965,-2.515529743412484e-07,-0.01496597574085459,-4.25178496917336e-08,1.285893446284798,-6.689700811402876e-07,0.0,0.0,-0.0004915100875641579,2.627696601761701e-10,8.003167214921676e-06,2.569688728902024e-10,0.0003009061894236353,-7.622817404280256e-11,-0.0001343882226293868,-1.781620897621017e-10,-8.765121002291345e-07,-2.367222777989015e-10,0.0003491186977198532,-6.979006228284765e-10,2.234025570803713e-06,2.500757850685144e-10,-1.02191227732503e-12,-8.422005986603412e-11,7.126655114692664e-06,2.024659509130172e-11,0.0001321541970585908,-7.191369530641087e-11,5.844970210385445e-05,-3.040773096092216e-11,0.0002929030211868015,-4.174171067990392e-10
1,12.58925411794167,0.0,1.321541970585901,-7.472712474409908e-07,1.0,0.0,0.9929904250979926,-2.613943062340707e-07,-0.01496597574085801,-4.418124592579275e-08,1.285893446284792,-6.951417319113054e-07,0.0,0.0,-0.00049151008756417,2.730498146602357e-10,8.003167214927192e-06,2.670220872115981e-10,0.0003009061894236341,-7.921039582850627e-11,-0.0001343882226294095,-1.851322011696939e-10,-8.765121002333358e-07,-2.459833986755077e-10,0.0003491186977198356,-7.252041030415303e-10,2.234025570818079e-06,2.598593259137809e-10,-1.021907229685836e-12,-8.751494263713045e-11,7.126655114694291e-06,2.103868853609179e-11,0.0001321541970585901,-7.472712474409909e-11,5.844970210385418e-05,-3.159735145051388e-11,0.0002929030211867993,-4.337474256772347e-10
1,13.08177474260194,0.0,1.321541970585894,-7.765062202306736e-07,1.0,0.0,0.9929904250979883,-2.716206537033465e-07,-0.01496597574086052,-4.590971805271695e-08,1.285893446284786,-7.223372779556551e-07,0.0,0.0,-0.0004915100875641735,2.837321524715206e-10,8.003167214933331e-06,2.774686064381955e-10,0.0003009061894236328,-8.230928900101409e-11,-0.0001343882226294232,-1.923749993935201e-10,-8.765121002377539e-07,-2.556068359369014e-10,0.0003491186977198196,-7.53575758303236e-10,2.234025570833529e-06,2.700256214165799e-10,-1.021901779370406e-12,-9.093872881309904e-11,7.126655114695485e-06,2.186177050129379e-11,0.0001321541970585894,-7.765062202306736e-11,5.844970210385389e-05,-3.283351263434796e-11,0.0002929030211867972,-4.507166242523087e-10
1,13.59356390878525,0.0,1.321541970585887,-8.068849325084483e-07,1.0,0.0,0.992990425097984,-2.822470794454397e-07,-0.01496597574086363,-4.77058119913627e-08,1.28589344628478,-7.505967764153162e-07,0.0,0.0,-0.000491510087564177,2.948324079483138e-10,8.003167214939494e-06,2.883238175639962e-10,0.0003009061894236315,-8.55294180137696e-11,-0.0001343882226294417,-1.999011525700882e-10,-8.765121002425786e-07,-2.656067642347753e-10,0.0003491186977198005,-7.83057378082399e-10,2.23402557085028e-06,2.80589645820917e-10,-1.021895894255178e-12,-9.449646139211057e-11,7.126655114696965e-06,2.271705332922033e-11,0.0001321541970585887,-8.068849325084483e-11,5.844970210385364e-05,-3.411803529160527e-11,0.0002929030211867963,-4.683496969698765e-10
1,14.12537544622754,0.0,1.32154197058588,-8.384521299980725e-07,1.0,0.0,0.9929904250979795,-2.93289235444096e-07,-0.01496597574086612,-4.957217326279333e-08,1.285893446284774,-7.799618515599429e-07,0.0,0.0,-0.000491510087564177,3.063669309925111e-10,8.003167214945833e-06,2.996037095576541e-10,0.0003009061894236301,-8.887552589215031e-11,-0.0001343882226294538,-2.077217461979465e-10,-8.765121002477286e-07,-2.759979127658475e-10,0.0003491186977197783,-8.136923867481127e-10,2.23402557086844e-06,2.915669591977224e-10,-1.021889539653925e-12,-9.819338066604253e-11,7.126655114698155e-06,2.360579679180635e-11,0.000132154197058588,-8.384521299980725e-11,5.844970210385337e-05,-3.545281143454286e-11,0.0002929030211867947,-4.866726161158469e-10
