case,frequency_real,frequency_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(ref)_real,v(ref)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,id(j1)_real,id(j1)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(vref)_real,i(vref)_imag,i(rs)_real,i(rs)_imag
1,10.0,0.0,-4.311190033856604e-06,-4.310609119636452e-06,4.291776511010318,-7.468809609678948e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892159244888,-5.944730207594654e-06,0.0,0.0,-0.0004727557104691471,1.035002006519814e-09,-1.00041123415011e-12,-5.723844297204926e-11,2.155595016928302e-09,2.155304559818226e-09,2.1558071601113e-09,1.4829354346159e-08,0.0009980870591169179,-2.08313229967257e-08,2.078315523016031e-13,1.267404547573165e-08,-0.0005252903976145362,4.966217451402187e-09,0.0,0.0,0.000998089215924489,-5.944730207594653e-09
1,10.39122303835169,0.0,-4.31119601085328e-06,-4.479250079227623e-06,4.291776510912568,-7.761006648349724e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892159166815,-6.177301748861601e-06,0.0,0.0,-0.0004727557104678981,1.075493669468388e-09,-1.000291263399327e-12,-5.947774273112478e-11,2.15559800542664e-09,2.239625039613811e-09,2.155826728415526e-09,1.540951285223625e-08,0.0009980870590896626,-2.164629234382898e-08,2.244113481184986e-13,1.316988333337236e-08,-0.0005252903976080137,5.160507319336888e-09,0.0,0.0,0.0009980892159166816,-6.177301748861602e-09
1,10.7977516232771,0.0,-4.311202464135633e-06,-4.654488661666561e-06,4.291776510807024,-8.064635108326858e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892159082517,-6.418972024613229e-06,0.0,0.0,-0.0004727557104667046,1.117569459557271e-09,-1.000161721962431e-12,-6.180464905600539e-11,2.155601232067816e-09,2.327244330833281e-09,2.155847856965451e-09,1.601236849562026e-08,0.000998087059060234,-2.24931451692895e-08,2.423137998372538e-13,1.368511951029832e-08,-0.000525290397601047,5.362398254504343e-09,0.0,0.0,0.0009980892159082517,-6.418972024613229e-09
1,11.22018454301963,0.0,-4.31120943211738e-06,-4.836582981157366e-06,4.291776510693054,-8.380142213145465e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158991491,-6.670096998302565e-06,0.0,0.0,-0.0004727557104653168,1.161291351486873e-09,-1.000021846336386e-12,-6.422258931740758e-11,2.15560471605869e-09,2.418291490578683e-09,2.155870671813132e-09,1.663880924060793e-08,0.0009980870590284559,-2.33731288282279e-08,2.616444225470105e-13,1.422051291344627e-08,-0.0005252903975934697,5.572187628163454e-09,0.0,0.0,0.0009980892158991492,-6.670096998302565e-09
1,11.65914401179831,0.0,-4.311216956098818e-06,-5.025801249926286e-06,4.291776510569994,-8.707992682755424e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158893205,-6.931046559492792e-06,0.0,0.0,-0.0004727557104637625,1.206723744552145e-09,-9.998708121095747e-13,-6.673512497268963e-11,2.155608478049409e-09,2.512900624963143e-09,2.155895306251908e-09,1.728975779070465e-08,0.0009980870589941435,-2.428753947517013e-08,2.825171488202546e-13,1.477685213994026e-08,-0.0005252903975852263,5.79018444542242e-09,0.0,0.0,0.0009980892158893205,-6.931046559492793e-09
1,12.11527658628588,0.0,-4.311225080932957e-06,-5.222422173279606e-06,4.291776510437114,-9.04866941802134e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158787074,-7.202205068678694e-06,0.0,0.0,-0.0004727557104621805,1.253933557498412e-09,-9.99707729102813e-13,-6.934595681163153e-11,2.155612540466478e-09,2.611211086639803e-09,2.155921907201338e-09,1.7966172947702e-08,0.000998087058957093,-2.523772397319234e-08,3.050550002189105e-13,1.535495663864003e-08,-0.0005252903975764556,6.016709800381731e-09,0.0,0.0,0.0009980892158787075,-7.202205068678694e-09
1,12.58925411794167,0.0,-4.311233852805074e-06,-5.426735360116985e-06,4.291776510293638,-9.402674212001775e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158672482,-7.4839719234228e-06,0.0,0.0,-0.0004727557104604319,1.302990327087211e-09,-9.995316361227233e-13,-7.205893040743929e-11,2.155616926402537e-09,2.713367680058493e-09,2.155950628551215e-09,1.866905102392581e-08,0.0009980870589170877,-2.622508187775604e-08,3.293908123699451e-13,1.595567791713196e-08,-0.0005252903975668799,6.252097349083059e-09,0.0,0.0,0.0009980892158672483,-7.483971923422799e-09
1,13.08177474260194,0.0,-4.311243325894054e-06,-5.639041749505245e-06,4.291776510138714,-9.770528489055382e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158548744,-7.776762146640096e-06,0.0,0.0,-0.0004727557104585722,1.353966310519508e-09,-9.993414952965766e-13,-7.487804178100858e-11,2.155621662947027e-09,2.819520874752623e-09,2.155981642260238e-09,1.939942730973456e-08,0.0009980870588738907,-2.725106749815567e-08,3.556680178839951e-13,1.657990079594019e-08,-0.0005252903975565826,6.496693800961588e-09,0.0,0.0,0.0009980892158548745,-7.776762146640097e-09
1,13.59356390878525,0.0,-4.311253553268557e-06,-5.859654053940505e-06,4.291776509971434,-0.0001015277407286251,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158415139,-8.081006997897775e-06,0.0,0.0,-0.0004727557104566016,1.406936591858621e-09,-9.991361859551717e-13,-7.780744328678372e-11,2.155626776634279e-09,2.929827026970252e-09,2.156015129213987e-09,2.015837759842978e-08,0.0009980870588272488,-2.831719203961434e-08,3.840414917314529e-13,1.722854471180547e-08,-0.0005252903975455081,6.750859429520478e-09,0.0,0.0,0.000998089215841514,-8.081006997897775e-09
1,14.12537544622754,0.0,-4.311264597545161e-06,-6.088897219951809e-06,4.291776509790806,-0.000105499739844936,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158270872,-8.397154608630382e-06,0.0,0.0,-0.0004727557104543256,1.461979192629844e-09,-9.989144980277472e-13,-8.085144972888898e-11,2.155632298772581e-09,3.044448609975905e-09,2.156051288363562e-09,2.094701977082424e-08,0.0009980870587768843,-2.942502582918351e-08,4.146784640585672e-13,1.790256507195112e-08,-0.0005252903975334344,7.014968602991085e-09,0.0,0.0,0.0009980892158270873,-8.397154608630383e-09
