case,frequency_real,frequency_imag,v(d1)_real,v(d1)_imag,v(fb)_real,v(fb)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(d2)_real,v(d2)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,id(j2)_real,id(j2)_imag,i(it)_real,i(it)_imag,i(rd2)_real,i(rd2)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,id(j1)_real,id(j1)_imag,i(rd1)_real,i(rd1)_imag,i(rg)_real,i(rg)_imag
1,10.0,0.0,-1.004895372208176e-06,1.167389182050145e-05,0.9999995937215048,-5.427116765200066e-06,0.998089872680573,-2.683994984781987e-06,0.0,0.0,1.009188903111635e-06,1.368775321749929e-05,1.0,0.0,1.999999188446585,-1.079699562288911e-05,0.0,0.0,-0.000499989723680469,9.082535010383152e-09,-1.002006230236881e-12,-5.723814397187091e-11,-5.045954608935794e-10,-6.843890296502858e-09,0.0,0.0,-5.045944515558176e-10,-6.843876608749645e-09,0.0009999995947250803,-5.369878857689045e-09,1.411887498235978e-13,1.256637182916252e-08,-0.0004999897303175627,-3.598287547076332e-09,5.025898793915176e-10,6.729414245019967e-09,5.024476861040878e-10,-5.836945910250725e-09,0.0009999995937215048,-5.427116765200065e-09
1,10.39122303835169,0.0,-1.00488439695749e-06,1.213060136311351e-05,0.9999995937168453,-5.639438076182787e-06,0.9980898726782697,-2.788999052041818e-06,0.0,0.0,1.009200735424542e-06,1.42232496575571e-05,1.0,0.0,1.9999991884374,-1.121939896604751e-05,0.0,0.0,-0.0004999897236724338,9.437864704559032e-09,-1.002013816688356e-12,-5.947743203115829e-11,-5.046013767275371e-10,-7.111639052028207e-09,0.0,0.0,-5.046003677122712e-10,-7.11162482877855e-09,0.0009999995947205544,-5.579960889864726e-09,1.524521052580826e-13,1.30579972458371e-08,-0.000499989730320935,-3.739060845739935e-09,5.025956549407256e-10,6.992684433678982e-09,5.02442198478745e-10,-6.065300681556756e-09,0.0009999995937168453,-5.639438076182787e-09
1,10.7977516232771,0.0,-1.004872543924907e-06,1.260517843520032e-05,0.9999995937118137,-5.860065885997811e-06,0.9980898726757826,-2.898111120321634e-06,0.0,0.0,1.009213512759288e-06,1.477969595202864e-05,1.0,0.0,1.999999188427479,-1.165832770112483e-05,0.0,0.0,-0.0004999897236637602,9.807095714980514e-09,-1.002022008350226e-12,-6.180432619825817e-11,-5.046077658868938e-10,-7.38986275571027e-09,0.0,0.0,-5.046067563796442e-10,-7.38984797601432e-09,0.0009999995947156657,-5.798261815127024e-09,1.64613996700452e-13,1.356885618141982e-08,-0.000499989730324571,-3.88534152016119e-09,5.026018909404318e-10,7.266254358641229e-09,5.024362719624534e-10,-6.302589217600162e-09,0.0009999995937118138,-5.86006588599781e-09
1,11.22018454301963,0.0,-1.004859751343529e-06,1.309832205567697e-05,0.9999995937063807,-6.089325164015468e-06,0.9980898726730965,-3.011491904085098e-06,0.0,0.0,1.009227305281968e-06,1.535791170748159e-05,1.0,0.0,1.999999188416768,-1.211442833952317e-05,0.0,0.0,-0.0004999897236544204,1.01907718931647e-08,-1.002030853503259e-12,-6.422225382593678e-11,-5.046146626874954e-10,-7.678971211652496e-09,0.0,0.0,-5.046136526409839e-10,-7.678955853740794e-09,0.0009999995947103878,-6.025103175507702e-09,1.77746105006551e-13,1.409970109547934e-08,-0.0004999897303285261,-4.037345031566409e-09,5.026086263278939e-10,7.550526969318793e-09,5.024298756717647e-10,-6.549161027838484e-09,0.0009999995937063806,-6.089325164015468e-09
1,11.65914401179831,0.0,-1.00484593134644e-06,1.36107585906885e-05,0.999999593700515,-6.327553593156406e-06,0.9980898726701971,-3.129308405315896e-06,0.0,0.0,1.009242202698601e-06,1.595874859538042e-05,1.0,0.0,1.999999188405205,-1.258837268565986e-05,0.0,0.0,-0.0004999897236442757,1.058945836735124e-08,-1.002040404279801e-12,-6.673477635289459e-11,-5.046221105778969e-10,-7.979390256438803e-09,0.0,0.0,-5.046211013493007e-10,-7.979374297690209e-09,0.0009999995947046901,-6.260819092503452e-09,1.919258293841267e-13,1.46513138855358e-08,-0.000499989730332745,-4.195295270523242e-09,5.026158962354973e-10,7.845920979432952e-09,5.024229656732202e-10,-6.805379295344252e-09,0.000999999593700515,-6.327553593156406e-09
1,12.11527658628588,0.0,-1.004831012043e-06,1.414324282349686e-05,0.9999995936941802,-6.575102067274998e-06,0.9980898726670658,-3.251734159500008e-06,0.0,0.0,1.009258288497961e-06,1.658309160653923e-05,1.0,0.0,1.999999188392716,-1.308085882648858e-05,0.0,0.0,-0.0004999897236333539,1.100374237489975e-08,-1.002050716971097e-12,-6.934559454952059e-11,-5.046301541696295e-10,-8.291562386361216e-09,0.0,0.0,-5.046291442489803e-10,-8.291545803269613e-09,0.0009999995946985358,-6.505756759213577e-09,2.07236743575281e-13,1.522450703874152e-08,-0.0004999897303373246,-4.359424886712625e-09,5.026237476634063e-10,8.152871483750272e-09,5.024155060215001e-10,-7.071621411748433e-09,0.0009999995936941803,-6.575102067274998e-09
1,12.58925411794167,0.0,-1.004814902208397e-06,1.469655906622373e-05,0.9999995936873409,-6.83233520800148e-06,0.9980898726636848,-3.378949491231365e-06,0.0,0.0,1.009275655938779e-06,1.723186035465127e-05,1.0,0.0,1.999999188379233,-1.359261215973267e-05,0.0,0.0,-0.0004999897236215856,1.143423412724753e-08,-1.002061852359013e-12,-7.205855396886615e-11,-5.046388372483674e-10,-8.615947409185989e-09,0.0,0.0,-5.046378279693898e-10,-8.615930177325633e-09,0.0009999995946918918,-6.760276951731189e-09,2.237690884309482e-13,1.582012482861775e-08,-0.0004999897303422929,-4.529975631607074e-09,5.026322254501569e-10,8.47183059894683e-09,5.024074511041983e-10,-7.348279533111866e-09,0.000999999593687341,-6.832335208001481e-09
1,13.08177474260194,0.0,-1.004797508251294e-06,1.527152231508761e-05,0.9999995936799555,-7.099631901804134e-06,0.998089872660034,-3.511141779817373e-06,0.0,0.0,1.00929441071429e-06,1.790601043081577e-05,1.0,0.0,1.999999188364673,-1.412438646234532e-05,0.0,0.0,-0.0004999897236088319,1.188156770870875e-08,-1.002073876074309e-12,-7.487765061087715e-11,-5.046482144257128e-10,-8.953023121418312e-09,0.0,0.0,-5.046472053571449e-10,-8.953005215407884e-09,0.0009999995946847172,-7.024754560541181e-09,2.416203037805837e-13,1.64390445586106e-08,-0.0004999897303476081,-4.707198714554341e-09,5.02641379415686e-10,8.80326812954448e-09,5.023987541256469e-10,-7.635761157543807e-09,0.0009999995936799556,-7.099631901804135e-09
1,13.59356390878525,0.0,-1.004778725289961e-06,1.58689794508363e-05,0.9999995936719817,-7.37738585806263e-06,0.9980898726560923,-3.648505735275563e-06,0.0,0.0,1.009314657629545e-06,1.860653481105686e-05,1.0,0.0,1.999999188348953,-1.467696500077039e-05,0.0,0.0,-0.000499989723595079,1.234640201043666e-08,-1.002086858983442e-12,-7.780703680822311e-11,-5.046583384235375e-10,-9.30328601206324e-09,0.0,0.0,-5.046573288147727e-10,-9.303267405528428e-09,0.000999999594676971,-7.299579142707761e-09,2.608956027318416e-13,1.708217785429775e-08,-0.0004999897303533535,-4.891355172789458e-09,5.026512630221721e-10,9.147672259900145e-09,5.023893626449804e-10,-7.934489725418152e-09,0.0009999995936719817,-7.377385858062631e-09
1,14.12537544622754,0.0,-1.004758444958722e-06,1.648981048614317e-05,0.9999995936633704,-7.66600618897444e-06,0.9980898726518356,-3.791243685127848e-06,0.0,0.0,1.00933652369406e-06,1.933446531890801e-05,1.0,0.0,1.999999188331976,-1.525116168463923e-05,0.0,0.0,-0.0004999897235802298,1.282942170092443e-08,-1.002100877606259e-12,-8.085102734239377e-11,-5.046692719112681e-10,-9.667251993919318e-09,0.0,0.0,-5.0466826184703e-10,-9.667232659454005e-09,0.0009999995946686057,-7.585155495664794e-09,2.817085917851036e-13,1.775047200614933e-08,-0.0004999897303595985,-5.082716255926183e-09,5.026619363869317e-10,9.505550273267268e-09,5.023792224793609e-10,-8.244905243071584e-09,0.0009999995936633705,-7.666006188974441e-09
