case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,10.0,0.0,1.0,0.0,0.7186588323794858,1.032586768365704e-08,0.0,0.0,-0.001529061344206922,1.13792790468732e-10,0.001529061344206923,-1.13792790468732e-10,-1.281344655999583e-12,-1.357627217105555e-10,0.001529061345488268,2.19699312418235e-11
1,10.39122303835169,0.0,1.0,0.0,0.7186588323794859,1.072983941653882e-08,0.0,0.0,-0.001529061344206922,1.182446265917014e-10,0.001529061344206922,-1.182446265917014e-10,-1.281344887098822e-12,-1.410740721588053e-10,0.001529061345488268,2.282944556710387e-11
1,10.7977516232771,0.0,1.0,0.0,0.7186588323794859,1.114961545429523e-08,0.0,0.0,-0.001529061344206922,1.228706288000981e-10,0.001529061344206922,-1.228706288000981e-10,-1.28134513663404e-12,-1.465932148730667e-10,0.001529061345488268,2.372258607296858e-11
1,11.22018454301963,0.0,1.0,0.0,0.7186588323794858,1.158581409774346e-08,0.0,0.0,-0.001529061344206922,1.276776108724338e-10,0.001529061344206923,-1.276776108724338e-10,-1.28134540607597e-12,-1.52328279165505e-10,0.001529061345488268,2.46506682930712e-11
1,11.65914401179831,0.0,1.0,0.0,0.7186588323794859,1.203907783705317e-08,0.0,0.0,-0.001529061344206922,1.326726531579336e-10,0.001529061344206922,-1.326726531579336e-10,-1.281345697012675e-12,-1.582877123857064e-10,0.001529061345488268,2.561505922777269e-11
1,12.11527658628588,0.0,1.0,0.0,0.718658832379486,1.251007429808961e-08,0.0,0.0,-0.001529061344206922,1.378631130053963e-10,0.001529061344206922,-1.378631130053963e-10,-1.281346011158901e-12,-1.644802923630337e-10,0.001529061345488268,2.661717935763747e-11
1,12.58925411794167,0.0,1.0,0.0,0.718658832379486,1.299949722578e-08,0.0,0.0,-0.001529061344206922,1.432566356000556e-10,0.001529061344206922,-1.432566356000556e-10,-1.281346350366195e-12,-1.709151403357579e-10,0.001529061345488268,2.765850473570213e-11
1,13.08177474260194,0.0,1.0,0.0,0.7186588323794862,1.350806750595142e-08,0.0,0.0,-0.00152906134420692,1.488611652244052e-10,0.001529061344206921,-1.488611652244052e-10,-1.281346716633805e-12,-1.776017343860039e-10,0.001529061345488269,2.874056916159876e-11
1,13.59356390878525,0.0,1.0,0.0,0.7186588323794861,1.403653422714521e-08,0.0,0.0,-0.001529061344206921,1.546849569595716e-10,0.001529061344206921,-1.546849569595716e-10,-1.281347112120473e-12,-1.845499234003061e-10,0.001529061345488268,2.986496644073449e-11
1,14.12537544622754,0.0,1.0,0.0,0.7186588323794862,1.458567578397234e-08,0.0,0.0,-0.00152906134420692,1.60736588844474e-10,0.001529061344206921,-1.60736588844474e-10,-1.281347539157154e-12,-1.9176994157633e-10,0.001529061345488269,3.103335273185604e-11
1,14.67799267622069,0.0,1.0,0.0,0.7186588323794862,1.515630102363416e-08,0.0,0.0,-0.00152906134420692,1.670249745106762e-10,0.001529061344206921,-1.670249745106762e-10,-1.281348000260756e-12,-1.992724234971319e-10,0.001529061345488269,3.224744898645567e-11
1,15.25222956539018,0.0,1.0,0.0,0.7186588323794864,1.574925043729807e-08,0.0,0.0,-0.00152906134420692,1.735593763115442e-10,0.00152906134420692,-1.735593763115442e-10,-1.281348498148973e-12,-2.070684197951571e-10,0.001529061345488269,3.350904348361291e-11
1,15.84893192461113,0.0,1.0,0.0,0.7186588323794864,1.63653973980822e-08,0.0,0.0,-0.00152906134420692,1.803494189650469e-10,0.00152906134420692,-1.803494189650469e-10,-1.281349035756303e-12,-2.151694134290516e-10,0.001529061345488269,3.481999446400469e-11
1,16.46897865482867,0.0,1.0,0.0,0.7186588323794866,1.700564944747324e-08,0.0,0.0,-0.001529061344206918,1.874051037302935e-10,0.001529061344206919,-1.874051037302935e-10,-1.281349616251345e-12,-2.235873365972579e-10,0.001529061345488269,3.618223286696435e-11
1,17.11328304161779,0.0,1.0,0.0,0.7186588323794866,1.767094963207168e-08,0.0,0.0,-0.001529061344206918,1.947368231386915e-10,0.001529061344206919,-1.947368231386916e-10,-1.281350243055473e-12,-2.32334588313312e-10,0.001529061345488269,3.75977651746206e-11
1,17.78279410038921,0.0,1.0,0.0,0.7186588323794865,1.836227789263355e-08,0.0,0.0,-0.001529061344206919,2.02355376301419e-10,0.001529061344206919,-2.02355376301419e-10,-1.281350919863002e-12,-2.414240526687245e-10,0.001529061345488269,3.906867636730543e-11
1,18.47849797422289,0.0,1.0,0.0,0.7186588323794867,1.908065250745496e-08,0.0,0.0,-0.001529061344206918,2.10271984815763e-10,0.001529061344206918,-2.10271984815763e-10,-1.281351650662962e-12,-2.508691178103481e-10,0.00152906134548827,4.059713299458501e-11
1,19.201419386388,0.0,1.0,0.0,0.7186588323794868,1.982713159222489e-08,0.0,0.0,-0.001529061344206917,2.184983092937494e-10,0.001529061344206917,-2.184983092937494e-10,-1.281352439762607e-12,-2.606836956601853e-10,0.00152906134548827,4.218538636643594e-11
1,19.95262314968878,0.0,1.0,0.0,0.718658832379487,2.060281465855578e-08,0.0,0.0,-0.001529061344206916,2.270464665374101e-10,0.001529061344206916,-2.270464665374101e-10,-1.281353291812804e-12,-2.708822424066778e-10,0.00152906134548827,4.383577586926761e-11
1,20.73321573485953,0.0,1.0,0.0,0.7186588323794871,2.140884423348746e-08,0.0,0.0,-0.001529061344206916,2.359290473859881e-10,0.001529061344206916,-2.359290473859882e-10,-1.281354211835444e-12,-2.814797797976636e-10,0.001529061345488271,4.555073241167546e-11
1,21.54434690031881,0.0,1.0,0.0,0.7186588323794872,2.224640754234976e-08,0.0,0.0,-0.001529061344206915,2.451591352613648e-10,0.001529061344206915,-2.451591352613648e-10,-1.28135520525304e-12,-2.924919172663643e-10,0.001529061345488271,4.73327820049995e-11
1,22.38721138568337,0.0,1.0,0.0,0.7186588323794874,2.311673825746256e-08,0.0,0.0,-0.001529061344206914,2.547503254390272e-10,0.001529061344206914,-2.547503254390272e-10,-1.281356277920686e-12,-3.039348749229901e-10,0.001529061345488271,4.91845494839629e-11
1,23.26305067153623,0.0,1.0,0.0,0.7186588323794876,2.402111831524907e-08,0.0,0.0,-0.001529061344206913,2.647167450729609e-10,0.001529061344206913,-2.647167450729609e-10,-1.281357436160567e-12,-3.158255074458313e-10,0.001529061345488271,5.110876237287036e-11
1,24.17315480804101,0.0,1.0,0.0,0.7186588323794877,2.496087980443878e-08,0.0,0.0,-0.001529061344206912,2.750730740039622e-10,0.001529061344206913,-2.750730740039622e-10,-1.281358686799223e-12,-3.281813289070234e-10,0.001529061345488272,5.310825490306123e-11
1,25.11886431509577,0.0,1.0,0.0,0.7186588323794879,2.593740692814115e-08,0.0,0.0,-0.001529061344206911,2.85834566382019e-10,0.001529061344206911,-2.858345663820191e-10,-1.28136003720778e-12,-3.410205385695533e-10,0.001529061345488272,5.518597218753436e-11
1,26.10157215682533,0.0,1.0,0.0,0.7186588323794881,2.695213804268031e-08,0.0,0.0,-0.001529061344206909,2.970170731346102e-10,0.00152906134420691,-2.970170731346102e-10,-1.2813614953454e-12,-3.543620476935043e-10,0.001529061345488273,5.734497455889428e-11
1,27.12272579332025,0.0,1.0,0.0,0.7186588323794882,2.800656777619344e-08,0.0,0.0,-0.001529061344206909,3.08637065314015e-10,0.001529061344206909,-3.086370653140149e-10,-1.281363069806184e-12,-3.682255073910222e-10,0.001529061345488273,5.958844207700731e-11
1,28.1838293126445,0.0,1.0,0.0,0.7186588323794885,2.910224923011391e-08,0.0,0.0,-0.001529061344206908,3.207116583580246e-10,0.001529061344206908,-3.207116583580246e-10,-1.281364769869834e-12,-3.826313375710329e-10,0.001529061345488273,6.191967921300832e-11
1,29.28644564625232,0.0,1.0,0.0,0.7186588323794887,3.024079626678121e-08,0.0,0.0,-0.001529061344206907,3.33258637299788e-10,0.001529061344206907,-3.33258637299788e-10,-1.281366605556337e-12,-3.976007570163437e-10,0.001529061345488274,6.434211971655576e-11
1,30.43219887107717,0.0,1.0,0.0,0.7186588323794889,3.142388588654765e-08,0.0,0.0,-0.001529061344206905,3.462964829639247e-10,0.001529061344206906,-3.462964829639246e-10,-1.281368587685028e-12,-4.131558146374303e-10,0.001529061345488274,6.685933167350565e-11
1,31.62277660168374,0.0,1.0,0.0,0.7186588323794891,3.265326069788282e-08,0.0,0.0,-0.001529061344206904,3.598443991874896e-10,0.001529061344206905,-3.598443991874896e-10,-1.281370727938358e-12,-4.293194219489426e-10,0.001529061345488275,6.94750227614528e-11
1,32.85993247600649,0.0,1.0,0.0,0.7186588323794895,3.393073148411433e-08,0.0,0.0,-0.001529061344206903,3.739223411058862e-10,0.001529061344206903,-3.739223411058863e-10,-1.281373038930745e-12,-4.461153868167678e-10,0.001529061345488276,7.219304571088154e-11
1,34.14548873833596,0.0,1.0,0.0,0.7186588323794898,3.525817987058537e-08,0.0,0.0,-0.001529061344206901,3.885510445453883e-10,0.001529061344206901,-3.885510445453883e-10,-1.281375534282924e-12,-4.635684485253572e-10,0.001529061345488276,7.501740397996888e-11
1,35.48133892335748,0.0,1.0,0.0,0.7186588323794902,3.663756109615737e-08,0.0,0.0,-0.001529061344206898,4.037520565655649e-10,0.001529061344206898,-4.037520565655649e-10,-1.281378228702229e-12,-4.817043142169638e-10,0.001529061345488277,7.795225765139866e-11
1,36.86945064519569,0.0,1.0,0.0,0.7186588323794906,3.807090689314082e-08,0.0,0.0,-0.001529061344206896,4.195477671965974e-10,0.001529061344206896,-4.195477671965973e-10,-1.281381138069271e-12,-5.005496967564713e-10,0.001529061345488278,8.100192955987408e-11
1,38.31186849557281,0.0,1.0,0.0,0.718658832379491,3.956032847989462e-08,0.0,0.0,-0.001529061344206894,4.359614424182289e-10,0.001529061344206894,-4.35961442418229e-10,-1.281384279531541e-12,-5.201323540775791e-10,0.001529061345488279,8.417091165935026e-11
1,39.81071705534965,0.0,1.0,0.0,0.7186588323794915,4.110801967050408e-08,0.0,0.0,-0.001529061344206891,4.530172584289331e-10,0.001529061344206892,-4.530172584289331e-10,-1.281387671604473e-12,-5.404811300683035e-10,0.00152906134548828,8.74638716393704e-11
1,41.36820402388499,0.0,1.0,0.0,0.718658832379492,4.271626010611556e-08,0.0,0.0,-0.001529061344206889,4.707403372557647e-10,0.001529061344206889,-4.707403372557646e-10,-1.281391334280575e-12,-5.616259970560106e-10,0.001529061345488281,9.088565980024587e-11
