case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
1,-2.0,-2.0,3.0,-5.000999999999999e-12,5.000999999999999e-12,7.001999999999999e-12
1,-1.99,-1.99,3.0,-1.522549910000026e-07,1.522549910000003e-07,6.981999999999999e-12
1,-1.98,-1.98,3.0,-6.090049810000082e-07,6.09004981000001e-07,6.962e-12
1,-1.97,-1.97,3.0,-1.370254971000011e-06,1.370254971000002e-06,6.942e-12
1,-1.96,-1.96,3.0,-2.43600496100001e-06,2.436004961000004e-06,6.922e-12
1,-1.95,-1.95,3.0,-3.806254951000006e-06,3.806254951000006e-06,6.901999999999999e-12
1,-1.94,-1.94,3.0,-5.48100494100008e-06,5.48100494100001e-06,6.881999999999999e-12
1,-1.93,-1.93,3.0,-7.460254931000016e-06,7.460254931000013e-06,6.862e-12
1,-1.92,-1.92,3.0,-9.74400492100003e-06,9.744004921000018e-06,6.842e-12
1,-1.91,-1.91,3.0,-1.233225491100007e-05,1.233225491100002e-05,6.822e-12
1,-1.9,-1.9,3.0,-1.522500490099997e-05,1.522500490100003e-05,6.801999999999999e-12
1,-1.89,-1.89,3.0,-1.842225489099994e-05,1.842225489100003e-05,6.781999999999999e-12
1,-1.88,-1.88,3.0,-2.192400488099989e-05,2.192400488100004e-05,6.761999999999999e-12
1,-1.87,-1.87,3.0,-2.573025487099991e-05,2.573025487099996e-05,6.742e-12
1,-1.86,-1.86,3.0,-2.984100486100002e-05,2.984100486100005e-05,6.721999999999999e-12
1,-1.85,-1.85,3.0,-3.425625485099987e-05,3.425625485099996e-05,6.702e-12
1,-1.84,-1.84,3.0,-3.897600484099981e-05,3.897600484099996e-05,6.682e-12
1,-1.83,-1.83,3.0,-4.400025483099993e-05,4.400025483099996e-05,6.662e-12
1,-1.82,-1.82,3.0,-4.932900482100002e-05,4.932900482099996e-05,6.642e-12
1,-1.81,-1.81,3.0,-5.496225481100019e-05,5.496225481099997e-05,6.622e-12
1,-1.8,-1.8,3.0,-6.090000480099989e-05,6.090000480099997e-05,6.602e-12
1,-1.79,-1.79,3.0,-6.714225479100022e-05,6.714225479099997e-05,6.581999999999999e-12
1,-1.78,-1.78,3.0,-7.368900478099986e-05,7.3689004781e-05,6.562000000000001e-12
1,-1.77,-1.77,3.0,-8.054025477099991e-05,8.054025477099999e-05,6.541999999999999e-12
1,-1.76,-1.76,3.0,-8.769600476100014e-05,8.7696004761e-05,6.522e-12
1,-1.75,-1.75,3.0,-9.515625475100035e-05,9.5156254751e-05,6.502e-12
1,-1.74,-1.74,3.0,-0.0001029210047410001,0.000102921004741,6.481999999999999e-12
1,-1.73,-1.73,3.0,-0.0001109902547310002,0.000110990254731,6.461999999999999e-12
1,-1.72,-1.72,3.0,-0.0001193640047210001,0.000119364004721,6.441999999999999e-12
1,-1.71,-1.71,3.0,-0.000128042254711,0.000128042254711,6.422e-12
1,-1.7,-1.7,3.0,-0.000137025004701,0.000137025004701,6.402e-12
1,-1.69,-1.69,3.0,-0.0001463122546910001,0.000146312254691,6.381999999999999e-12
1,-1.68,-1.68,3.0,-0.0001559040046810003,0.0001559040046810001,6.361999999999999e-12
1,-1.67,-1.67,3.0,-0.000165800254671,0.0001658002546710001,6.342e-12
1,-1.66,-1.66,3.0,-0.0001760010046610002,0.0001760010046610001,6.322e-12
1,-1.65,-1.65,3.0,-0.0001865062546510003,0.0001865062546510001,6.302e-12
1,-1.64,-1.64,3.0,-0.0001973160046409999,0.0001973160046409999,6.281999999999999e-12
1,-1.63,-1.63,3.0,-0.0002084302546310004,0.0002084302546310001,6.261999999999999e-12
1,-1.62,-1.62,3.0,-0.000219849004621,0.0002198490046209999,6.242e-12
1,-1.61,-1.61,3.0,-0.0002315722546110002,0.0002315722546110002,6.221999999999999e-12
1,-1.6,-1.6,3.0,-0.0002436000046009998,0.0002436000046009999,6.202e-12
1,-1.59,-1.59,3.0,-0.0002559322545910001,0.0002559322545910001,6.181999999999999e-12
1,-1.58,-1.58,3.0,-0.0002685690045809998,0.0002685690045809999,6.162000000000001e-12
1,-1.57,-1.57,3.0,-0.0002815102545710001,0.0002815102545709999,6.142e-12
1,-1.56,-1.56,3.0,-0.0002947560045610002,0.000294756004561,6.122e-12
1,-1.55,-1.55,3.0,-0.0003083062545509996,0.0003083062545509999,6.102e-12
1,-1.54,-1.54,3.0,-0.0003221610045409996,0.000322161004541,6.081999999999999e-12
1,-1.53,-1.53,3.0,-0.0003363202545309993,0.0003363202545309999,6.061999999999999e-12
1,-1.52,-1.52,3.0,-0.0003507840045210001,0.000350784004521,6.041999999999999e-12
1,-1.51,-1.51,3.0,-0.0003655522545110003,0.000365552254511,6.022e-12
1,-1.5,-1.5,3.0,-0.0003806250045010002,0.000380625004501,6.002e-12
1,-1.49,-1.49,3.0,-0.0003960022544910002,0.000396002254491,5.981999999999999e-12
1,-1.48,-1.48,3.0,-0.0004116840044809996,0.000411684004481,5.961999999999999e-12
1,-1.47,-1.47,3.0,-0.000427670254471,0.000427670254471,5.942e-12
1,-1.46,-1.46,3.0,-0.0004439610044609998,0.000443961004461,5.922e-12
1,-1.45,-1.45,3.0,-0.0004605562544510002,0.0004605562544510001,5.902e-12
1,-1.44,-1.44,3.0,-0.0004774560044410003,0.000477456004441,5.881999999999999e-12
1,-1.43,-1.43,3.0,-0.0004946602544309998,0.0004946602544310001,5.861999999999999e-12
1,-1.42,-1.42,3.0,-0.0005121690044210003,0.0005121690044210002,5.841999999999999e-12
1,-1.41,-1.41,3.0,-0.0005299822544110001,0.0005299822544109998,5.822e-12
1,-1.4,-1.4,3.0,-0.0005481000044010001,0.0005481000044010001,5.802e-12
1,-1.39,-1.39,3.0,-0.0005665222543909999,0.0005665222543909999,5.781999999999999e-12
1,-1.38,-1.38,3.0,-0.0005852490043810003,0.0005852490043810002,5.761999999999999e-12
1,-1.37,-1.37,3.0,-0.000604280254371,0.0006042802543709997,5.742e-12
1,-1.36,-1.36,3.0,-0.0006236160043609999,0.0006236160043610002,5.721999999999999e-12
