case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(rs)_real,i(rs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,10.0,0.0,1.0,0.0,0.7819791919977029,-4.212895078875155e-07,-1.663785514892526,8.963606550818595e-07,0.0,0.0,-0.001663785514892526,8.963606550818595e-10,0.001663785514891547,-8.963606550815097e-10,0.00166378551488873,-8.963606550798202e-10,0.0,0.0,0.001663785514892526,-8.963606550818595e-10
1,10.39122303835169,0.0,1.0,0.0,0.7819791919977047,-4.377713240176362e-07,-1.663785514892334,9.314283489757135e-07,0.0,0.0,-0.001663785514892334,9.314283489757135e-10,0.001663785514891547,-9.314283489751797e-10,0.001663785514888734,-9.314283489736941e-10,0.0,0.0,0.001663785514892334,-9.314283489757135e-10
1,10.7977516232771,0.0,1.0,0.0,0.7819791919978368,-4.548979467660671e-07,-1.663785514891126,9.678679718439225e-07,0.0,0.0,-0.001663785514891126,9.678679718439224e-10,0.001663785514889327,-9.678679718420673e-10,0.001663785514889015,-9.67867971842696e-10,0.0,0.0,0.001663785514891126,-9.678679718439224e-10
1,11.22018454301963,0.0,1.0,0.0,0.781979191997674,-4.726946024535287e-07,-1.663785514892172,1.005733196711752e-06,0.0,0.0,-0.001663785514892172,1.005733196711752e-09,0.001663785514891547,-1.005733196711557e-09,0.001663785514888668,-1.005733196709636e-09,0.0,0.0,0.001663785514892172,-1.005733196711752e-09
1,11.65914401179831,0.0,1.0,0.0,0.7819791919977812,-4.91187504311853e-07,-1.663785514891123,1.045079796409592e-06,0.0,0.0,-0.001663785514891123,1.045079796409592e-09,0.001663785514889327,-1.04507979640771e-09,0.001663785514888896,-1.045079796408198e-09,0.0,0.0,0.001663785514891123,-1.045079796409592e-09
1,12.11527658628588,0.0,1.0,0.0,0.7819791919977328,-5.104038910955804e-07,-1.663785514891255,1.085965725736892e-06,0.0,0.0,-0.001663785514891255,1.085965725736892e-09,0.001663785514889327,-1.08596572573581e-09,0.001663785514888793,-1.085965725735278e-09,0.0,0.0,0.001663785514891255,-1.085965725736892e-09
1,12.58925411794167,0.0,1.0,0.0,0.7819791919978107,-5.303720672015756e-07,-1.663785514890394,1.12845120681284e-06,0.0,0.0,-0.001663785514890394,1.12845120681284e-09,0.001663785514889327,-1.128451206811409e-09,0.001663785514888959,-1.128451206811863e-09,0.0,0.0,0.001663785514890394,-1.12845120681284e-09
1,13.08177474260194,0.0,1.0,0.0,0.7819791919975893,-5.511214443604577e-07,-1.663785514891815,1.172598817790546e-06,0.0,0.0,-0.001663785514891815,1.172598817790546e-09,0.001663785514889327,-1.172598817789139e-09,0.001663785514888488,-1.172598817788208e-09,0.0,0.0,0.001663785514891815,-1.172598817790546e-09
1,13.59356390878525,0.0,1.0,0.0,0.7819791919977747,-5.726825849566013e-07,-1.663785514890086,1.218473585014923e-06,0.0,0.0,-0.001663785514890086,1.218473585014923e-09,0.001663785514889327,-1.218473585013549e-09,0.001663785514888882,-1.218473585014045e-09,0.0,0.0,0.001663785514890086,-1.218473585014923e-09
1,14.12537544622754,0.0,1.0,0.0,0.7819791919977996,-5.950872470463067e-07,-1.663785514889565,1.266143078822415e-06,0.0,0.0,-0.001663785514889565,1.266143078822415e-09,0.001663785514887106,-1.266143078820646e-09,0.001663785514888935,-1.266143078821929e-09,0.0,0.0,0.001663785514889565,-1.266143078822415e-09
1,14.67799267622069,0.0,1.0,0.0,0.7819791919975208,-6.183684311338771e-07,-1.663785514891354,1.315677513053181e-06,0.0,0.0,-0.001663785514891354,1.315677513053181e-09,0.001663785514889327,-1.315677513051565e-09,0.001663785514888342,-1.315677513050802e-09,0.0,0.0,0.001663785514891354,-1.315677513053181e-09
1,15.25222956539018,0.0,1.0,0.0,0.7819791919975028,-6.42560428778722e-07,-1.663785514891109,1.367149848467671e-06,0.0,0.0,-0.001663785514891109,1.367149848467671e-09,0.001663785514889327,-1.367149848466815e-09,0.001663785514888304,-1.367149848465366e-09,0.0,0.0,0.001663785514891109,-1.367149848467671e-09
1,15.84893192461113,0.0,1.0,0.0,0.7819791919974608,-6.676988731058227e-07,-1.663785514891019,1.420635900227554e-06,0.0,0.0,-0.001663785514891019,1.420635900227554e-09,0.001663785514889327,-1.420635900226295e-09,0.001663785514888214,-1.420635900225155e-09,0.0,0.0,0.001663785514891019,-1.420635900227554e-09
1,16.46897865482867,0.0,1.0,0.0,0.7819791919975345,-6.938207912897086e-07,-1.663785514890006,1.476214449554022e-06,0.0,0.0,-0.001663785514890006,1.476214449554022e-09,0.001663785514889327,-1.476214449553646e-09,0.001663785514888371,-1.476214449552572e-09,0.0,0.0,0.001663785514890006,-1.476214449554022e-09
1,17.11328304161779,0.0,1.0,0.0,0.7819791919972969,-7.209646590938542e-07,-1.663785514891351,1.533967359777378e-06,0.0,0.0,-0.001663785514891351,1.533967359777378e-09,0.001663785514889327,-1.533967359775529e-09,0.001663785514887866,-1.533967359774158e-09,0.0,0.0,0.001663785514891351,-1.533967359777378e-09
1,17.78279410038921,0.0,1.0,0.0,0.7819791919973124,-7.49170457541218e-07,-1.663785514890711,1.593979696898904e-06,0.0,0.0,-0.001663785514890711,1.593979696898904e-09,0.001663785514889327,-1.593979696896765e-09,0.001663785514887899,-1.593979696896208e-09,0.0,0.0,0.001663785514890711,-1.593979696898904e-09
1,18.47849797422289,0.0,1.0,0.0,0.7819791919971536,-7.784797318055373e-07,-1.663785514891371,1.656339854909191e-06,0.0,0.0,-0.001663785514891371,1.656339854909191e-09,0.001663785514889327,-1.656339854908273e-09,0.001663785514887561,-1.656339854905399e-09,0.0,0.0,0.001663785514891371,-1.656339854909191e-09
1,19.201419386388,0.0,1.0,0.0,0.7819791919972423,-8.089356524025115e-07,-1.66378551489008,1.721139685965206e-06,0.0,0.0,-0.00166378551489008,1.721139685965206e-09,0.001663785514889327,-1.721139685963327e-09,0.00166378551488775,-1.72113968596279e-09,0.0,0.0,0.00166378551489008,-1.721139685965206e-09
1,19.95262314968878,0.0,1.0,0.0,0.7819791919974348,-8.405830787785144e-07,-1.663785514887944,1.788474635698738e-06,0.0,0.0,-0.001663785514887944,1.788474635698738e-09,0.001663785514887106,-1.788474635697421e-09,0.001663785514888159,-1.788474635698967e-09,0.0,0.0,0.001663785514887944,-1.788474635698738e-09
1,20.73321573485953,0.0,1.0,0.0,0.7819791919973033,-8.734686253851843e-07,-1.663785514888249,1.858443883798685e-06,0.0,0.0,-0.001663785514888249,1.858443883798685e-09,0.001663785514887106,-1.858443883797626e-09,0.001663785514887879,-1.858443883798264e-09,0.0,0.0,0.001663785514888249,-1.858443883798685e-09
