case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
1,0.0,0.0,11.999999999711,5.999999999855502e-20,12.0,-2.408317989477382e-11,-5.999999999855502e-21,2.408310587990551e-11,1.1999999999711e-40,5.999999999855502e-21,2.406963517387339e-11,-5.999999999855502e-21
1,4.99999991225835e-14,0.0,11.999999999711,4.440892098500626e-16,12.0,-2.40829578501689e-11,-4.440892098500626e-17,2.40829578501689e-11,1.776116870568141e-11,4.440892098500626e-17,2.406963517387339e-11,-1.455191522836685e-11
1,9.9999998245167e-14,0.0,11.99999999971101,8.881784197001252e-16,12.0,-2.408284682786643e-11,-8.881784197001253e-17,2.408280982043228e-11,1.776356870572347e-11,8.881784197001253e-17,2.415845301584341e-11,0.0
1,1.99999996490334e-13,0.0,11.99999999971101,1.77635683940025e-15,12.0,-2.408284682786643e-11,-1.776356839400251e-16,2.408280982043228e-11,1.776356870572347e-11,1.776356839400251e-16,2.415845301584341e-11,0.0
1,3.99999992980668e-13,0.0,11.99999999971101,2.664535259100376e-15,12.0,-2.408273580556397e-11,-2.664535259100376e-16,2.408266179069566e-11,-6.462348535570529e-27,2.664535259100376e-16,2.415845301584341e-11,0.0
1,7.99999985961336e-13,0.0,11.99999999971101,2.664535259100376e-15,12.0,-2.408273580556397e-11,-2.664535259100376e-16,2.408266179069566e-11,-6.462348535570529e-27,2.664535259100376e-16,2.398081733190338e-11,0.0
1,1.599999971922672e-12,0.0,11.99999999971101,2.664535259100376e-15,12.0,-2.408273580556397e-11,-2.664535259100376e-16,2.408266179069566e-11,1.615587133892632e-27,2.664535259100376e-16,2.362554596402333e-11,0.0
1,3.199999943845344e-12,0.0,11.99999999971101,2.664535259100376e-15,12.0,-2.408273580556397e-11,-2.664535259100376e-16,2.408266179069566e-11,-4.03896783473158e-27,2.664535259100376e-16,2.380318164796336e-11,0.0
1,6.399999887690688e-12,0.0,11.99999999971101,2.220446049250313e-15,12.0,-2.408284682786643e-11,-2.220446049250313e-16,2.408280982043228e-11,-5.551115220538554e-13,2.220446049250313e-16,2.424727085781342e-11,0.0
1,1.279999977538138e-11,0.0,11.99999999971101,1.77635683940025e-15,12.0,-2.408284682786643e-11,-1.776356839400251e-16,2.408266179069566e-11,-2.726303288443817e-27,1.332267629550188e-16,2.398081733190338e-11,0.0
1,2.559999955076275e-11,0.0,11.99999999971101,1.332267629550188e-15,12.0,-2.408240273865658e-11,-1.332267629550188e-16,2.408236573122243e-11,-2.775557610269265e-13,1.776356839400251e-16,2.406963517387339e-11,3.410605131648481e-13
1,5.119999910152551e-11,0.0,11.99999999971101,-4.440892098500626e-16,12.0,-2.408251376095905e-11,4.440892098500626e-17,2.408266179069566e-11,2.081668207701941e-13,0.0,2.389199948993337e-11,-1.70530256582424e-13
