case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,10.0,0.0,1.0,0.0,0.8713603312259095,-8.961154719754487e-08,0.0,0.0,-0.001853958151544087,1.906628663777138e-10,0.001853958151544087,-1.906628663777138e-10,0.0,0.0,0.001853958151544488,-1.90662866377755e-10
1,10.39122303835169,0.0,1.0,0.0,0.871360331225909,-9.311735737414668e-08,0.0,0.0,-0.001853958151544085,1.981220369662274e-10,0.001853958151544085,-1.981220369662274e-10,0.0,0.0,0.001853958151544487,-1.981220369662695e-10
1,10.7977516232771,0.0,1.0,0.0,0.871360331225908,-9.6760322921666e-08,0.0,0.0,-0.001853958151544085,2.058730274928628e-10,0.001853958151544085,-2.058730274928628e-10,0.0,0.0,0.001853958151544485,-2.058730274929064e-10
1,11.22018454301963,0.0,1.0,0.0,0.8713603312259072,-1.005458096741964e-07,0.0,0.0,-0.001853958151544083,2.139272546259044e-10,0.001853958151544083,-2.139272546259044e-10,0.0,0.0,0.001853958151544483,-2.139272546259498e-10
1,11.65914401179831,0.0,1.0,0.0,0.8713603312259062,-1.044793933896233e-07,0.0,0.0,-0.001853958151544083,2.222965816800022e-10,0.001853958151544083,-2.222965816800022e-10,0.0,0.0,0.001853958151544481,-2.222965816800495e-10
1,12.11527658628588,0.0,1.0,0.0,0.8713603312259053,-1.085668679623263e-07,0.0,0.0,-0.001853958151544078,2.309933360900044e-10,0.001853958151544078,-2.309933360900044e-10,0.0,0.0,0.001853958151544479,-2.30993336090056e-10
1,12.58925411794167,0.0,1.0,0.0,0.8713603312259042,-1.128142539571809e-07,0.0,0.0,-0.001853958151544074,2.40030327568418e-10,0.001853958151544074,-2.40030327568418e-10,0.0,0.0,0.001853958151544477,-2.4003032756847e-10
1,13.08177474260194,0.0,1.0,0.0,0.871360331225903,-1.172278074774314e-07,0.0,0.0,-0.001853958151544074,2.494208669732055e-10,0.001853958151544074,-2.494208669732055e-10,0.0,0.0,0.001853958151544474,-2.494208669732584e-10
1,13.59356390878525,0.0,1.0,0.0,0.8713603312259017,-1.21814029379494e-07,0.0,0.0,-0.001853958151544072,2.591787859137619e-10,0.001853958151544072,-2.591787859137619e-10,0.0,0.0,0.001853958151544472,-2.591787859138171e-10
1,14.12537544622754,0.0,1.0,0.0,0.8713603312259004,-1.265796748482647e-07,0.0,0.0,-0.001853958151544067,2.693184571239095e-10,0.001853958151544067,-2.693184571239095e-10,0.0,0.0,0.001853958151544469,-2.693184571239674e-10
