case,frequency_real,frequency_imag,v(bufferin)_real,v(bufferin)_imag,v(direct)_real,v(direct)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rl1)_real,i(rl1)_imag,i(rs2)_real,i(rs2)_imag,i(vn)_real,i(vn)_imag,i(rs1)_real,i(rs1)_imag,i(rl2)_real,i(rl2)_imag
1,10.0,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989229324,-1.101064538085321e-06,0.0,0.0,-0.00499993848929093,5.505316634863407e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.00499993848929093,5.505316634863407e-09,9.900990099009902e-05,0.0,0.009999888989229324,-1.101064538085322e-08
1,10.39122303835169,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989228355,-1.144140719486315e-06,0.0,0.0,-0.004999938489290444,5.720697304960801e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489290444,5.720697304960801e-09,9.900990099009902e-05,0.0,0.009999888989228356,-1.144140719486315e-08
1,10.7977516232771,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989227314,-1.188902140344124e-06,0.0,0.0,-0.004999938489289923,5.944504163073872e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489289923,5.944504163073872e-09,9.900990099009902e-05,0.0,0.009999888989227313,-1.188902140344124e-08
1,11.22018454301963,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989226187,-1.235414731108811e-06,0.0,0.0,-0.004999938489289361,6.17706686109039e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489289361,6.17706686109039e-09,9.900990099009902e-05,0.0,0.009999888989226187,-1.235414731108811e-08
1,11.65914401179831,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989224972,-1.283747001581537e-06,0.0,0.0,-0.004999938489288751,6.418727947639367e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489288751,6.418727947639367e-09,9.900990099009902e-05,0.0,0.009999888989224973,-1.283747001581537e-08
1,12.11527658628588,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989223658,-1.333970141824722e-06,0.0,0.0,-0.004999938489288099,6.669843372641311e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489288099,6.669843372641311e-09,9.900990099009902e-05,0.0,0.009999888989223658,-1.333970141824722e-08
1,12.58925411794167,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989222238,-1.386158127020036e-06,0.0,0.0,-0.004999938489287391,6.930783011597791e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489287391,6.930783011597791e-09,9.900990099009902e-05,0.0,0.009999888989222237,-1.386158127020036e-08
1,13.08177474260194,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989220708,-1.440387826428683e-06,0.0,0.0,-0.004999938489286627,7.201931210392041e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489286627,7.201931210392041e-09,9.900990099009902e-05,0.0,0.009999888989220707,-1.440387826428683e-08
1,13.59356390878525,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989219055,-1.496739116614457e-06,0.0,0.0,-0.004999938489285795,7.483687351403747e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489285795,7.483687351403747e-09,9.900990099009902e-05,0.0,0.009999888989219054,-1.496739116614457e-08
1,14.12537544622754,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.999988898921727,-1.555294999096354e-06,0.0,0.0,-0.0049999384892849,7.776466441771396e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.0049999384892849,7.776466441771396e-09,9.900990099009902e-05,0.0,0.00999988898921727,-1.555294999096354e-08
