case,time,v(out),v(sum),v(vn),v(in),v(vp),i(vp),i(vin),i(rf),i(rl),i(vn),i(ri)
1,0.002,0.0006020815503029235,0.0002006925121505669,-12.0,-4.898587196589413e-16,12.0,-0.001147561795172952,2.006925121510568e-08,2.006945190761783e-08,6.020815503029236e-08,0.001147481523804918,-2.006925121510568e-08
1,0.00200002,0.0003507549020570619,0.0002006927666096695,-12.0,0.0001256637058136394,12.0,-0.001147542947674216,7.502906079603095e-09,7.50310677236962e-09,3.507549020570619e-08,0.001147500372794159,-7.502906079603007e-09
1,0.00200006,-0.0001518983937202717,0.0002006932704719319,-12.0,0.0003769911095007385,12.0,-0.001147505251954544,-1.762978390288076e-08,-1.762958320961018e-08,-1.518983937202717e-08,0.001147538070050082,1.762978390288066e-08
1,0.00200014,-0.001157204903443531,0.0002006942472658693,-12.0,0.000879645829563042,12.0,-0.001147429857632588,-6.789515822971735e-08,-6.789495753547e-08,-1.157204903443531e-07,0.001147613461665495,6.789515822971729e-08
1,0.0020003,-0.003167816749294581,0.0002006960628806722,-12.0,0.001884954475928928,12.0,-0.001147279057522057,-1.684258413048239e-07,-1.684256406087627e-07,-3.167816749294581e-07,0.001147764233246776,1.684258413048255e-07
1,0.0020005,-0.00568107685041678,0.0002006980357946047,-12.0,0.003141587485880654,12.0,-0.001147090536072938,-2.940889450086047e-07,-2.940887443105692e-07,-5.68107685041678e-07,0.001147952675691709,2.940889450086049e-07
1,0.0020007000000000002,-0.008194328014655345,0.0002006996803404488,-12.0,0.004398215534835149,12.0,-0.001146901991223249,-4.197515854494703e-07,-4.197513847497897e-07,-8.194328014655346e-07,0.001148141093379211,4.1975158544947e-07
1,0.0020009000000000003,-0.01070756622650305,0.0002007010120980701,-12.0,0.00565483663840875,12.0,-0.001146713423274144,-5.454135626310692e-07,-5.45413361930056e-07,-1.070756622650305e-06,0.001148329486008928,5.45413562631068e-07
1,0.0020011000000000004,-0.01322078753369253,0.0002007020255736444,-12.0,0.006911448812226988,12.0,-0.001146524832522706,-6.71074678665335e-07,-6.710744779633088e-07,-1.322078753369253e-06,0.001148517853284868,6.710746786653344e-07
1,0.0020013000000000006,-0.01573398796168752,0.0002007027226985656,-12.0,0.008168050071918833,12.0,-0.001146336219267657,-7.967347349220248e-07,-7.967345342193041e-07,-1.573398796168752e-06,0.001148706194909711,7.967347349220267e-07
1,0.0020015000000000007,-0.01824716354384886,0.0002007031027940163,-12.0,0.009424638433146483,12.0,-0.001146147583807342,-9.223935330352476e-07,-9.22393332332144e-07,-1.824716354384886e-06,0.00114889451058681,9.223935330352467e-07
1,0.002001700000000001,-0.02076031031081745,0.0002007031660966746,-12.0,0.01068121191158539,12.0,-0.001145958926440436,-1.048050874548873e-06,-1.048050673845706e-06,-2.076031031081745e-06,0.001149082800019488,1.048050874548872e-06
1,0.002001900000000001,-0.02327342429423766,0.0002007029125220142,-12.0,0.01193776852293097,12.0,-0.001145770247465699,-1.173706561040896e-06,-1.173706360337984e-06,-2.327342429423766e-06,0.001149271062911287,1.173706561040896e-06
1,0.002002100000000001,-0.02578650152547034,0.0002007023421013356,-12.0,0.01319430628291059,12.0,-0.001145581547182059,-1.299360394080925e-06,-1.299360193378584e-06,-2.578650152547034e-06,0.001149459298965881,1.299360394080926e-06
1,0.002002300000000001,-0.02829953803605971,0.0002007014548246581,-12.0,0.01445082320728139,12.0,-0.001145392825888582,-1.425012175245673e-06,-1.425011974544218e-06,-2.829953803605971e-06,0.001149647507887107,1.425012175245674e-06
1,0.0020025000000000012,-0.03081252985756298,0.000200700250696061,-12.0,0.01570731731182809,12.0,-0.001145204083884483,-1.550661706113204e-06,-1.550661505412952e-06,-3.081252985756298e-06,0.001149835689378954,1.550661706113203e-06
1,0.0020027000000000014,-0.03332547302162606,0.000200698729717624,-12.0,0.01696378661237676,12.0,-0.001145015321469122,-1.676308788265914e-06,-1.676308587567184e-06,-3.332547302162606e-06,0.001150023843145568,1.676308788265914e-06
1,0.0020029000000000015,-0.03583836355997257,0.0002006968918916267,-12.0,0.01822022912479265,12.0,-0.001144826538942002,-1.801953223290101e-06,-1.80195302259321e-06,-3.583836355997257e-06,0.001150211968891252,1.801953223290102e-06
1,0.0020031000000000016,-0.03835119750440154,0.0002006947372198906,-12.0,0.01947664286497797,12.0,-0.001144637736602774,-1.927594812775808e-06,-1.927594612081072e-06,-3.835119750440154e-06,0.001150400066320461,1.927594812775808e-06
1,0.0020033000000000017,-0.04086397088680414,0.0002006922657073335,-12.0,0.02073302584888573,12.0,-0.001144448914751226,-2.053233358317839e-06,-2.053233157625574e-06,-4.086397088680415e-06,0.001150588135137818,2.05323335831784e-06
1,0.002003500000000002,-0.04337667973916864,0.0002006894773565436,-12.0,0.02198937609251391,12.0,-0.001144260073687298,-2.178868661515737e-06,-2.178868460826259e-06,-4.337667973916864e-06,0.001150776175048089,2.178868661515736e-06
1,0.002003700000000002,-0.045889320093592,0.0002006863721742465,-12.0,0.02324569161192109,12.0,-0.001144071213711065,-2.304500523974684e-06,-2.304500323288312e-06,-4.5889320093592e-06,0.001150964185756211,2.304500523974685e-06
1,0.002003900000000002,-0.04840188798226726,0.0002006829501610616,-12.0,0.02450197042320472,12.0,-0.001143882335122749,-2.430128747304367e-06,-2.430128546621416e-06,-4.840188798226726e-06,0.001151152166967274,2.430128747304366e-06
1,0.002004100000000002,-0.05091437943749894,0.0002006792113261775,-12.0,0.02575821054253085,12.0,-0.001143693438222714,-2.555753133120467e-06,-2.555752932441256e-06,-5.091437943749895e-06,0.001151340118386525,2.555753133120467e-06
1,0.0020043000000000023,-0.0534267904917349,0.000200675155675293,-12.0,0.02701440998613195,12.0,-0.001143504523311461,-2.681373483045665e-06,-2.68137328237051e-06,-5.34267904917349e-06,0.001151528039719374,2.681373483045666e-06
1,0.0020045000000000024,-0.05593911717752523,0.0002006707832110238,-12.0,0.02827056677028698,12.0,-0.001143315590689635,-2.806989598707595e-06,-2.806989398036813e-06,-5.593911717752524e-06,0.001151715930671392,2.806989598707596e-06
1,0.0020047000000000025,-0.058451355527562,0.0002006660939453987,-12.0,0.02952667891136004,12.0,-0.001143126640658024,-2.932601281741464e-06,-2.93260108107537e-06,-5.845135552756201e-06,0.001151903790948305,2.932601281741464e-06
