case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.002,0.0,-2.449269547421777e-17,-1.002473220165584e-05,-12.0,-4.898587196589413e-17,-2.004956465063369e-05,12.0,-0.00114752115959912,2.449317649167636e-21,1.002473220165584e-09,-1.002483244897785e-09,-2.449269547421777e-21,0.001147522161871473,-1.002473220163166e-09,-2.449317649167636e-21
1,0.0020001,0.0,3.141576738991394e-05,2.139097336840545e-05,-12.0,6.283184893750178e-05,4.27821606465446e-05,12.0,-0.00114752273004878,-3.141608154758784e-09,-2.139097336840546e-09,2.139118727813915e-09,3.141576738991394e-09,0.001147520591411865,2.13909733684051e-09,3.141608154758784e-09
1,0.0020003,0.0,9.424725256018358e-05,8.422234512156697e-05,-12.0,0.0001884954475928928,0.0001684455324665851,12.0,-0.001147525870849383,-9.424819503270919e-09,-8.422234512156697e-09,8.422318734501816e-09,9.424725256018359e-09,0.001147517450397871,8.42223451215577e-09,9.424819503270919e-09
1,0.0020007,0.0,0.0002199096771932826,0.0002098845854907049,-12.0,0.0004398215534833372,0.0004197712698272648,12.0,-0.001147532152038452,-2.199118762900546e-08,-2.098845854907049e-08,2.098866843365599e-08,2.199096771932827e-08,0.001147511168008048,2.09884585490734e-08,2.199118762900546e-08
1,0.0020015,0.0,0.0004712295655092301,0.0004612042836949602,-12.0,0.0009424638433141154,0.0009224131794327575,12.0,-0.001147544712629636,-4.712342778048854e-08,-4.612042836949602e-08,4.612088957377973e-08,4.712295655092302e-08,0.001147498601919602,4.61204283694987e-08,4.712342778048853e-08
1,0.0020025,0.0,0.0007853619387812665,0.000775336804702066,-12.0,0.001570731731181921,0.001550681362772179,12.0,-0.001147560409611849,-7.853697924006544e-08,-7.75336804702066e-08,7.753445580701132e-08,7.853619387812666e-08,0.001147482892262091,7.753368047020735e-08,7.853697924006544e-08
1,0.0020035,0.0,0.001099463307308804,0.001089438719108976,-12.0,0.00219893760925068,0.002178888332605144,12.0,-0.001147576101840723,-1.099474301941877e-07,-1.089438719108977e-07,1.089449613496167e-07,1.099463307308804e-07,0.001147467180911258,1.089438719108959e-07,1.099474301941877e-07
1,0.0020045,0.0,0.001413521270907373,0.001403497622255071,-12.0,0.002827056677027456,0.002807009279486364,12.0,-0.001147591788697666,-1.413535406120083e-07,-1.403497622255071e-07,1.403511657231293e-07,1.413521270907373e-07,0.001147451468488713,1.403497622255091e-07,1.413535406120083e-07
1,0.0020055000000000003,0.0,0.001727523431106593,0.001717501119553312,-12.0,0.003455064137447496,0.003435019414117819,12.0,-0.001147607469565097,-1.727540706340903e-07,-1.717501119553312e-07,1.717518294564508e-07,1.727523431106593e-07,0.001147435755616074,1.717501119553285e-07,1.727540706340903e-07
1,0.0020065000000000005,0.0,0.002041457391638656,0.002031436811232839,-12.0,0.00408293519785123,0.004062893936833792,12.0,-0.001147623143825684,-2.041477806212573e-07,-2.031436811232839e-07,2.031457125600952e-07,2.041457391638657e-07,0.001147420042915725,2.031436811232837e-07,2.041477806212573e-07
1,0.0020075000000000006,0.0,0.002355310758928523,0.002345292306686746,-12.0,0.004710645070964635,0.004690608066296561,12.0,-0.001147638810863063,-2.355334312036112e-07,-2.345292306686747e-07,2.345315759609814e-07,2.355310758928523e-07,0.001147404331010103,2.345292306686725e-07,2.355334312036112e-07
1,0.0020085000000000007,0.0,0.002669071142582475,0.002659055212764968,-12.0,0.005338168975876376,0.005318137016082063,12.0,-0.001147654470061249,-2.669097833293902e-07,-2.659055212764968e-07,2.659081803317096e-07,2.669071142582475e-07,0.001147388620522277,2.659055212764962e-07,2.669097833293902e-07
1,0.002009500000000001,0.0,0.002982726155877989,0.002972713144997254,-12.0,0.005965482139017537,0.005945456017125959,12.0,-0.001147670120805199,-2.982755983139548e-07,-2.972713144997254e-07,2.972742872128705e-07,2.982726155877989e-07,0.001147372912075388,2.972713144997246e-07,2.982755983139549e-07
1,0.002010500000000001,0.0,0.003296263416252025,0.003286253718635549,-12.0,0.006592559795138214,0.006572540299808285,12.0,-0.001147685762480361,-3.296296378886189e-07,-3.286253718635549e-07,3.286286581172736e-07,3.296263416252025e-07,0.001147357206293099,3.286253718635516e-07,3.296296378886189e-07
1,0.002011500000000001,0.0,0.003609670545790673,0.003599664557456655,-12.0,0.007219377188286804,0.007199365111558885,12.0,-0.001147701394473114,-3.609706642496132e-07,-3.599664557456655e-07,3.599700554102231e-07,3.609670545790673e-07,0.001147341503799154,3.599664557456653e-07,3.609706642496131e-07
1,0.0020125000000000013,0.0,0.00392293517171674,0.003912933286933905,-12.0,0.007845909572785198,0.00782590570320068,12.0,-0.001147717016170431,-3.922974401068458e-07,-3.912933286933905e-07,3.912972416266774e-07,3.92293517171674e-07,0.001147325805217714,3.912933286933895e-07,3.922974401068458e-07
1,0.0020135000000000014,0.0,0.004236044926879458,0.004226047541165351,-12.0,0.008472132214208186,0.008452137342806114,12.0,-0.001147732626960216,-4.236087287328728e-07,-4.226047541165351e-07,4.226089801640762e-07,4.236044926879459e-07,0.001147310111173014,4.226047541165335e-07,4.236087287328728e-07
1,0.0020145000000000015,0.0,0.004548987450241735,0.004538994957694589,-12.0,0.009098020390357972,0.009078035305338756,12.0,-0.001147748226231049,-4.549032940116238e-07,-4.538994957694589e-07,4.539040347644167e-07,4.548987450241735e-07,0.00114729442228962,4.538994957694612e-07,4.549032940116237e-07
1,0.0020155000000000017,0.0,0.004861750387368499,0.004851763182986232,-12.0,0.009723549392240873,0.009703574883604293,12.0,-0.001147763813372458,-4.861799004872374e-07,-4.851763182986233e-07,4.851811700618061e-07,4.861750387368499e-07,0.001147278739192154,4.851763182986225e-07,4.861799004872374e-07
1,0.002016500000000002,0.0,0.005174321390914798,0.005164339868524739,-12.0,0.01034869452504351,0.01032873138044816,12.0,-0.001147779387774724,-5.174373134128709e-07,-5.164339868524738e-07,5.164391511923425e-07,5.174321390914798e-07,0.001147263062505488,5.164339868524753e-07,5.174373134128709e-07
1,0.002017500000000002,0.0,0.005486688121112175,0.005476712675163824,-12.0,0.01097343110910556,0.0109534801174544,12.0,-0.001147794948829094,-5.486742987993388e-07,-5.476712675163824e-07,5.476767442290575e-07,5.486688121112175e-07,0.001147247392854524,5.476712675163832e-07,5.486742987993389e-07
1,0.002018500000000002,0.0,0.005798838246257512,0.005788869270215437,-12.0,0.01159773448089749,0.01157779642912358,12.0,-0.001147810495927638,-5.798896234639976e-07,-5.788869270215437e-07,5.788927158908141e-07,5.798838246257512e-07,0.001147231730864342,5.788869270215466e-07,5.798896234639976e-07
