case,frequency_real,frequency_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(x)_real,v(x)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(ri)_real,i(ri)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag,i(cf)_real,i(cf)_imag
1,1.0,0.0,-6.2954552136353e-11,6.296890406310089e-10,0.0,0.0,-2.347217807814074e-11,6.283814996367697e-06,1.0,0.0,-7.9590400132261e-09,-0.0006283179009310845,0.0,0.0,1.970131140311656e-14,3.138444527261804e-09,-3.948237405821226e-14,-6.283185307327066e-09,3.948237405821226e-14,6.283185307327065e-09,-7.896085461089748e-14,-6.283185306201252e-09,1.970131140311656e-14,3.138444527261804e-09,3.948237405821226e-14,6.283185307327066e-09,3.947841759821037e-14,-4.961256815335345e-19
1,1.039122303835169,0.0,-6.7976761751991e-11,6.543239927080069e-10,0.0,0.0,-2.534467489369006e-11,6.529652315977921e-06,1.0,0.0,-8.59397372228875e-09,-0.00065289914475343,0.0,0.0,2.127298671865928e-14,3.261227707625608e-09,-4.263208685830094e-14,-6.528997991985212e-09,4.263208685830094e-14,6.528997991985213e-09,-8.525996960536759e-14,-6.528997990774227e-09,2.127298671865928e-14,3.261227707625608e-09,4.263208685830094e-14,6.528997991985212e-09,4.262781477036002e-14,-5.566621703360567e-19
1,1.07977516232771,0.0,-7.339961895490925e-11,6.799227289314923e-10,0.0,0.0,-2.736655044652206e-11,6.785107357909515e-06,1.0,0.0,-9.279559371086717e-09,-0.0006784420634648787,0.0,0.0,2.297004268777611e-14,3.388814448893159e-09,-4.603306850838719e-14,-6.784427435180584e-09,4.603306850838719e-14,6.784427435180584e-09,-9.206159752131807e-14,-6.784427433876076e-09,2.297004268777611e-14,3.388814448893159e-09,4.603306850838719e-14,6.784427435180584e-09,4.602845561312102e-14,-6.245852279330905e-19
1,1.122018454301963,0.0,-7.925508547141074e-11,7.065229557419206e-10,0.0,0.0,-2.954972144962916e-11,7.050556389618509e-06,1.0,0.0,-1.001983772626835e-08,-0.000704984280002589,0.0,0.0,2.480248157217253e-14,3.521392677412678e-09,-4.970536402178158e-14,-7.049849866662767e-09,4.970536402178158e-14,7.049849866662767e-09,-9.940582640796941e-14,-7.049849865255448e-09,2.480248157217253e-14,3.521392677412678e-09,4.970536402178158e-14,7.049849866662767e-09,4.970038313109501e-14,-7.007961520270169e-19
1,1.165914401179831,0.0,-8.557767277970116e-11,7.341638548626644e-10,0.0,0.0,-3.190705527371346e-11,7.326390399010808e-06,1.0,0.0,-1.081917190743594e-08,-0.0007325648891996924,0.0,0.0,2.678110356600834e-14,3.659157671669949e-09,-5.36706175059877e-14,-7.325656235155944e-09,5.36706175059877e-14,7.325656235155945e-09,-1.073359423465624e-13,-7.325656233635473e-09,2.678110356600834e-14,3.659157671669949e-09,5.36706175059877e-14,7.325656235155945e-09,5.36652392628284e-14,-7.86306215282345e-19
1,1.211527658628588,0.0,-9.240464551676061e-11,7.628861410311318e-10,0.0,0.0,-3.445244578605928e-11,7.613015670340122e-06,1.0,0.0,-1.168227310264897e-08,-0.0007612245153692542,0.0,0.0,2.891757045085949e-14,3.802312349886497e-09,-5.795219973070132e-14,-7.612252784199092e-09,5.795219973070133e-14,7.61225278419909e-09,-1.158986845713221e-13,-7.612252782553952e-09,2.891757045085949e-14,3.802312349886497e-09,5.795219973070132e-14,7.612252784199092e-09,5.79463924360272e-14,-8.822500842826632e-19
1,1.258925411794167,0.0,-9.977624111203152e-11,7.927321219902522e-10,0.0,0.0,-3.72008952394638e-11,7.91085438263637e-06,1.0,0.0,-1.261422833584788e-08,-0.0007910053721410527,0.0,0.0,3.122447432826852e-14,3.951067568927353e-09,-6.25753458725677e-14,-7.91006165051438e-09,6.257534587256771e-14,7.910061650514379e-09,-1.251445209473585e-13,-7.910061648731748e-09,3.122447432826852e-14,3.951067568927353e-09,6.25753458725677e-14,7.91006165051438e-09,6.256907529850993e-14,-9.899008758808687e-19
1,1.308177474260194,0.0,-1.077359069424194e-10,8.237457608289666e-10,0.0,0.0,-4.016860269387031e-11,8.220345231545946e-06,1.0,0.0,-1.362053044905521e-08,-0.0008219513246393076,0.0,0.0,3.371541183695881e-14,4.105642434843659e-09,-6.756730424854906e-14,-8.21952148578512e-09,6.756730424854907e-14,8.219521485785118e-09,-1.351279454211279e-13,-8.219521483850685e-09,3.371541183695881e-14,4.105642434843659e-09,6.756730424854906e-14,8.219521485785118e-09,6.756053343666926e-14,-1.110687050674345e-18
1,1.359356390878525,0.0,-1.163305564063724e-10,8.559727407638795e-10,0.0,0.0,-4.337305949185179e-11,8.541944075499837e-06,1.0,0.0,-1.470711047670997e-08,-0.0008541079540929481,0.0,0.0,3.640506428996432e-14,4.266264625632876e-09,-7.295749691452061e-14,-8.541088102759073e-09,7.295749691452061e-14,8.541088102759074e-09,-1.459077992030359e-13,-8.541088100656889e-09,3.640506428996432e-14,4.266264625632876e-09,7.295749691452061e-14,8.541088102759073e-09,7.295018595797355e-14,-1.246211367818758e-18
1,1.412537544622754,0.0,-1.256108454263125e-10,8.894605324578405e-10,0.0,0.0,-4.683315235066632e-11,8.87612460716133e-06,1.0,0.0,-1.588037260244827e-08,-0.0008875226249735814,0.0,0.0,3.930928420389063e-14,4.433170726568971e-09,-7.877769307564622e-14,-8.875235146628871e-09,7.877769307564622e-14,8.875235146628873e-09,-1.575476175702195e-13,-8.87523514434114e-09,3.930928420389063e-14,4.433170726568971e-09,7.877769307564622e-14,8.875235146628871e-09,7.876979888396319e-14,-1.398272152661371e-18
