case,frequency_real,frequency_imag,v(fb)_real,v(fb)_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(rg)_real,i(rg)_imag
1,10.0,0.0,0.9999979855231558,-2.013865858995491e-05,1.999996971044297,-4.02773373185684e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884234120205,1.006912652382862e-08,-1e-09,0.0,0.0009999989855211412,-2.013867872861349e-08,-0.0004999884234120205,1.006912652382862e-08,0.0009999979855231558,-2.013865858995491e-08
1,10.39122303835169,0.0,0.9999979854908038,-2.092652930946689e-05,1.999996970979593,-4.185307954546309e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988423395839,1.046305395071006e-08,-1e-09,0.0,0.0009999989854887893,-2.092655023599621e-08,-0.000499988423395839,1.046305395071006e-08,0.0009999979854908038,-2.092652930946689e-08
1,10.7977516232771,0.0,0.9999979854558706,-2.174522334656785e-05,1.999996970909727,-4.349046843835904e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988423378353,1.087239272603428e-08,-1e-09,0.0,0.0009999989854538565,-2.174524509179119e-08,-0.000499988423378353,1.087239272603428e-08,0.0009999979854558706,-2.174522334656785e-08
1,11.22018454301963,0.0,0.9999979854181509,-2.259594658044362e-05,1.999996970834287,-4.519191575683383e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988423359507,1.129774577725096e-08,-1e-09,0.0,0.0009999989854161365,-2.259596917639021e-08,-0.000499988423359507,1.129774577725096e-08,0.0009999979854181508,-2.259594658044362e-08
1,11.65914401179831,0.0,0.9999979853774219,-2.347995206705073e-05,1.999996970752829,-4.695992761405353e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884233391483,1.173973961972242e-08,-1e-09,0.0,0.0009999989853754071,-2.34799755470028e-08,-0.0004999884233391483,1.173973961972242e-08,0.0009999979853774219,-2.347995206705073e-08
1,12.11527658628588,0.0,0.9999979853334438,-2.439854188478016e-05,1.999996970664873,-4.879710816810221e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988423317152,1.219902527953466e-08,-1e-09,0.0,0.000999998985331429,-2.439856628332205e-08,-0.000499988423317152,1.219902527953466e-08,0.0009999979853334438,-2.439854188478016e-08
1,12.58925411794167,0.0,0.9999979852859572,-2.535306905232777e-05,1.9999969705699,-5.07061634577246e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884232934348,1.267627925241151e-08,-1e-09,0.0,0.0009999989852839427,-2.535309440539683e-08,-0.0004999884232934348,1.267627925241151e-08,0.0009999979852859573,-2.535306905232777e-08
1,13.08177474260194,0.0,0.9999979852346826,-2.634493952159621e-05,1.999996970467351,-5.268990538813196e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884232677748,1.317220450014893e-08,-1e-09,0.0,0.0009999989852326682,-2.634496586653574e-08,-0.0004999884232677748,1.317220450014893e-08,0.0009999979852346828,-2.634493952159621e-08
1,13.59356390878525,0.0,0.9999979851793176,-2.737561424856369e-05,1.999996970356621,-5.475125587274163e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884232400748,1.36875314860247e-08,-1e-09,0.0,0.0009999989851773034,-2.737564162417794e-08,-0.0004999884232400748,1.36875314860247e-08,0.0009999979851793175,-2.737561424856369e-08
1,14.12537544622754,0.0,0.9999979851195356,-2.844661134516989e-05,1.999996970237057,-5.689325113695114e-05,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884232101959,1.422301925072469e-08,-1e-09,0.0,0.0009999989851175212,-2.844663979178125e-08,-0.0004999884232101959,1.422301925072469e-08,0.0009999979851195357,-2.844661134516989e-08
