case,frequency_real,frequency_imag,v(inv)_real,v(inv)_imag,v(noninv)_real,v(noninv)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(rg)_real,i(rg)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag,i(rf2)_real,i(rf2)_imag
1,10.0,0.0,-0.9999979938441219,2.00594724372491e-06,2.000005989650317,-4.009932619010443e-06,1.003072923611015e-06,1.00296860701942e-06,0.0,0.0,0.9999979948351843,-2.004956284723798e-06,1.0,0.0,0.0,0.0,5.560053036035573e-09,5.008934536394216e-11,-0.0001000008996927076,1.00296860701942e-10,-9.999989969170456e-05,1.002978636705491e-10,9.999979948351843e-05,-2.004956284723798e-10,5.560053036035573e-09,5.008934536394216e-11,9.999989969270764e-05,-1.00296860701942e-10,0.0001000007994815133,-2.004976334286646e-10
1,10.39122303835169,0.0,-0.9999979938438013,2.084424521270569e-06,2.000005989649676,-4.166810421288591e-06,1.003073084038242e-06,1.042207049600036e-06,0.0,0.0,0.9999979948348635,-2.083394793670327e-06,1.0,0.0,0.0,0.0,5.56005304991336e-09,5.204895595218088e-11,-0.0001000008996926916,1.042207049600036e-10,-9.999989969168854e-05,1.042217471670533e-10,9.999979948348636e-05,-2.083394793670327e-10,5.56005304991336e-09,5.204895595218088e-11,9.99998996926916e-05,-1.042207049600036e-10,0.0001000007994814812,-2.083415627618265e-10
1,10.7977516232771,0.0,-0.999997993843455,2.165972010712444e-06,2.000005989648984,-4.329825644612297e-06,1.003073257122011e-06,1.08298059045327e-06,0.0,0.0,0.9999979948345176,-2.164901997796159e-06,1.0,0.0,0.0,0.0,5.56005304991336e-09,5.408523102114145e-11,-0.0001000008996926743,1.08298059045327e-10,-9.999989969167122e-05,1.082991420259174e-10,9.999979948345176e-05,-2.164901997796159e-10,5.56005304991336e-09,5.408523102114145e-11,9.999989969267429e-05,-1.08298059045327e-10,0.0001000007994814467,-2.164923646816139e-10
1,11.22018454301963,0.0,-0.9999979938430812,2.250709825813168e-06,2.000005989648237,-4.499218399032444e-06,1.003073444083569e-06,1.125349286160153e-06,0.0,0.0,0.999997994834144,-2.249597951526464e-06,1.0,0.0,0.0,0.0,5.560053042974467e-09,5.620116986214613e-11,-0.0001000008996926556,1.125349286160153e-10,-9.999989969165253e-05,1.125360539653015e-10,9.99997994834144e-05,-2.249597951526464e-10,5.560053042974467e-09,5.620116986214613e-11,9.99998996926556e-05,-1.125349286160153e-10,0.0001000007994814093,-2.24962044750598e-10
1,11.65914401179831,0.0,-0.9999979938426776,2.338762779462488e-06,2.00000598964743,-4.67523818825829e-06,1.003073645811092e-06,1.169375542853529e-06,0.0,0.0,0.9999979948337406,-2.337607406092114e-06,1.0,0.0,0.0,0.0,5.560053070730042e-09,5.839988910539574e-11,-0.0001000008996926354,1.169375542853529e-10,-9.999989969163235e-05,1.169387236608959e-10,9.999979948337406e-05,-2.337607406092114e-10,5.560053070730042e-09,5.839988910539574e-11,9.999989969263542e-05,-1.169375542853529e-10,0.0001000007994813689,-2.337630782166176e-10
1,12.11527658628588,0.0,-0.9999979938422419,2.430260567517945e-06,2.000005989646558,-4.858144277159e-06,1.00307386363685e-06,1.215124208137932e-06,0.0,0.0,0.9999979948333048,-2.429059993279534e-06,1.0,0.0,0.0,0.0,5.560053077668936e-09,6.068462731094128e-11,-0.0001000008996926136,1.215124208137932e-10,-9.999989969161055e-05,1.215136359380013e-10,9.999979948333048e-05,-2.429059993279534e-10,5.560053077668936e-09,6.068462731094128e-11,9.999989969261364e-05,-1.215124208137932e-10,0.0001000007994813254,-2.429084283879467e-10
1,12.58925411794167,0.0,-0.9999979938417712,2.525337959837827e-06,2.000005989645618,-5.048206073642731e-06,1.003074099004131e-06,1.26266266660558e-06,0.0,0.0,0.9999979948328345,-2.524090416369284e-06,1.0,0.0,0.0,0.0,5.56005308460783e-09,6.305874973868372e-11,-0.0001000008996925901,1.262662666605581e-10,-9.999989969158703e-05,1.262675293232247e-10,9.999979948328345e-05,-2.524090416369284e-10,5.56005308460783e-09,6.305874973868372e-11,9.99998996925901e-05,-1.262662666605581e-10,0.0001000007994812783,-2.524115657273447e-10
1,13.08177474260194,0.0,-0.9999979938412632,2.624134998787756e-06,2.000005989644602,-5.245703525475665e-06,1.003074353023159e-06,1.312060939089182e-06,0.0,0.0,0.9999979948323265,-2.62283864854459e-06,1.0,0.0,0.0,0.0,5.560053098485618e-09,6.552575330535641e-11,-0.0001000008996925647,1.312060939089182e-10,-9.999989969156162e-05,1.312074059698574e-10,9.999979948323266e-05,-2.62283864854459e-10,5.560053098485618e-09,6.552575330535641e-11,9.99998996925647e-05,-1.312060939089182e-10,0.0001000007994812275,-2.622864876931076e-10
1,13.59356390878525,0.0,-0.9999979938407142,2.726797205513337e-06,2.000005989643505,-5.450927532625554e-06,1.003074627581313e-06,1.36339178579774e-06,0.0,0.0,0.999997994831778,-2.725450139062082e-06,1.0,0.0,0.0,0.0,5.5600531193023e-09,6.808927173516041e-11,-0.0001000008996925372,1.36339178579774e-10,-9.999989969153418e-05,1.363405419715598e-10,9.99997994831778e-05,-2.725450139062082e-10,5.5600531193023e-09,6.808927173516041e-11,9.999989969253724e-05,-1.36339178579774e-10,0.0001000007994811727,-2.725477393563473e-10
1,14.12537544622754,0.0,-0.9999979938401217,2.833475794282643e-06,2.00000598964232,-5.664180375737066e-06,1.003074923677794e-06,1.416730813487254e-06,0.0,0.0,0.9999979948311858,-2.832076027488396e-06,1.0,0.0,0.0,0.0,5.560053112363406e-09,7.075308091187445e-11,-0.0001000008996925076,1.416730813487254e-10,-9.999989969150454e-05,1.416744980795389e-10,9.999979948311859e-05,-2.832076027488396e-10,5.560053112363406e-09,7.075308091187445e-11,9.999989969250763e-05,-1.416730813487254e-10,0.0001000007994811134,-2.832104348248671e-10
