case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(cf)_real,i(cf)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag
1,1.0,0.0,-99.59664078940874,6.258222347690987,0.000100432040738777,3.708248781679047e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949600340479262e-05,3.116770771477071e-08,-9.998995679592613e-05,3.708248781679047e-10,-3.932154740446068e-07,-6.257847810855788e-06,-9.959674122144947e-05,6.258218639442205e-06,4.949600340479262e-05,3.116770771477071e-08,9.998995679592613e-05,-3.708248781679047e-10
1,1.039122303835169,0.0,-99.56540325828219,6.501018805211261,0.0001004505498191734,3.852115488115571e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949615897635751e-05,3.23769023645044e-08,-9.998995494501809e-05,3.852115488115571e-10,-4.244511357355238e-07,-6.500629737694847e-06,-9.956550370883201e-05,6.501014953095773e-06,4.949615897635751e-05,3.23769023645044e-08,9.998995494501809e-05,-3.852115488115571e-10
1,1.07977516232771,0.0,-99.53169574236664,6.753066640677248,0.0001004705224322304,4.001464012915477e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949632685008243e-05,3.363217143903439e-08,-9.998995294775678e-05,4.001464012915477e-10,-4.581566343971746e-07,-6.752662488810478e-06,-9.953179621288906e-05,6.753062639213235e-06,4.949632685008243e-05,3.363217143903439e-08,9.998995294775678e-05,-4.001464012915477e-10
1,1.122018454301963,0.0,-99.49532482131414,7.014697918343541,0.0001004920731847252,4.156491118089677e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949650798697647e-05,3.493516889321e-08,-9.998995079268153e-05,4.156491118089677e-10,-4.945253788021413e-07,-7.01427810858412e-06,-9.949542531338733e-05,7.014693761852422e-06,4.949650798697647e-05,3.493516889321e-08,9.998995079268153e-05,-4.156491118089677e-10
1,1.165914401179831,0.0,-99.4560822390517,7.28625411459247,0.0001005153254740023,4.31739914278355e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949670342443211e-05,3.628759508920578e-08,-9.99899484674526e-05,4.31739914278355e-10,-5.337656125600993e-07,-7.285818052961651e-06,-9.945618275437716e-05,7.286249797193327e-06,4.949670342443211e-05,3.628759508920578e-08,9.998994846745262e-05,-4.31739914278355e-10
1,1.211527658628588,0.0,-99.41374381716074,7.568086063205421,0.0001005404121318263,4.484395970856284e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949691428244238e-05,3.769119751816641e-08,-9.998994595878683e-05,4.484395970856284e-10,-5.761015006735328e-07,-7.567633134727969e-06,-9.941384435757287e-05,7.56808157880945e-06,4.949691428244238e-05,3.769119751816641e-08,9.998994595878683e-05,-4.484395970856284e-10
1,1.258925411794167,0.0,-99.36806829720868,7.860553849740895,0.0001005674761103309,4.657694968305003e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949714175916005e-05,3.914776941242796e-08,-9.998994325238898e-05,4.657694968305003e-10,-6.217742871367122e-07,-7.8600834178914e-06,-9.936816886468478e-05,7.860549192045926e-06,4.949714175916005e-05,3.914776941242796e-08,9.998994325238898e-05,-4.657694968305003e-10
1,1.308177474260194,0.0,-99.31879610884816,8.164026647667994,0.0001005966712119533,4.837514886177602e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949738714954933e-05,4.065914913489513e-08,-9.99899403328788e-05,4.837514886177602e-10,-6.71043526762763e-07,-8.163538053826975e-06,-9.931889670551937e-05,8.164021810153107e-06,4.949738714954933e-05,4.065914913489513e-08,9.99899403328788e-05,-4.837514886177602e-10
1,1.359356390878525,0.0,-99.2656480606285,8.478882488081565,0.0001006281628651646,5.024079724131336e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949765184094501e-05,4.222722001250773e-08,-9.998993718371348e-05,5.024079724131337e-10,-7.24188394293971e-07,-8.478375051005346e-06,-9.926574868879136e-05,8.47887746400184e-06,4.949765184094501e-05,4.222722001250773e-08,9.99899371837135e-05,-5.024079724131337e-10
1,1.412537544622754,0.0,-99.2083239506603,8.80550795392981,0.0001006621289476875,5.217618549263287e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949793733170415e-05,4.38539065059712e-08,-9.998993378710524e-05,5.217618549263287e-10,-7.815090736538635e-07,-8.804980969238714e-06,-9.920842461278924e-05,8.805502736311261e-06,4.949793733170415e-05,4.38539065059712e-08,9.998993378710524e-05,-5.217618549263287e-10
