case,time,v(out),v(vn),v(in),v(vp),i(vp),i(vin),i(rl),i(vn)
1,8e-05,-0.1553113843238662,-12.0,-9.797174393178826e-15,12.0,-0.001139677383309588,9.926167350636332e-24,-1.553113843238662e-05,0.001155206964030587
1,8.000200000000001e-05,-0.1551119694732172,-12.0,0.006283183653547625,12.0,-0.001139687549090425,-6.283183653547375e-12,-1.551119694732172e-05,0.001155197196609738
1,8.0006e-05,-0.1547131165629586,-12.0,0.01884951127251754,12.0,-0.00113970788891877,-1.884951127251716e-11,-1.547131165629586e-05,0.001155177667713765
1,8.001400000000001e-05,-0.1539154103530137,-12.0,0.04398172994428785,12.0,-0.001139748565707033,-4.398172994428746e-11,-1.539154103530137e-05,0.001155138607014035
1,8.003e-05,-0.1523199997974021,-12.0,0.09424219857704297,12.0,-0.00113982990648552,-9.424219857704271e-11,-1.523199997974021e-05,0.001155060472998977
1,8.005000000000001e-05,-0.1503257383234695,-12.0,0.1570537953906397,12.0,-0.001139931559149114,-1.570537953906394e-10,-1.503257383234695e-05,0.00115496278232868
1,8.007000000000001e-05,-0.1483314797691188,-12.0,0.2198405915893543,12.0,-0.001140033185534761,-2.198405915893542e-10,-1.483314797691188e-05,0.00115486506564757
1,8.009000000000001e-05,-0.1463372232432885,-12.0,0.2825926724101839,12.0,-0.001140134785982678,-2.825926724101839e-10,-1.463372232432885e-05,0.00115476732319684
1,8.011000000000002e-05,-0.1443429696344027,-12.0,0.3453001285720509,12.0,-0.001140236360168214,-3.453001285720513e-10,-1.443429696344027e-05,0.001154669554730776
1,8.013000000000002e-05,-0.1423487180584234,-12.0,0.4079530578408412,12.0,-0.001140337908421132,-4.079530578408411e-10,-1.423487180584234e-05,0.001154571760480835
1,8.015000000000002e-05,-0.1403544693967791,-12.0,0.470541566592621,12.0,-0.001140439430427138,-4.70541566592621e-10,-1.403544693967791e-05,0.001154473940210966
1,8.017000000000003e-05,-0.1383602227723995,-12.0,0.5330557713763804,12.0,-0.001140540926505688,-5.330557713763803e-10,-1.383602227723995e-05,0.001154376094143036
1,8.019000000000003e-05,-0.1363659790597729,-12.0,0.5954858004744608,12.0,-0.001140642396352694,-5.954858004744608e-10,-1.363659790597729e-05,0.001154278222050543
1,8.021000000000003e-05,-0.1343717373887417,-12.0,0.6578217954614853,12.0,-0.001140743840277447,-6.578217954614852e-10,-1.343717373887417e-05,0.001154180324145891
1,8.023000000000004e-05,-0.1323774986269086,-12.0,0.7200539127613648,12.0,-0.001140845257985922,-7.200539127613651e-10,-1.323774986269086e-05,0.001154082400211983
1,8.025000000000004e-05,-0.1303832619109744,-12.0,0.7821723252012542,12.0,-0.001140946649777376,-7.821723252012546e-10,-1.303832619109744e-05,0.001153984450451915
1,8.027000000000004e-05,-0.1283890281017107,-12.0,0.8441672235638003,12.0,-0.001141048015367714,-8.441672235638002e-10,-1.283890281017107e-05,0.001153886474657854
1,8.029000000000005e-05,-0.1263947963426222,-12.0,0.9060288181358485,12.0,-0.00114114935504629,-9.060288181358481e-10,-1.263947963426222e-05,0.001153788473023721
1,8.031000000000005e-05,-0.1244005674877033,-12.0,0.967747340254424,12.0,-0.001141250668538792,-9.67747340254424e-10,-1.244005674877033e-05,0.001153690445350832
1,8.033000000000005e-05,-0.1224063406872091,-12.0,1.02931304384956,12.0,-0.001141351956124811,-1.02931304384956e-09,-1.224063406872091e-05,0.001153592391824063
1,8.035000000000006e-05,-0.1204121167884104,-12.0,1.090716206982862,12.0,-0.00114145321753968,-1.090716206982862e-09,-1.204121167884104e-05,0.001153494312253744
1,8.037000000000006e-05,-0.1184178949482589,-12.0,1.151947133383132,12.0,-0.001141554453053358,-1.151947133383132e-09,-1.184178949482589e-05,0.001153396206815841
1,8.039000000000006e-05,-0.1164236760073553,-12.0,1.212996153977246,12.0,-0.001141655662410682,-1.212996153977247e-09,-1.164236760073553e-05,0.001153298075329574
1,8.041000000000007e-05,-0.1144294591292954,-12.0,1.273853628417081,12.0,-0.001141756845872115,-1.273853628417082e-09,-1.144294591292954e-05,0.001153199917962129
1,8.043000000000007e-05,-0.1124352451480617,-12.0,1.334509946602044,12.0,-0.001141858003191857,-1.334509946602044e-09,-1.124352451480617e-05,0.001153101734541495
1,8.045000000000007e-05,-0.1104410332338419,-12.0,1.394955530196342,12.0,-0.001141959134621004,-1.394955530196343e-09,-1.104410332338419e-05,0.00115300352522621
1,8.047000000000007e-05,-0.1084468242140528,-12.0,1.455180834141585,12.0,-0.001142060239922994,-1.455180834141585e-09,-1.084468242140528e-05,0.001152905289852901
1,8.049000000000008e-05,-0.1064526172654216,-12.0,1.515176348164125,12.0,-0.001142161319339674,-1.515176348164125e-09,-1.064526172654216e-05,0.001152807028571591
1,8.051000000000008e-05,-0.1044584132088514,-12.0,1.57493259827674,12.0,-0.001142262372643582,-1.57493259827674e-09,-1.044584132088514e-05,0.001152708741227421
