case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.002,-0.5,1.955793970023767e-05,-12.0,-9.797174393178826e-17,0.5000586740146803,12.0,-0.001171703691261454,1.955793970030789e-09,-1.955793970033564e-09,-5.000195579397002e-05,0.001121704795136378,5.000195579397002e-05,5.000391160749801e-05
1,0.0020001,-0.5,1.955806254616554e-05,-12.0,0.0001256636978750036,0.4999330106853441,12.0,-0.001171697819630856,-1.061056353288103e-08,1.06105635328838e-08,-5.000195580625462e-05,0.001121711488590641,5.000195580625462e-05,4.99913452622798e-05
1,0.0020003,-0.5,1.955829100508399e-05,-12.0,0.0003769908951857855,0.4996816841734123,12.0,-0.001171686076067185,-3.574326041807293e-08,3.574326041807015e-08,-5.000195582910051e-05,0.001121724875180245,5.000195582910051e-05,4.996621258824072e-05
1,0.0020007,-0.5,1.955866422539976e-05,-12.0,0.0008796431069666745,0.4991790330812962,12.0,-0.001171662587793481,-8.600844427412748e-08,8.600844427412748e-08,-5.000195586642254e-05,0.001121751647011601,5.000195586642254e-05,4.991594744170709e-05
1,0.0020015,-0.5,1.955905354422693e-05,-12.0,0.001884927686628231,0.498173749669595,12.0,-0.001171615607178204,-1.865368633084004e-07,1.865368633084004e-07,-5.000195590535442e-05,0.001121805184693622,5.000195590535442e-05,4.981541906160508e-05
1,0.0020025,-0.5,1.955877208184575e-05,-12.0,0.003141463462363842,0.4969172130494695,12.0,-0.001171556875304382,-3.121904690282024e-07,3.121904690281996e-07,-5.000195587720818e-05,0.001121872093850854,5.000195587720818e-05,4.968976542773877e-05
1,0.0020035,-0.5,1.955769002351393e-05,-12.0,0.004397875218501361,0.4956607980471461,12.0,-0.001171498138818595,-4.378317528477847e-07,4.378317528477847e-07,-5.000195576900235e-05,0.001121938986155525,5.000195576900235e-05,4.956412403571227e-05
1,0.0020045,-0.5,1.955582320317673e-05,-12.0,0.005654113354054912,0.4944045543111127,12.0,-0.001171439400044799,-5.634557530851708e-07,5.634557530851735e-07,-5.000195558232033e-05,0.00112200585896878,5.000195558232032e-05,4.943849984879096e-05
1,0.0020055000000000003,-0.5,1.955315866217222e-05,-12.0,0.006910128274894992,0.4931485313966232,12.0,-0.001171380661305666,-6.890575116232765e-07,6.89057511623282e-07,-5.000195531586622e-05,0.001122072709656977,5.000195531586623e-05,4.931289782379611e-05
1,0.0020065000000000005,-0.5,1.954970726153471e-05,-12.0,0.008165870395702459,0.4918927789215792,12.0,-0.001171321924927207,-8.146320688440897e-07,8.146320688440924e-07,-5.000195497072615e-05,0.001122139535585927,5.000195497072616e-05,4.918732292143177e-05
