case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,0.0,4.307451987372681,0.0,5.0,-0.008741327073937155,-0.004250774990432671,-2.833850062875767e-05,0.004433875086564676,0.004307451987372681,-0.004433875086564672,-2.83384963113137e-05
1,0.025,4.30745198737283,0.025,5.0,-0.008740264380138862,-0.004250774990407977,-2.833850062860079e-05,0.004432812392766494,0.004307451987372831,-0.004432812392766338,-2.833849633614291e-05
1,0.05,4.307451987372979,0.05,5.0,-0.008739201686341014,-0.004250774990383599,-2.833850062844564e-05,0.004431749698968424,0.00430745198737298,-0.004431749698968319,-2.83384963610016e-05
1,0.07500000000000001,4.307451987373128,0.07500000000000001,5.0,-0.008738138992543387,-0.004250774990359239,-2.833850062826241e-05,0.004430687005170353,0.004307451987373128,-0.004430687005170334,-2.833849638583233e-05
1,0.1,4.307451987373277,0.1,5.0,-0.008737076298745539,-0.004250774990334559,-2.833850062811919e-05,0.004429624311371949,0.004307451987373277,-0.004429624311372022,-2.833849641066131e-05
1,0.125,4.307451987373426,0.125,5.0,-0.008736013604947468,-0.004250774990310168,-2.833850062795027e-05,0.004428561617573989,0.004307451987373426,-0.00442856161757404,-2.833849643549236e-05
1,0.15,4.307451987373576,0.15,5.0,-0.008734950911149397,-0.004250774990285663,-2.833850062778406e-05,0.004427498923775919,0.004307451987373576,-0.004427498923775935,-2.833849646032623e-05
1,0.175,4.307451987373725,0.175,5.0,-0.008733888217350882,-0.004250774990260859,-2.833850062759834e-05,0.004426436229977515,0.004307451987373726,-0.004426436229977537,-2.833849648516823e-05
1,0.2,4.307451987373875,0.2,5.0,-0.008732825523553478,-0.004250774990236483,-2.83385006274434e-05,0.004425373536179666,0.004307451987373875,-0.004425373536179592,-2.833849650998551e-05
1,0.225,4.307451987374024,0.225,5.0,-0.00873176282975563,-0.004250774990211926,-2.833850062730137e-05,0.004424310842381596,0.004307451987374024,-0.004424310842381506,-2.833849653484345e-05
1,0.25,4.307451987374173,0.25,5.0,-0.00873070013595778,-0.004250774990187411,-2.833850062713159e-05,0.004423248148583525,0.004307451987374173,-0.004423248148583447,-2.833849655965986e-05
1,0.275,4.307451987374321,0.275,5.0,-0.00872963744215971,-0.004250774990162912,-2.833850062696072e-05,0.004422185454785454,0.004307451987374322,-0.004422185454785409,-2.833849658451671e-05
1,0.3,4.307451987374473,0.3,5.0,-0.00872857474836164,-0.004250774990138376,-2.833850062679592e-05,0.004421122760987273,0.004307451987374473,-0.004421122760987349,-2.833849660935188e-05
1,0.325,4.307451987374619,0.325,5.0,-0.00872751205456379,-0.004250774990113706,-2.833850062664716e-05,0.004420060067189202,0.004307451987374619,-0.004420060067189153,-2.833849663418932e-05
1,0.35,4.307451987374771,0.35,5.0,-0.008726449360765942,-0.00425077499008917,-2.833850062648237e-05,0.004418997373391131,0.004307451987374771,-0.004418997373391131,-2.833849665903837e-05
1,0.375,4.307451987374918,0.375,5.0,-0.008725386666968316,-0.00425077499006481,-2.833850062631182e-05,0.004417934679593394,0.004307451987374918,-0.004417934679593288,-2.833849668386779e-05
