case,frequency_real,frequency_imag,v(low)_real,v(low)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rhp)_real,i(rhp)_imag,i(rlp)_real,i(rlp)_imag,i(chp)_real,i(chp)_imag
1,1.0,0.0,0.9999999960521582,-6.283185282374563e-05,3.947841744850288e-09,6.283185282374565e-05,1.0,0.0,-7.895683581274448e-12,-1.256637056474913e-07,3.947841744850287e-12,6.283185282374564e-08,3.947841744850288e-12,6.283185282374565e-08,3.947841831219989e-12,6.283185282374564e-08,3.947841744850288e-12,6.283185282374565e-08
1,1.039122303835169,0.0,0.9999999957372184,-6.528997963988044e-05,4.262781459547308e-09,6.528997963988044e-05,1.0,0.0,-8.525562993556361e-12,-1.305799592797609e-07,4.262781459547309e-12,6.528997963988044e-08,4.262781459547309e-12,6.528997963988044e-08,4.262781572172969e-12,6.528997963988044e-08,4.262781459547309e-12,6.528997963988044e-08
1,1.07977516232771,0.0,0.9999999953971543,-6.784427403767246e-05,4.602845540884985e-09,6.784427403767246e-05,1.0,0.0,-9.205691206262372e-12,-1.356885480753449e-07,4.602845540884985e-12,6.784427403767246e-08,4.602845540884985e-12,6.784427403767246e-08,4.602845660173216e-12,6.784427403767246e-08,4.602845540884985e-12,6.784427403767246e-08
1,1.122018454301963,0.0,0.9999999950299617,-7.049849831416423e-05,4.970038289253497e-09,7.049849831416423e-05,1.0,0.0,-9.940076559078279e-12,-1.409969966283284e-07,4.970038289253496e-12,7.049849831416422e-08,4.970038289253497e-12,7.049849831416422e-08,4.970038269824784e-12,7.049849831416422e-08,4.970038289253496e-12,7.049849831416422e-08
1,1.165914401179831,0.0,0.9999999946334762,-7.325656195608894e-05,5.366523898425876e-09,7.325656195608894e-05,1.0,0.0,-1.073304774699427e-11,-1.465131239121779e-07,5.366523898425876e-12,7.325656195608894e-08,5.366523898425876e-12,7.325656195608894e-08,5.366523780914179e-12,7.325656195608894e-08,5.366523898425876e-12,7.325656195608893e-08
1,1.211527658628588,0.0,0.9999999942053608,-7.612252739826573e-05,5.794639211077559e-09,7.612252739826573e-05,1.0,0.0,-1.158927850204835e-11,-1.522450547965315e-07,5.79463921107756e-12,7.612252739826572e-08,5.794639211077559e-12,7.612252739826572e-08,5.794639212908237e-12,7.612252739826572e-08,5.79463921107756e-12,7.612252739826572e-08
1,1.258925411794167,0.0,0.9999999937430925,-7.910061600727595e-05,6.25690749187941e-09,7.910061600727594e-05,1.0,0.0,-1.251381502736677e-11,-1.582012320145519e-07,6.256907491879412e-12,7.910061600727594e-08,6.256907491879411e-12,7.910061600727593e-08,6.25690754763042e-12,7.910061600727594e-08,6.25690749187941e-12,7.910061600727594e-08
1,1.308177474260194,0.0,0.9999999932439466,-8.219521429923425e-05,6.7560532993413e-09,8.219521429923425e-05,1.0,0.0,-1.351210669835927e-11,-1.643904285984685e-07,6.7560532993413e-12,8.219521429923425e-08,6.7560532993413e-12,8.219521429923425e-08,6.756053383405458e-12,8.219521429923425e-08,6.7560532993413e-12,8.219521429923427e-08
1,1.359356390878525,0.0,0.9999999927049815,-8.541088040081223e-05,7.295018544059145e-09,8.541088040081223e-05,1.0,0.0,-1.459003708295617e-11,-1.708217608016245e-07,7.295018544059145e-12,8.541088040081223e-08,7.295018544059145e-12,8.541088040081223e-08,7.295018478181703e-12,8.541088040081223e-08,7.295018544059145e-12,8.541088040081222e-08
1,1.412537544622754,0.0,0.9999999921230203,-8.875235076303169e-05,7.876979828011022e-09,8.875235076303169e-05,1.0,0.0,-1.575395949550092e-11,-1.775047015260634e-07,7.876979828011023e-12,8.87523507630317e-08,7.876979828011023e-12,8.87523507630317e-08,7.876979735144118e-12,8.87523507630317e-08,7.876979828011023e-12,8.875235076303168e-08
