case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(sum)_real,v(sum)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(iin)_real,i(iin)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag
1,10.0,0.0,-99999.89943375516,6.383459857444604,0.0,0.0,0.1002243921539048,0.1002015787435653,0.0,0.0,0.4994989604374496,3.166506185037221e-08,1.0,0.0,-0.9999999965814732,6.283258278701039e-05,-3.947887609794885e-09,-6.283185285700347e-05,0.4994989604374496,3.166506185037221e-08,-6.295850873177677e-10,6.297284282024195e-10
1,10.39122303835169,0.0,-99999.89940677305,6.633195512083867,0.0,0.0,0.1002249023731565,0.1041216953238688,0.0,0.0,0.4994989604629154,3.290387035059794e-08,1.0,0.0,-0.9999999963167543,6.52907381676e-05,-4.262830983806885e-09,-6.528997967771832e-05,0.4994989604629154,3.290387035059794e-08,-6.798103396744061e-10,6.543681863246681e-10
1,10.7977516232771,0.0,-99999.89937763849,6.892701400708685,0.0,0.0,0.1002254532795632,0.1081951758926323,0.0,0.0,0.4994989604902003,3.419114374958454e-08,1.0,0.0,-0.9999999960309177,6.784506224816052e-05,-4.602899016453583e-09,-6.784427408066967e-05,0.4994989604902003,3.419114374958454e-08,-7.340423196600754e-10,6.799723149146704e-10
1,11.22018454301963,0.0,-99999.89934617974,7.162359757360451,0.0,0.0,0.1002260481327539,0.1124280204020494,0.0,0.0,0.4994989605202136,3.552877791968001e-08,1.0,0.0,-0.9999999957222788,7.049931736958403e-05,-4.970096031430915e-09,-7.049849836297154e-05,0.4994989605202136,3.552877791968001e-08,-7.926006646171256e-10,7.065785920439523e-10
1,11.65914401179831,0.0,-99999.89931221126,7.442567769954214,0.0,0.0,0.1002266904833959,0.116826463536114,0.0,0.0,0.4994989605529554,3.691874317368615e-08,1.0,0.0,-0.9999999953890175,7.3257413064181e-05,-5.366586247678887e-09,-7.32565620114373e-05,0.4994989605529554,3.691874317368615e-08,-8.558305110072451e-10,7.342262800453073e-10
1,12.11527658628588,0.0,-99999.89927553303,7.733738165308356,0.0,0.0,0.1002273840422276,0.1213969838940301,0.0,0.0,0.4994989605856972,3.836308687388268e-08,1.0,0.0,-0.9999999950291708,7.612341181414327e-05,-5.794706535049818e-09,-7.612252746097621e-05,0.4994989605856972,3.836308687388268e-08,-9.241045286088652e-10,7.629561832021532e-10
1,12.58925411794167,0.0,-99999.89923592874,8.036299817062131,0.0,0.0,0.100228132941993,0.1261463135326579,0.0,0.0,0.4994989606229865,3.986393615207362e-08,1.0,0.0,-0.9999999946406168,7.910153503529474e-05,-6.25698018756228e-09,-7.910061607827067e-05,0.4994989606229865,3.986393615207362e-08,-9.978251169913208e-10,7.928107106576223e-10
1,13.08177474260194,0.0,-99999.89919316504,8.35069837737584,0.0,0.0,0.1002289415628184,0.131081447882309,0.0,0.0,0.4994989606630043,4.142350190639021e-08,1.0,0.0,-0.9999999942210661,8.219616929493531e-05,-6.756131795418133e-09,-8.219521437954878e-05,0.4994989606630043,4.142350190639021e-08,-1.077426777213182e-09,8.238339386399942e-10
1,13.59356390878525,0.0,-99999.89914698988,8.67739693334497,0.0,0.0,0.1002298146777321,0.1362096560506671,0.0,0.0,0.4994989607057505,4.304408102173696e-08,1.0,0.0,-0.9999999937680456,8.541187277294303e-05,-7.295103303437141e-09,-8.541088049160947e-05,0.4994989607057505,4.304408102173696e-08,-1.163378672724799e-09,8.560716776485936e-10
1,14.12537544622754,0.0,-99999.89909713104,9.016876689094465,0.0,0.0,0.1002307574963197,0.1415384915293885,0.0,0.0,0.4994989607521347,4.472806036659449e-08,1.0,0.0,-0.9999999932788854,8.875338197565077e-05,-7.877071350555821e-09,-8.875235086561742e-05,0.4994989607521347,4.472806036659449e-08,-1.25618739456363e-09,8.895715416629105e-10
1,14.67799267622069,0.0,-99999.89904329472,9.369637674558005,0.0,0.0,0.1002317755046533,0.147075803320206,0.0,0.0,0.4994989608021569,4.647792040124443e-08,1.0,0.0,-0.9999999927507023,9.2225618712378e-05,-8.505465992586816e-09,-9.222454725355618e-05,0.4994989608021569,4.647792040124443e-08,-1.356399947148854e-09,9.243830183348015e-10
1,15.25222956539018,0.0,-99999.89898516357,9.736199481986544,0.0,0.0,0.1002328747417778,0.1528297474956446,0.0,0.0,0.4994989608567266,4.829623850843845e-08,1.0,0.0,-0.9999999921803832,9.5833697344909e-05,-9.183990918590001e-09,-9.583258395761557e-05,0.4994989608567266,4.829623850843845e-08,-1.46460697226242e-09,9.605575459116502e-10
1,15.84893192461113,0.0,-99999.89892239503,10.1171020312705,0.0,0.0,0.1002340616396395,0.1588087992125651,0.0,0.0,0.4994989609158438,5.018569271264539e-08,1.0,0.0,-0.9999999915645669,9.958293232057939e-05,-9.916645280006955e-09,-9.958177536319067e-05,0.4994989609158438,5.018569271264539e-08,-1.581446230228555e-09,9.981485894136952e-10
1,16.46897865482867,0.0,-99999.89885461912,10.51290636520292,0.0,0.0,0.1002353432413656,0.1650217651952346,0.0,0.0,0.4994989609804179,5.214906595440993e-08,1.0,0.0,-0.9999999908996238,0.0001034788460000768,-1.070774726121812e-08,-0.0001034776437665882,0.4994989609804179,5.214906595440993e-08,-1.707606358800466e-09,1.03721172351419e-09
1,17.11328304161779,0.0,-99999.8987814364,10.92419547585534,0.0,0.0,0.1002367270702962,0.1714777967071797,0.0,0.0,0.4994989610477205,5.418925008715547e-08,1.0,0.0,-0.9999999901816348,0.0001075271767914816,-1.156195953044456e-08,-0.0001075259275089697,0.4994989610477205,5.418925008715547e-08,-1.84383093191681e-09,1.077804715451985e-09
1,17.78279410038921,0.0,-99999.89870241546,11.35157516328301,0.0,0.0,0.1002382213191595,0.1781864030300966,0.0,0.0,0.4994989611213896,5.630924992949815e-08,1.0,0.0,-0.9999999894063679,0.0001117338876025291,-1.248431672099908e-08,-0.0001117325894285114,0.4994989611213896,5.630924992949815e-08,-1.990922842241608e-09,1.119987614634527e-09
1,18.47849797422289,0.0,-99999.89861709066,11.79567492782482,0.0,0.0,0.1002398347482085,0.1851574654707804,0.0,0.0,0.4994989612014251,5.851218820573933e-08,1.0,0.0,-0.9999999885692541,0.0001161051746235404,-1.348025510485787e-08,-0.0001161038256432317,0.4994989612014251,5.851218820573933e-08,-2.149749033329453e-09,1.163822842914599e-09
1,19.201419386388,0.0,-99999.898524959,12.25714889731151,0.0,0.0,0.1002415769180516,0.1924012519150438,0.0,0.0,0.4994989612878271,6.080130920960158e-08,1.0,0.0,-0.9999999876653594,0.0001206474764539647,-1.455564463344598e-08,-0.0001206460746774203,0.4994989612878271,6.080130920960158e-08,-2.321245609288884e-09,1.209375292380972e-09
1,19.95262314968878,0.0,-99999.89842547757,12.73667679054866,0.0,0.0,0.1002434580441331,0.1999284319518324,0.0,0.0,0.4994989613815051,6.317998457738838e-08,1.0,0.0,-0.9999999866893562,0.0001253674835859682,-1.571682353448057e-08,-0.0001253660269451132,0.4994989613815051,6.317998457738838e-08,-2.506423352078874e-09,1.256712422950864e-09
1,20.73321573485953,0.0,-99999.89831806005,13.234964918493,0.0,0.0,0.1002454892004607,0.2077500925888955,0.0,0.0,0.4994989614815495,6.565171783989854e-08,1.0,0.0,-0.9999999856354925,0.0001302721482590411,-1.697063566878209e-08,-0.0001302706346045804,0.4994989614815495,6.565171783989854e-08,-2.706373678947302e-09,1.305904368197737e-09
1,21.54434690031881,0.0,-99999.89820207318,13.75274722459672,0.0,0.0,0.1002476824796759,0.2158777545825217,0.0,0.0,0.4994989615906889,6.82201493074075e-08,1.0,0.0,-0.9999999844975567,0.0001353686947001419,-1.832447086723077e-08,-0.000135367121798342,0.4994989615906889,6.82201493074075e-08,-2.922275075114885e-09,1.357024045459969e-09
1,22.38721138568337,0.0,-99999.89807683349,14.2907863658525,0.0,0.0,0.100250050672912,0.224323389407715,0.0,0.0,0.4994989617080137,7.088906217589397e-08,1.0,0.0,-0.9999999832688417,0.0001406646297644478,-1.978630848560772e-08,-0.0001406629952937944,0.4994989617080137,7.088906217589397e-08,-3.155400039648041e-09,1.410147264194045e-09
1,23.26305067153623,0.0,-99999.89794160276,14.84987483613089,0.0,0.0,0.1002526077936636,0.2330994368902282,0.0,0.0,0.4994989618335239,7.366238674588743e-08,1.0,0.0,-0.9999999819421056,0.0001461677539924066,-2.136476443403128e-08,-0.0001461660555401194,0.4994989618335239,7.366238674588743e-08,-3.407122585412225e-09,1.465352850342231e-09
1,24.17315480804101,0.0,-99999.89779558398,15.43083613346566,0.0,0.0,0.1002553689322667,0.2422188235304077,0.0,0.0,0.4994989619699481,7.654420808300699e-08,1.0,0.0,-0.9999999805095292,0.0001518861730993525,-2.306914195817101e-08,-0.0001518844081577621,0.4994989619699481,7.654420808300699e-08,-3.678926337362547e-09,1.522722767170126e-09
